Player,Nation,Age,Min,SoTA,GA,Shot Stopping Saves,Shot Stopping Save%,Shot Stopping PSxG,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper AvgDist,home,date,squad_h,squad_a
Petr Čech,cz CZE,35-083,90.0,4,3,1,25.0,2.4,5,8,62.5,16,3,37.5,34.6,6,33.3,32.2,17,1,5.9,2,23.0,1.0,2017-08-11,Arsenal,Leicester City
Kasper Schmeichel,dk DEN,30-279,90.0,10,4,6,60.0,3.0,15,37,40.5,26,0,96.2,65.3,12,100.0,73.1,10,0,0.0,1,27.7,0.0,2017-08-11,Arsenal,Leicester City
Heurelho Gomes,br BRA,36-178,90.0,4,3,2,50.0,3.1,13,32,40.6,32,8,68.8,48.9,12,83.3,64.6,6,0,0.0,2,14.9,1.0,2017-08-12,Watford,Liverpool
Simon Mignolet,be BEL,29-159,90.0,5,3,1,40.0,2.8,3,15,20.0,34,8,32.4,34.3,7,57.1,44.9,11,1,9.1,0,15.0,0.0,2017-08-12,Watford,Liverpool
Ben Foster,eng ENG,34-131,90.0,2,0,2,100.0,0.2,5,20,25.0,13,1,92.3,57.7,8,100.0,76.4,15,0,0.0,0,13.5,1.0,2017-08-12,West Brom,Bournemouth
Asmir Begović,ba BIH,30-053,90.0,6,1,5,83.3,1.4,5,12,41.7,22,8,31.8,33.3,10,50.0,46.7,7,0,0.0,0,15.3,0.0,2017-08-12,West Brom,Bournemouth
Jordan Pickford,eng ENG,23-158,90.0,1,0,1,100.0,0.1,9,23,39.1,22,4,68.2,51.5,10,80.0,65.7,8,1,12.5,1,15.0,1.0,2017-08-12,Everton,Stoke City
Jack Butland,eng ENG,24-155,90.0,4,1,3,75.0,0.3,11,20,55.0,22,3,63.6,45.4,8,75.0,60.8,9,0,0.0,0,15.0,0.0,2017-08-12,Everton,Stoke City
Fraser Forster,eng ENG,29-148,90.0,0,0,0,,0.0,2,9,22.2,11,1,54.5,41.6,4,75.0,65.5,4,0,0.0,1,19.0,1.0,2017-08-12,Southampton,Swansea City
Łukasz Fabiański,pl POL,32-116,90.0,2,0,2,100.0,0.3,14,29,48.3,22,3,54.5,41.7,22,77.3,59.9,18,2,11.1,0,5.5,0.0,2017-08-12,Southampton,Swansea City
Thibaut Courtois,be BEL,25-093,90.0,5,3,2,40.0,1.2,4,17,23.5,34,6,41.2,39.8,4,75.0,62.5,6,0,0.0,3,27.8,1.0,2017-08-12,Chelsea,Burnley
Tom Heaton,eng ENG,31-119,90.0,6,2,4,66.7,1.8,11,31,35.5,30,4,73.3,57.3,10,90.0,69.0,11,1,9.1,0,6.8,0.0,2017-08-12,Chelsea,Burnley
Wayne Hennessey,wls WAL,30-200,90.0,6,3,4,50.0,2.0,6,15,40.0,29,7,44.8,40.1,3,66.7,56.7,4,0,0.0,0,15.7,1.0,2017-08-12,Crystal Palace,Huddersfield
Jonas Lössl,dk DEN,28-192,90.0,4,0,4,100.0,1.5,12,28,42.9,22,3,81.8,62.4,10,100.0,78.7,9,0,0.0,1,16.2,0.0,2017-08-12,Crystal Palace,Huddersfield
Mathew Ryan,au AUS,25-126,90.0,4,2,3,50.0,1.6,8,26,30.8,19,3,78.9,55.6,11,100.0,70.3,12,1,8.3,0,7.6,1.0,2017-08-12,Brighton,Manchester City
Ederson,br BRA,23-360,90.0,2,0,2,100.0,0.4,2,5,40.0,20,7,10.0,22.5,4,75.0,56.8,3,0,0.0,1,24.2,0.0,2017-08-12,Brighton,Manchester City
Rob Elliot,ie IRL,31-105,90.0,6,2,4,66.7,1.0,8,29,27.6,27,4,81.5,58.1,7,100.0,68.6,10,0,0.0,0,7.2,1.0,2017-08-13,Newcastle Utd,Tottenham
Hugo Lloris,fr FRA,30-230,90.0,3,0,3,100.0,0.8,2,6,33.3,28,10,14.3,29.4,5,40.0,30.8,8,2,25.0,2,19.1,0.0,2017-08-13,Newcastle Utd,Tottenham
David de Gea,es ESP,26-279,90.0,1,0,1,100.0,0.1,11,18,61.1,22,3,54.5,42.7,7,85.7,61.0,10,2,20.0,0,7.5,1.0,2017-08-13,Manchester Utd,West Ham
Joe Hart,eng ENG,30-116,90.0,5,4,1,20.0,2.4,6,20,30.0,22,5,31.8,37.1,13,100.0,71.2,9,2,22.2,0,17.0,0.0,2017-08-13,Manchester Utd,West Ham
Łukasz Fabiański,pl POL,32-123,90.0,8,4,3,50.0,3.3,9,20,45.0,20,6,60.0,46.9,8,100.0,71.8,10,0,0.0,0,12.8,1.0,2017-08-19,Swansea City,Manchester Utd
David de Gea,es ESP,26-285,90.0,1,0,1,100.0,0.0,4,14,28.6,13,4,23.1,33.9,11,100.0,67.9,12,1,8.3,0,19.5,0.0,2017-08-19,Swansea City,Manchester Utd
Fraser Forster,eng ENG,29-155,90.0,8,2,5,75.0,1.9,3,10,30.0,13,1,61.5,47.2,8,25.0,30.5,6,0,0.0,0,14.5,1.0,2017-08-19,Southampton,West Ham
Joe Hart,eng ENG,30-122,90.0,3,3,2,66.7,2.5,12,36,33.3,24,0,100.0,63.0,12,100.0,68.4,13,4,30.8,0,13.2,0.0,2017-08-19,Southampton,West Ham
Kasper Schmeichel,dk DEN,30-287,90.0,2,0,2,100.0,0.1,9,22,40.9,29,6,58.6,49.3,5,100.0,73.4,10,0,0.0,1,15.8,1.0,2017-08-19,Leicester City,Brighton
Mathew Ryan,au AUS,25-133,90.0,3,2,1,33.3,1.3,12,25,48.0,30,6,56.7,39.6,9,88.9,59.7,10,0,0.0,1,14.0,0.0,2017-08-19,Leicester City,Brighton
Asmir Begović,ba BIH,30-060,90.0,7,2,5,71.4,2.7,5,12,41.7,23,7,34.8,35.9,6,66.7,60.8,11,0,0.0,0,12.0,1.0,2017-08-19,Bournemouth,Watford
Heurelho Gomes,br BRA,36-185,90.0,3,0,3,100.0,0.8,11,29,37.9,28,7,82.1,57.1,7,85.7,65.9,9,2,22.2,0,14.1,0.0,2017-08-19,Bournemouth,Watford
Tom Heaton,eng ENG,31-126,90.0,1,1,0,0.0,0.2,7,19,36.8,25,6,56.0,45.4,9,55.6,52.4,7,0,0.0,0,10.6,1.0,2017-08-19,Burnley,West Brom
Ben Foster,eng ENG,34-138,90.0,1,0,1,100.0,0.8,10,29,34.5,14,1,85.7,61.8,17,100.0,74.8,17,1,5.9,0,13.0,0.0,2017-08-19,Burnley,West Brom
Simon Mignolet,be BEL,29-166,90.0,1,0,1,100.0,0.0,5,11,45.5,22,4,45.5,41.5,5,20.0,30.2,6,1,16.7,1,15.3,1.0,2017-08-19,Liverpool,Crystal Palace
Wayne Hennessey,wls WAL,30-207,90.0,13,1,12,92.3,2.0,12,40,30.0,34,1,88.2,62.0,10,100.0,76.4,15,1,6.7,1,13.1,0.0,2017-08-19,Liverpool,Crystal Palace
Jack Butland,eng ENG,24-162,90.0,7,0,7,100.0,1.2,13,37,35.1,30,3,83.3,60.3,12,100.0,70.7,11,1,9.1,1,12.5,1.0,2017-08-19,Stoke City,Arsenal
Petr Čech,cz CZE,35-091,90.0,4,1,3,75.0,1.7,1,2,50.0,16,6,12.5,26.3,7,0.0,25.6,6,0,0.0,0,15.8,0.0,2017-08-19,Stoke City,Arsenal
Jonas Lössl,dk DEN,28-200,90.0,5,0,5,100.0,1.2,11,24,45.8,35,2,60.0,49.0,4,75.0,53.3,5,0,0.0,3,18.1,1.0,2017-08-20,Huddersfield,Newcastle Utd
Rob Elliot,ie IRL,31-112,90.0,3,1,2,66.7,0.8,9,22,40.9,36,1,47.2,42.0,8,62.5,47.9,13,1,7.7,0,7.0,0.0,2017-08-20,Huddersfield,Newcastle Utd
Hugo Lloris,fr FRA,30-237,90.0,2,2,0,0.0,0.8,6,10,60.0,24,6,33.3,35.2,5,40.0,49.0,7,1,14.3,0,15.6,1.0,2017-08-20,Tottenham,Chelsea
Thibaut Courtois,be BEL,25-101,90.0,5,1,5,80.0,0.4,8,25,32.0,26,6,65.4,50.6,9,88.9,67.6,12,2,16.7,0,12.8,0.0,2017-08-20,Tottenham,Chelsea
Ederson,br BRA,24-004,90.0,2,1,1,50.0,0.8,7,10,70.0,27,5,25.9,33.5,6,50.0,46.0,3,2,66.7,1,16.0,1.0,2017-08-21,Manchester City,Everton
Jordan Pickford,eng ENG,23-167,90.0,6,1,5,83.3,0.8,8,42,19.0,34,2,82.4,58.9,17,82.4,66.4,6,0,0.0,1,15.4,0.0,2017-08-21,Manchester City,Everton
Asmir Begović,ba BIH,30-067,90.0,8,2,6,75.0,2.4,4,30,13.3,29,4,62.1,52.9,12,100.0,63.3,12,3,25.0,0,8.6,1.0,2017-08-26,Bournemouth,Manchester City
Ederson,br BRA,24-009,90.0,3,1,2,66.7,1.1,1,3,33.3,17,6,11.8,26.9,1,100.0,98.0,7,1,14.3,0,18.6,0.0,2017-08-26,Bournemouth,Manchester City
Wayne Hennessey,wls WAL,30-214,90.0,3,2,1,33.3,1.2,5,14,35.7,23,7,43.5,44.4,4,100.0,77.3,2,0,0.0,2,14.8,1.0,2017-08-26,Crystal Palace,Swansea City
Łukasz Fabiański,pl POL,32-130,90.0,3,0,3,100.0,0.5,12,27,44.4,20,3,55.0,51.2,18,88.9,66.9,15,1,6.7,1,13.5,0.0,2017-08-26,Crystal Palace,Swansea City
Heurelho Gomes,br BRA,36-192,90.0,2,0,2,100.0,0.1,7,22,31.8,14,1,71.4,53.0,12,100.0,71.4,16,3,18.8,0,18.0,1.0,2017-08-26,Watford,Brighton
Mathew Ryan,au AUS,25-140,90.0,0,0,0,,0.0,10,12,83.3,24,10,37.5,35.5,6,50.0,45.3,6,0,0.0,0,12.8,0.0,2017-08-26,Watford,Brighton
Jonas Lössl,dk DEN,28-206,90.0,2,0,2,100.0,0.7,10,24,41.7,29,6,62.1,48.3,10,60.0,50.5,3,0,0.0,0,14.3,1.0,2017-08-26,Huddersfield,Southampton
Fraser Forster,eng ENG,29-162,90.0,6,0,6,100.0,1.8,5,15,33.3,18,5,66.7,49.0,8,37.5,40.0,16,0,0.0,0,12.0,0.0,2017-08-26,Huddersfield,Southampton
Rob Elliot,ie IRL,31-118,90.0,3,0,3,100.0,0.6,13,24,54.2,24,4,79.2,52.6,6,83.3,59.7,9,3,33.3,0,10.5,1.0,2017-08-26,Newcastle Utd,West Ham
Joe Hart,eng ENG,30-129,90.0,8,3,5,62.5,3.1,13,34,38.2,34,6,67.6,47.6,11,100.0,68.7,13,3,23.1,0,11.3,0.0,2017-08-26,Newcastle Utd,West Ham
