player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,date,squad_h,squad_a
Ivan Toney,FW,25-150,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,24.0,0.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,10.0,21.0,47.6,3.0,17.0,0.0,1.0,2.0,173.0,87.0,5.0,9.0,55.6,4.0,6.0,66.7,1.0,5.0,20.0,None,1.0,5.0,1.0,0.0,20.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,9.0,0.0,9.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,29.2,7.0,8.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,14.0,11.0,2.0,28.0,50.0,1.0,0.0,31.0,7.0,0.0,0.0,2.0,2.0,51.0,21.0,41.2,6.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,6.0,7.0,10.0,41.2,2021-08-13,Brentford,Arsenal
Bryan Mbeumo,FW,22-006,85.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,34.0,24.0,1.0,0.0,1.0,0.3,0.3,0.1,3.0,0.0,15.0,23.0,65.2,1.0,25.0,1.0,2.0,3.0,239.0,20.0,8.0,13.0,61.5,3.0,3.0,100.0,3.0,3.0,100.0,None,1.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,14.0,5.0,4.0,15.0,5.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.2,0.0,12.0,12.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,5.0,10.0,22.0,7.0,34.0,66.7,2.0,0.0,68.0,32.0,1.0,0.0,1.0,1.0,38.0,22.0,57.9,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3,2021-08-13,Brentford,Arsenal
Marcus Forss,FW,22-056,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,3.0,1.0,1.0,2.0,15.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,None,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,5.0,50.0,1.0,0.0,15.0,11.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,2021-08-13,Brentford,Arsenal
Vitaly Janelt,CM,23-095,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,21.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,22.0,29.0,75.9,4.0,24.0,2.0,0.0,0.0,400.0,110.0,10.0,12.0,83.3,10.0,13.0,76.9,2.0,3.0,66.7,None,0.0,3.0,1.0,0.0,27.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,4.0,22.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,100.0,0.0,9.0,42.9,5.0,7.0,9.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,14.0,20.0,12.0,1.0,39.0,0.0,0.0,0.0,81.0,26.0,1.0,1.0,5.0,1.0,26.0,21.0,80.8,4.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,2021-08-13,Brentford,Arsenal
Frank Onyeka,CM,23-224,79.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,20.0,1.0,1.0,1.0,0.1,0.1,0.1,2.0,0.0,13.0,14.0,92.9,3.0,13.0,0.0,1.0,1.0,191.0,49.0,7.0,7.0,100.0,5.0,5.0,100.0,1.0,2.0,50.0,None,1.0,0.0,2.0,0.0,13.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,3.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,15.0,11.0,7.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,11.0,8.0,2.0,22.0,100.0,1.0,0.0,58.0,14.0,1.0,0.0,1.0,1.0,15.0,12.0,80.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,33.3,2021-08-13,Brentford,Arsenal
Mads Bidstrup,CM,20-169,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,2.0,0.0,0.0,0.0,58.0,7.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,None,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,60.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,6.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2021-08-13,Brentford,Arsenal
Christian Nørgaard,DM,27-156,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,16.0,2.0,4.0,0.0,0.7,0.7,0.0,0.0,0.0,24.0,36.0,66.7,4.0,23.0,2.0,1.0,1.0,428.0,167.0,11.0,18.0,61.1,10.0,11.0,90.9,3.0,6.0,50.0,None,0.0,4.0,0.0,0.0,33.0,3.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,11.0,9.0,20.0,5.0,1.0,0.0,0.0,1.0,6.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,5.0,31.3,3.0,13.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,28.0,7.0,2.0,40.0,100.0,1.0,0.0,89.0,39.0,1.0,0.0,0.0,0.0,23.0,20.0,87.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,66.7,2021-08-13,Brentford,Arsenal
Rico Henry,WB,24-036,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,20.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,20.0,24.0,83.3,3.0,21.0,2.0,0.0,1.0,369.0,52.0,6.0,6.0,100.0,8.0,9.0,88.9,3.0,4.0,75.0,None,0.0,2.0,0.0,0.0,24.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,7.0,1.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,100.0,0.0,6.0,30.0,9.0,9.0,2.0,1.0,0.0,1.0,4.0,2.0,0.0,5.0,12.0,13.0,11.0,1.0,33.0,0.0,0.0,0.0,121.0,55.0,1.0,0.0,2.0,0.0,20.0,16.0,80.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,2021-08-13,Brentford,Arsenal
Sergi Canós,WB,24-192,90.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,37.0,25.0,6.0,1.0,2.0,0.2,0.2,0.2,2.0,0.0,13.0,22.0,59.1,1.0,21.0,4.0,0.0,0.0,264.0,197.0,7.0,8.0,87.5,2.0,2.0,100.0,4.0,9.0,44.4,None,1.0,1.0,1.0,0.0,20.0,2.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,9.0,5.0,8.0,1.0,20.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,5.0,1.0,0.0,4.0,5.0,80.0,1.0,6.0,24.0,18.0,5.0,2.0,1.0,0.0,1.0,7.0,0.0,0.0,1.0,17.0,15.0,9.0,2.0,35.0,0.0,0.0,0.0,155.0,113.0,3.0,2.0,1.0,1.0,20.0,18.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2021-08-13,Brentford,Arsenal
Ethan Pinnock,CB,28-076,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,11.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,26.0,38.0,68.4,3.0,20.0,0.0,0.0,0.0,585.0,233.0,6.0,8.0,75.0,13.0,16.0,81.3,7.0,13.0,53.8,None,1.0,1.0,1.0,0.0,27.0,11.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,5.0,16.0,24.0,0.0,5.0,8.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,3.0,27.3,10.0,1.0,0.0,2.0,0.0,0.0,1.0,7.0,0.0,9.0,32.0,14.0,6.0,0.0,39.0,0.0,0.0,0.0,126.0,36.0,1.0,0.0,0.0,1.0,19.0,19.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,100.0,2021-08-13,Brentford,Arsenal
