player,minute,squad,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,date,squad_h,squad_a
Denis Odoi,7.0,Fulham,Saved,22,Left Foot,0,Ivan Cavaleiro,Pass (Live),Neeskens Kebano,Pass (Live),2020-09-12,Fulham,Arsenal
Granit Xhaka,8.0,Arsenal,Blocked,16,Left Foot,Half volley,Pierre-Emerick Aubameyang,Pass (Live),Mohamed Elneny,Pass (Live),2020-09-12,Fulham,Arsenal
Willian,8.0,Arsenal,Saved,5,Right Foot,0,Granit Xhaka,Shot,0,0,2020-09-12,Fulham,Arsenal
Alexandre Lacazette,8.0,Arsenal,Goal,3,Left Foot,0,Willian,Shot,0,0,2020-09-12,Fulham,Arsenal
Neeskens Kebano,10.0,Fulham,Blocked,9,Right Foot,Volley,Ivan Cavaleiro,Pass (Live),Ivan Cavaleiro,Dribble,2020-09-12,Fulham,Arsenal
Mohamed Elneny,21.0,Arsenal,Blocked,14,Right Foot,0,Mohamed Elneny,Dribble,Alexandre Lacazette,Pass (Live),2020-09-12,Fulham,Arsenal
Granit Xhaka,21.0,Arsenal,Off Target,20,Left Foot,Half volley,Mohamed Elneny,Shot,0,0,2020-09-12,Fulham,Arsenal
Willian,27.0,Arsenal,Woodwork,21,Right Foot,Free kick,Alexandre Lacazette,Fouled,Héctor Bellerín,Pass (Live),2020-09-12,Fulham,Arsenal
Pierre-Emerick Aubameyang,37.0,Arsenal,Saved,13,Left Foot,0,Granit Xhaka,Pass (Live),Gabriel Dos Santos,Pass (Live),2020-09-12,Fulham,Arsenal
Gabriel Dos Santos,49.0,Arsenal,Goal,5,Head,0,Willian,Pass (Dead),Rob Holding,Pass (Live),2020-09-12,Fulham,Arsenal
Aboubakar Kamara,56.0,Fulham,Off Target,24,Right Foot,0,0,0,0,0,2020-09-12,Fulham,Arsenal
Pierre-Emerick Aubameyang,57.0,Arsenal,Goal,14,Right Foot,0,Willian,Pass (Live),0,0,2020-09-12,Fulham,Arsenal
Granit Xhaka,62.0,Arsenal,Blocked,28,Left Foot,Free kick,Willian,Fouled,Granit Xhaka,Pass (Live),2020-09-12,Fulham,Arsenal
Aleksandar Mitrović,67.0,Fulham,Saved,23,Right Foot,0,Andre-Frank Zambo Anguissa,Pass (Live),Joe Bryan,Pass (Live),2020-09-12,Fulham,Arsenal
Granit Xhaka,73.0,Arsenal,Blocked,21,Left Foot,0,Willian,Pass (Dead),Pierre-Emerick Aubameyang,Fouled,2020-09-12,Fulham,Arsenal
Pierre-Emerick Aubameyang,78.0,Arsenal,Blocked,9,Right Foot,0,Pierre-Emerick Aubameyang,Dribble,Héctor Bellerín,Pass (Live),2020-09-12,Fulham,Arsenal
Alexandre Lacazette,78.0,Arsenal,Off Target,6,Head,0,Nicolas Pépé,Pass (Dead),Pierre-Emerick Aubameyang,Shot,2020-09-12,Fulham,Arsenal
Bobby Reid,90.0,Fulham,Off Target,51,Right Foot,0,0,0,0,0,2020-09-12,Fulham,Arsenal
