player,nationality,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,season
Alisson,br BRA,Liverpool,29-060,1992,12.0,12.0,1080.0,11.0,0.92,39.0,28.0,71.8,7.0,4.0,1.0,7.0,58.3,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.9,0.29,0.9,0.08,62.0,108.0,57.4,402.0,65.0,19.9,29.0,62.0,45.2,39.3,97.0,9.0,9.3,17.0,1.42,16.7,2021
Kepa Arrizabalaga,es ESP,Chelsea,27-059,1994,1.0,1.0,90.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.17,0.3,0.34,6.0,8.0,75.0,26.0,6.0,30.8,30.0,4.0,0.0,9.3,8.0,1.0,12.5,1.0,1.0,18.8,2021
Daniel Bachmann,at AUT,Watford,27-145,1994,5.0,5.0,450.0,11.0,2.2,25.0,16.0,60.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,9.0,0.33,-1.0,-0.19,24.0,69.0,34.8,116.0,29.0,44.0,39.6,41.0,43.9,40.3,42.0,2.0,4.8,2.0,0.4,13.8,2021
Asmir Begović,ba BIH,Everton,34-164,1987,1.0,1.0,90.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.31,-1.1,-1.08,5.0,16.0,31.3,11.0,2.0,72.7,50.5,12.0,66.7,49.6,5.0,1.0,20.0,0.0,0.0,15.0,2021
Karl Darlow,eng ENG,Newcastle Utd,31-054,1990,8.0,8.0,720.0,15.0,1.87,37.0,25.0,64.9,0.0,5.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,10.6,0.24,-3.4,-0.42,75.0,172.0,43.6,189.0,29.0,64.6,49.8,64.0,78.1,59.8,69.0,8.0,11.6,4.0,0.5,14.9,2021
Martin Dúbravka,sk SVK,Newcastle Utd,32-320,1989,2.0,2.0,180.0,3.0,1.5,12.0,9.0,75.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.34,1.0,0.52,14.0,44.0,31.8,55.0,13.0,43.6,40.9,25.0,80.0,57.4,21.0,1.0,4.8,0.0,0.0,9.2,2021
Ederson,br BRA,Manchester City,28-106,1993,12.0,12.0,1080.0,7.0,0.58,21.0,15.0,71.4,8.0,2.0,2.0,7.0,58.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.19,-2.0,-0.17,43.0,77.0,55.8,308.0,63.0,21.1,28.8,46.0,26.1,34.2,65.0,6.0,9.2,14.0,1.17,16.9,2021
Łukasz Fabiański,pl POL,West Ham,36-227,1985,13.0,13.0,1170.0,16.0,1.23,56.0,38.0,71.4,7.0,2.0,4.0,3.0,23.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.8,0.31,0.8,0.06,79.0,183.0,43.2,233.0,56.0,48.9,40.9,102.0,67.6,52.0,120.0,6.0,5.0,1.0,0.08,11.8,2021
Álvaro Fernández,es ESP,Brentford,23-232,1998,4.0,4.0,360.0,8.0,2.0,20.0,13.0,65.0,1.0,1.0,2.0,1.0,25.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.3,0.37,0.3,0.07,35.0,84.0,41.7,158.0,23.0,44.9,38.1,26.0,50.0,36.9,47.0,3.0,6.4,6.0,1.5,15.2,2021
Ben Foster,eng ENG,Watford,38-242,1983,8.0,8.0,720.0,13.0,1.62,34.0,21.0,61.8,3.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,13.6,0.37,0.6,0.07,79.0,197.0,40.1,206.0,22.0,66.5,51.4,69.0,87.0,63.9,73.0,4.0,5.5,8.0,1.0,16.8,2021
David de Gea,es ESP,Manchester Utd,31-024,1990,13.0,13.0,1170.0,22.0,1.69,59.0,38.0,64.4,5.0,3.0,5.0,2.0,15.4,4.0,1.0,3.0,0.0,0.0,3.0,2.0,22.9,0.37,2.9,0.22,43.0,107.0,40.2,191.0,37.0,28.3,32.0,113.0,46.9,40.3,103.0,4.0,3.9,3.0,0.23,13.9,2021
Vicente Guaita,es ESP,Crystal Palace,34-325,1987,14.0,14.0,1260.0,20.0,1.43,59.0,40.0,67.8,3.0,7.0,4.0,4.0,28.6,1.0,1.0,0.0,0.0,1.0,8.0,0.0,15.6,0.26,-4.4,-0.31,72.0,164.0,43.9,345.0,73.0,33.6,32.6,93.0,51.6,38.3,103.0,7.0,6.8,8.0,0.57,14.1,2021
