player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,season
Max Aarons,eng ENG,DF,Norwich City,21,2000,34.0,32.0,2881.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.06,0.06,0.0,0.06,0.7,0.7,1.4,0.02,0.04,0.07,0.02,0.07,13.0,2.0,15.4,0.41,0.06,0.0,0.0,20.5,0.0,0.05,-0.7,-0.7,1087.0,1440.0,75.5,18371.0,6874.0,560.0,622.0,90.0,419.0,544.0,77.0,98.0,217.0,45.2,0.6,19.0,50.0,36.0,8.0,94.0,1102.0,338.0,27.0,2.0,173.0,19.0,45.0,0.0,0.0,0.0,0.0,847.0,307.0,286.0,157.0,929.0,29.0,311.0,2.0,7.0,28.0,52.0,56.0,38.0,1.19,27.0,2.0,3.0,4.0,2.0,0.0,5.0,0.16,5.0,0.0,0.0,0.0,0.0,0.0,69.0,37.0,50.0,19.0,0.0,37.0,58.0,63.8,21.0,434.0,113.0,26.0,255.0,140.0,39.0,86.0,22.0,1.0,64.0,56.0,125.0,70.0,0.0,1855.0,162.0,747.0,763.0,481.0,29.0,1529.0,33.0,78.0,42.3,35.0,6.0,1084.0,6382.0,3893.0,174.0,53.0,13.0,27.0,30.0,1153.0,1037.0,89.9,41.0,0.0,31.0,59.0,1.0,0.0,2.0,1.0,177.0,15.0,51.0,22.7,2021
Che Adams,sct SCO,FW,Southampton,25,1996,30.0,23.0,2039.0,7.0,3.0,7.0,0.0,0.0,0.0,0.0,0.31,0.13,0.44,0.31,0.44,7.1,7.1,2.6,0.31,0.12,0.43,0.31,0.43,49.0,24.0,49.0,2.16,1.06,0.14,0.29,12.9,0.0,0.14,-0.1,-0.1,337.0,484.0,69.6,5275.0,1087.0,187.0,240.0,77.9,101.0,135.0,74.8,30.0,53.0,56.6,0.4,26.0,22.0,13.0,1.0,35.0,468.0,16.0,0.0,4.0,137.0,10.0,11.0,0.0,0.0,0.0,0.0,307.0,99.0,78.0,44.0,350.0,28.0,1.0,16.0,2.0,10.0,26.0,31.0,51.0,2.25,34.0,0.0,1.0,4.0,11.0,1.0,4.0,0.18,3.0,0.0,0.0,0.0,0.0,1.0,16.0,9.0,4.0,6.0,6.0,2.0,15.0,13.3,13.0,332.0,87.0,26.2,38.0,132.0,162.0,25.0,4.0,0.0,21.0,10.0,26.0,15.0,0.0,766.0,27.0,93.0,332.0,375.0,102.0,750.0,14.0,33.0,42.4,17.0,0.0,474.0,1884.0,833.0,46.0,17.0,11.0,52.0,48.0,1024.0,542.0,52.9,160.0,0.0,31.0,47.0,7.0,0.0,0.0,0.0,120.0,56.0,111.0,33.5,2021
Rayan Aït Nouri,fr FRA,DF,Wolves,20,2001,23.0,20.0,1828.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.05,0.1,0.15,0.05,0.15,0.7,0.7,1.3,0.04,0.07,0.1,0.04,0.1,13.0,4.0,30.8,0.64,0.2,0.08,0.25,16.9,0.0,0.06,0.3,0.3,754.0,1003.0,75.2,13088.0,4592.0,385.0,420.0,91.7,288.0,366.0,78.7,76.0,174.0,43.7,0.7,17.0,29.0,15.0,9.0,49.0,788.0,215.0,16.0,1.0,135.0,36.0,56.0,29.0,8.0,17.0,2.0,557.0,215.0,231.0,672.0,108.0,42.0,170.0,0.0,2.0,28.0,33.0,31.0,44.0,2.17,26.0,10.0,4.0,0.0,2.0,2.0,6.0,0.3,4.0,1.0,0.0,0.0,1.0,0.0,76.0,43.0,54.0,14.0,8.0,28.0,45.0,62.2,17.0,402.0,135.0,33.6,231.0,116.0,55.0,34.0,3.0,0.0,31.0,38.0,114.0,32.0,1.0,1281.0,64.0,460.0,492.0,398.0,47.0,1071.0,40.0,73.0,54.8,44.0,2.0,781.0,3704.0,2300.0,118.0,22.0,17.0,31.0,32.0,820.0,729.0,88.9,60.0,0.0,20.0,23.0,3.0,1.0,0.0,0.0,135.0,20.0,19.0,51.3,2021
Kristoffer Ajer,no NOR,DF,Brentford,23,1998,24.0,23.0,1995.0,1.0,3.0,1.0,0.0,0.0,5.0,0.0,0.05,0.14,0.18,0.05,0.18,0.8,0.8,1.4,0.04,0.06,0.1,0.04,0.1,7.0,1.0,14.3,0.32,0.05,0.14,1.0,9.1,0.0,0.11,0.2,0.2,629.0,873.0,72.1,11601.0,5267.0,245.0,296.0,82.8,295.0,370.0,79.7,74.0,153.0,48.4,1.6,6.0,48.0,10.0,1.0,75.0,721.0,152.0,8.0,0.0,138.0,15.0,12.0,0.0,0.0,0.0,0.0,449.0,217.0,207.0,42.0,577.0,63.0,144.0,2.0,4.0,23.0,33.0,40.0,28.0,1.26,20.0,4.0,1.0,1.0,1.0,1.0,6.0,0.27,3.0,1.0,1.0,0.0,1.0,0.0,40.0,22.0,25.0,12.0,3.0,20.0,36.0,55.6,16.0,206.0,73.0,35.4,107.0,70.0,29.0,36.0,13.0,1.0,23.0,49.0,89.0,81.0,1.0,1108.0,117.0,462.0,534.0,184.0,31.0,959.0,11.0,17.0,64.7,11.0,0.0,562.0,3385.0,2047.0,73.0,27.0,2.0,13.0,11.0,595.0,534.0,89.7,18.0,0.0,18.0,19.0,0.0,0.0,0.0,0.0,186.0,63.0,38.0,62.4,2021
Nathan Aké,nl NED,DF,Manchester City,26,1995,14.0,10.0,923.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,1.1,1.1,0.5,0.11,0.05,0.16,0.11,0.16,5.0,2.0,40.0,0.49,0.2,0.4,1.0,5.8,0.0,0.23,0.9,0.9,780.0,855.0,91.2,14444.0,4178.0,331.0,351.0,94.3,364.0,395.0,92.2,80.0,98.0,81.6,-0.5,2.0,53.0,3.0,0.0,31.0,813.0,42.0,16.0,0.0,71.0,5.0,0.0,0.0,0.0,0.0,0.0,716.0,67.0,72.0,621.0,155.0,28.0,26.0,2.0,0.0,10.0,7.0,8.0,3.0,0.29,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,6.0,8.0,1.0,4.0,7.0,57.1,3.0,70.0,23.0,32.9,26.0,37.0,7.0,12.0,5.0,0.0,7.0,18.0,33.0,31.0,0.0,936.0,67.0,351.0,546.0,115.0,9.0,896.0,0.0,2.0,0.0,0.0,0.0,680.0,3560.0,2226.0,74.0,13.0,0.0,2.0,1.0,754.0,724.0,96.0,2.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,78.0,41.0,8.0,83.7,2021
Marc Albrighton,eng ENG,"FW,DF",Leicester City,31,1989,17.0,11.0,1132.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.08,0.16,0.24,0.08,0.24,0.5,0.5,1.7,0.04,0.13,0.18,0.04,0.18,4.0,1.0,25.0,0.32,0.08,0.25,1.0,16.7,0.0,0.13,0.5,0.5,345.0,551.0,62.6,5530.0,2373.0,200.0,235.0,85.1,114.0,172.0,66.3,24.0,106.0,22.6,0.3,12.0,21.0,11.0,5.0,32.0,450.0,101.0,15.0,0.0,96.0,33.0,31.0,37.0,25.0,7.0,1.0,308.0,111.0,132.0,39.0,437.0,20.0,48.0,1.0,5.0,5.0,31.0,38.0,19.0,1.51,14.0,3.0,0.0,0.0,2.0,0.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,33.0,16.0,17.0,9.0,7.0,10.0,41.0,24.4,31.0,289.0,63.0,21.8,98.0,141.0,50.0,27.0,5.0,1.0,22.0,25.0,58.0,10.0,0.0,688.0,35.0,157.0,316.0,251.0,12.0,588.0,16.0,37.0,43.2,18.0,4.0,411.0,1733.0,810.0,32.0,12.0,2.0,14.0,12.0,510.0,402.0,78.8,31.0,0.0,8.0,15.0,2.0,0.0,0.0,0.0,77.0,6.0,11.0,35.3,2021
Thiago Alcántara,es ESP,MF,Liverpool,30,1991,25.0,17.0,1534.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,0.06,0.23,0.29,0.06,0.29,1.8,1.8,2.3,0.11,0.14,0.25,0.11,0.25,25.0,6.0,24.0,1.47,0.35,0.04,0.17,18.2,0.0,0.08,-0.8,-0.8,1325.0,1479.0,89.6,28007.0,7322.0,455.0,492.0,92.5,611.0,657.0,93.0,248.0,300.0,82.7,1.7,28.0,199.0,22.0,1.0,175.0,1460.0,19.0,12.0,3.0,216.0,63.0,2.0,1.0,0.0,1.0,0.0,1139.0,138.0,202.0,97.0,1308.0,35.0,3.0,5.0,2.0,15.0,42.0,23.0,61.0,3.58,52.0,0.0,1.0,5.0,0.0,3.0,6.0,0.35,6.0,0.0,0.0,0.0,0.0,0.0,58.0,40.0,17.0,31.0,10.0,12.0,40.0,30.0,28.0,319.0,117.0,36.7,86.0,163.0,70.0,26.0,2.0,0.0,24.0,35.0,93.0,18.0,2.0,1666.0,37.0,262.0,1113.0,395.0,26.0,1650.0,15.0,24.0,62.5,15.0,0.0,1238.0,5540.0,2957.0,163.0,47.0,4.0,10.0,14.0,1317.0,1264.0,96.0,48.0,0.0,25.0,26.0,0.0,0.0,0.0,0.0,217.0,37.0,16.0,69.8,2021
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,32.0,32.0,2853.0,2.0,12.0,2.0,0.0,0.0,2.0,0.0,0.06,0.38,0.44,0.06,0.44,2.7,2.7,11.2,0.08,0.35,0.44,0.08,0.44,51.0,14.0,27.5,1.61,0.44,0.04,0.14,23.0,5.0,0.05,-0.7,-0.7,2013.0,2706.0,74.4,44509.0,18154.0,727.0,826.0,88.0,813.0,1010.0,80.5,451.0,786.0,57.4,0.8,89.0,231.0,89.0,26.0,278.0,2155.0,551.0,90.0,20.0,237.0,199.0,127.0,131.0,28.0,89.0,2.0,1403.0,476.0,827.0,279.0,2018.0,60.0,330.0,6.0,6.0,38.0,102.0,77.0,150.0,4.73,87.0,52.0,5.0,5.0,1.0,0.0,17.0,0.54,11.0,5.0,0.0,1.0,0.0,0.0,44.0,24.0,22.0,15.0,7.0,23.0,59.0,39.0,36.0,288.0,97.0,33.7,114.0,88.0,86.0,39.0,5.0,1.0,34.0,76.0,120.0,43.0,1.0,3009.0,77.0,604.0,1411.0,1129.0,89.0,2459.0,26.0,44.0,59.1,26.0,0.0,1723.0,6044.0,3315.0,156.0,66.0,11.0,24.0,26.0,2017.0,1879.0,93.2,123.0,0.0,16.0,9.0,11.0,0.0,0.0,0.0,319.0,18.0,22.0,45.0,2021
Alisson,br BRA,GK,Liverpool,28,1992,36.0,36.0,3240.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.4,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.0,1360.0,86.6,31704.0,17522.0,181.0,184.0,98.4,655.0,662.0,98.9,338.0,510.0,66.3,0.6,2.0,13.0,0.0,0.0,0.0,1127.0,233.0,62.0,2.0,96.0,37.0,0.0,0.0,0.0,0.0,0.0,969.0,68.0,323.0,100.0,1030.0,3.0,0.0,195.0,0.0,18.0,19.0,0.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,3.0,50.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1462.0,1097.0,1450.0,15.0,0.0,0.0,1230.0,2.0,3.0,66.7,2.0,0.0,833.0,2944.0,1615.0,0.0,0.0,0.0,1.0,0.0,835.0,829.0,99.3,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,224.0,0.0,0.0,0.0,2021
Allan,br BRA,MF,Everton,30,1991,28.0,25.0,2183.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.08,0.08,0.0,0.08,0.2,0.2,0.9,0.01,0.04,0.04,0.01,0.04,7.0,3.0,42.9,0.29,0.12,0.0,0.0,24.1,0.0,0.03,-0.2,-0.2,757.0,967.0,78.3,14541.0,4232.0,284.0,332.0,85.5,354.0,426.0,83.1,99.0,157.0,63.1,1.1,15.0,100.0,19.0,2.0,106.0,905.0,62.0,21.0,0.0,156.0,17.0,6.0,0.0,0.0,0.0,0.0,666.0,112.0,189.0,87.0,824.0,34.0,10.0,3.0,5.0,16.0,44.0,29.0,32.0,1.32,31.0,0.0,0.0,0.0,1.0,0.0,6.0,0.25,5.0,0.0,0.0,0.0,1.0,0.0,77.0,61.0,31.0,41.0,5.0,26.0,88.0,29.5,62.0,648.0,204.0,31.5,260.0,327.0,61.0,46.0,9.0,0.0,37.0,42.0,119.0,40.0,0.0,1235.0,81.0,338.0,759.0,210.0,11.0,1175.0,16.0,24.0,66.7,16.0,3.0,763.0,3839.0,2018.0,106.0,28.0,2.0,19.0,31.0,710.0,657.0,92.5,19.0,0.0,39.0,28.0,0.0,1.0,0.0,0.0,272.0,12.0,13.0,48.0,2021
