Squad,# Pl,Age,Poss,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Press,Pass Types Sw,Pass Types Crs,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Height Ground,Height Low,Height High,Body Parts Left,Body Parts Right,Body Parts Head,Body Parts TI,Body Parts Other,Outcomes Cmp,Outcomes Off,Outcomes Out,Outcomes Int,Outcomes Blocks,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types Drib,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types Drib,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog,Playing Time Mn/MP,Playing Time Min%,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,season
Arsenal,26,24.8,48.0,13,143,1170,13.0,15,8,15,0,2,19,1,1.15,0.62,1.77,1.15,1.77,16.5,14.9,10.7,25.5,1.27,0.82,2.09,1.14,1.96,17,1.31,61,39,72.1,7,2,4,6,46.2,0,0,0,0,,13.0,17,0,0,1,0,17.8,0.3,0.8,0.06,75,205,36.6,335,64,41.8,37.1,93,69.9,53.5,122,11,9.0,6,0.46,14.5,15,182,58,31.9,14.0,4.46,0.08,0.26,17.7,8,0,2,0.08,-1.5,0.1,4934,6041,81.7,93711,29089,2065,2319,89.0,2116,2402,88.1,651,1107,58.8,8,10.7,-2.7,137,355,114,24,370,6041,5488,553,143,11,839,161,123,62,31,15,8,4217,749,1075,2399,2985,210,216,88,4934,26,89,155,120,299,23.0,213,26,17,19,15,9,21,1.62,14,2,0,4,1,0,196,119,94,71,31,76,171,44.4,95,1615,453,28.0,511,648,456,217,62,0,155,174,370,254,9,7559,916,2576,3403,2069,327,7025,108,199,54.3,113,4,4814,26016,14946,587,198,55,167,125,5694,4934,86.7,370,90,100,143,85,103,39,19,78,1.77,15,17,-2,-0.15,16.5,21.1,-4.6,-0.35,0,118,127,29,123,174,119,2,0,0,1009,204,215,48.7,2021
Aston Villa,24,26.3,45.6,13,143,1170,13.0,17,13,15,2,2,31,1,1.31,1.0,2.31,1.15,2.15,12.7,11.3,8.5,19.8,0.98,0.65,1.63,0.87,1.52,21,1.62,54,34,61.1,5,1,7,4,30.8,2,0,1,1,100.0,13.0,21,0,1,4,1,16.0,0.29,-4.0,-0.3,79,194,40.7,319,48,45.5,39.7,99,49.5,42.3,100,6,6.0,13,1.0,15.6,17,146,45,30.8,11.23,3.46,0.1,0.33,17.4,7,2,2,0.08,4.3,3.7,3790,5027,75.4,79429,29248,1343,1586,84.7,1732,2028,85.4,660,1232,53.6,13,8.5,4.5,99,314,106,25,387,5027,4411,616,180,7,708,192,177,68,42,13,6,3053,700,1274,1828,2483,243,234,70,3790,16,117,153,130,214,16.46,145,25,15,10,17,2,28,2.15,17,4,4,2,1,0,213,128,105,84,24,79,203,38.9,124,1685,472,28.0,539,737,409,210,59,1,151,206,419,243,2,6533,822,2262,2839,1801,312,5934,99,175,56.6,106,7,3767,18782,9990,387,117,39,164,146,4640,3790,81.7,387,90,100,143,84,104,39,20,78,1.23,18,21,-3,-0.23,12.7,18.1,-5.3,-0.41,0,135,170,17,177,206,128,1,2,1,1037,228,242,48.5,2021
Brentford,22,25.9,45.8,13,143,1170,13.0,16,9,14,2,2,26,1,1.23,0.69,1.92,1.08,1.77,17.3,15.8,11.0,26.8,1.33,0.85,2.18,1.22,2.06,17,1.31,49,33,67.3,4,4,5,4,30.8,1,1,0,0,0.0,13.0,17,1,0,2,0,16.5,0.32,-0.5,-0.04,118,305,38.7,494,68,48.0,40.6,103,66.0,48.8,121,12,9.9,19,1.46,15.5,16,149,47,31.5,11.46,3.62,0.09,0.3,14.9,4,2,2,0.11,-1.3,-1.8,3839,5351,71.7,77259,29881,1522,1836,82.9,1640,2065,79.4,608,1224,49.7,9,11.0,-2.0,100,292,94,29,352,5351,4733,618,160,8,805,127,148,46,28,11,1,2999,812,1540,1571,2785,365,278,106,3839,21,112,198,153,219,16.85,150,26,12,16,11,4,21,1.62,14,1,0,4,2,0,254,155,122,94,38,89,210,42.4,121,1989,576,29.0,710,853,426,200,38,3,162,203,457,312,3,6898,1027,2740,2876,1622,288,6298,77,146,52.7,82,11,3651,18132,9762,346,100,27,150,133,5028,3839,76.4,352,90,100,143,84,104,38,22,78,1.23,17,17,0,0.0,17.3,15.0,2.3,0.18,1,139,134,24,148,203,155,2,1,0,1217,301,302,49.9,2021
Brighton,24,27.3,56.5,13,143,1170,13.0,12,9,9,3,3,32,1,0.92,0.69,1.62,0.69,1.38,14.7,12.5,9.2,21.7,1.13,0.71,1.84,0.96,1.67,14,1.08,45,33,73.3,4,6,3,5,38.5,2,2,0,0,0.0,13.0,14,2,0,2,0,13.2,0.26,-0.8,-0.06,74,218,33.9,510,60,32.4,35.7,85,62.4,51.2,113,18,15.9,13,1.0,15.2,12,154,46,29.9,11.85,3.54,0.06,0.2,16.7,5,3,3,0.08,-2.7,-3.5,6071,7349,82.6,119440,35433,2308,2574,89.7,2829,3187,88.8,830,1313,63.2,9,9.2,-0.2,116,359,112,23,400,7349,6804,545,114,7,926,207,137,67,20,37,1,5325,834,1190,1674,4960,229,250,93,6071,16,114,200,182,257,19.77,186,24,17,12,12,6,20,1.54,12,2,1,1,4,0,260,162,128,95,37,80,178,44.9,98,1965,610,31.0,671,773,521,227,48,1,179,165,425,246,2,8855,1083,3405,3679,2281,331,8320,110,193,57.0,118,2,5767,28091,14665,545,157,50,143,150,7058,6071,86.0,400,90,100,143,84,105,38,23,79,1.38,12,14,-2,-0.15,14.7,15.7,-1.0,-0.08,0,133,106,18,137,165,162,2,2,0,1082,189,189,50.0,2021
Burnley,18,29.1,38.8,12,132,1080,12.0,13,12,13,0,0,28,0,1.08,1.0,2.08,1.08,2.08,13.5,13.5,10.3,23.8,1.13,0.86,1.99,1.13,1.99,20,1.67,55,34,63.6,1,6,5,1,8.3,0,0,0,0,,12.0,20,0,1,3,0,16.5,0.31,-3.5,-0.3,107,270,39.6,251,45,73.3,54.2,95,90.5,65.7,120,14,11.7,17,1.42,16.6,13,138,46,33.3,11.5,3.83,0.09,0.28,16.0,5,0,0,0.1,-0.5,-0.5,3029,4411,68.7,64574,27122,1285,1565,82.1,1081,1395,77.5,614,1263,48.6,12,10.3,1.7,96,279,93,38,285,4411,3866,545,109,12,842,152,169,55,51,0,1,2085,787,1539,1436,2107,294,254,74,3029,33,101,123,149,200,16.67,146,22,3,13,13,3,22,1.83,17,4,0,1,0,0,196,117,86,82,28,70,164,42.7,94,1566,436,27.8,480,687,399,235,81,5,154,192,388,263,4,5761,749,1840,2528,1655,228,5228,72,137,52.6,79,2,2979,14728,6853,283,105,17,132,102,4033,3029,75.1,285,90,100,132,86,101,31,19,77,0.75,14,20,-6,-0.5,13.5,19.6,-6.0,-0.5,0,117,97,34,169,192,117,0,0,0,1082,315,275,53.4,2021
Chelsea,25,27.6,59.2,13,143,1170,13.0,30,20,27,3,3,15,1,2.31,1.54,3.85,2.08,3.62,24.6,22.5,18.2,40.7,1.89,1.4,3.29,1.73,3.13,5,0.38,36,32,91.7,9,3,1,8,61.5,2,2,0,0,0.0,13.0,5,2,0,1,0,8.9,0.2,3.9,0.3,47,103,45.6,310,48,26.5,29.5,73,28.8,27.9,97,7,7.2,5,0.38,13.7,30,207,69,33.3,15.92,5.31,0.13,0.39,16.9,10,3,3,0.11,5.4,4.5,6677,7813,85.5,122476,38022,2872,3122,92.0,2895,3241,89.3,782,1167,67.0,20,18.2,1.8,152,454,154,17,516,7813,7238,575,160,24,1042,134,160,88,50,20,2,5903,913,997,1633,5501,229,235,77,6677,23,70,198,148,346,26.62,259,21,26,20,15,5,49,3.77,34,3,4,4,4,0,235,139,108,91,36,73,205,35.6,132,1807,572,31.7,558,783,466,198,45,3,153,190,425,294,4,9425,902,2983,4359,2674,408,8860,129,211,61.1,137,5,6305,30503,16828,719,227,84,148,167,7545,6677,88.5,516,90,100,143,84,104,38,20,79,2.31,31,5,26,2.0,24.6,12.6,12.0,0.92,0,133,147,25,160,190,139,2,1,0,1061,218,193,53.0,2021
Crystal Palace,21,28.0,51.9,14,154,1260,14.0,19,12,17,2,2,28,0,1.36,0.86,2.21,1.21,2.07,17.0,15.5,12.1,27.7,1.22,0.87,2.08,1.11,1.98,20,1.43,59,40,67.8,3,7,4,4,28.6,1,1,0,0,0.0,14.0,20,1,1,8,0,15.6,0.26,-4.4,-0.31,72,164,43.9,345,73,33.6,32.6,93,51.6,38.3,103,7,6.8,8,0.57,14.1,19,156,47,30.1,11.14,3.36,0.11,0.36,15.7,5,2,2,0.1,2.0,1.5,5694,7037,80.9,109923,34882,2268,2544,89.2,2552,2939,86.8,770,1303,59.1,12,12.1,-0.1,110,348,109,31,412,7037,6371,666,172,9,961,182,158,56,20,22,6,4767,887,1383,1512,4634,270,311,116,5694,22,111,218,146,243,17.36,170,20,14,18,13,8,26,1.86,20,0,3,2,1,0,262,159,136,102,24,97,209,46.4,112,2260,665,29.4,775,996,489,235,56,0,179,191,453,309,4,8822,1069,3170,4073,2097,338,8171,141,257,54.9,147,10,5710,28464,14868,550,176,62,201,219,6614,5694,86.1,412,90,100,154,86,116,38,16,87,1.14,19,20,-1,-0.07,17.0,14.6,2.5,0.18,0,165,158,22,158,191,159,1,1,0,1207,258,225,53.4,2021
Everton,25,28.0,41.4,13,143,1170,13.0,16,13,13,3,3,24,1,1.23,1.0,2.23,1.0,2.0,17.4,15.2,11.8,26.9,1.34,0.9,2.24,1.17,2.07,20,1.54,52,34,63.5,4,3,6,3,23.1,1,1,0,0,0.0,13.0,20,1,0,4,1,16.4,0.3,-2.6,-0.2,76,263,28.9,278,42,65.1,49.6,105,78.1,62.3,116,11,9.5,9,0.69,14.6,16,165,46,27.9,12.69,3.54,0.08,0.28,16.4,5,3,3,0.09,-1.4,-2.2,3786,5096,74.3,74908,27549,1519,1780,85.3,1567,1906,82.2,581,1132,51.3,13,11.8,1.2,127,310,113,37,377,5096,4523,573,118,7,848,157,163,52,24,20,2,3016,737,1343,1449,2879,271,263,72,3786,16,134,175,165,266,20.46,205,23,7,12,16,3,27,2.08,21,0,2,1,3,0,266,156,151,84,31,109,252,43.3,143,2059,620,30.1,772,852,435,235,54,0,181,215,481,290,3,6727,836,2370,2816,1948,323,6174,93,185,50.3,101,7,3899,21808,11458,468,160,56,161,127,4707,3786,80.4,377,90,100,143,86,110,33,16,81,1.15,16,20,-4,-0.31,17.4,17.9,-0.4,-0.03,0,120,112,16,163,215,156,3,1,1,1121,224,255,46.8,2021
Leeds United,24,26.5,57.4,14,154,1260,14.0,13,8,11,2,2,36,1,0.93,0.57,1.5,0.79,1.36,18.1,16.6,12.4,29.0,1.29,0.89,2.18,1.19,2.07,20,1.43,63,42,69.8,3,6,5,3,21.4,1,1,0,0,0.0,14.0,20,1,0,4,1,19.5,0.3,0.5,0.04,58,179,32.4,438,94,31.1,31.0,122,35.2,34.7,84,8,9.5,16,1.14,15.7,13,201,56,27.9,14.36,4.0,0.05,0.2,18.6,4,2,2,0.08,-5.1,-5.6,5576,6989,79.8,110651,35457,2129,2437,87.4,2551,2889,88.3,812,1408,57.7,8,12.4,-4.4,143,386,110,23,489,6989,6315,674,175,12,966,211,173,68,47,11,1,4634,1060,1295,3081,3150,254,275,125,5576,16,130,233,167,291,20.79,205,28,12,20,16,10,22,1.57,12,1,4,2,2,1,292,165,144,110,38,121,268,45.1,147,2438,771,31.6,798,1077,563,221,60,1,161,222,514,315,8,8805,1100,3439,3790,2139,346,8151,122,251,48.6,133,16,5644,31067,17425,578,149,71,183,170,6534,5576,85.3,489,90,100,154,84,116,38,23,88,1.07,13,20,-7,-0.5,18.1,22.5,-4.4,-0.31,0,169,152,18,173,222,165,1,1,1,1243,201,235,46.1,2021
Leicester City,22,27.6,51.2,13,143,1170,13.0,20,15,20,0,0,17,1,1.54,1.15,2.69,1.54,2.69,19.0,19.0,12.0,31.0,1.46,0.92,2.38,1.46,2.38,23,1.77,63,44,68.3,5,3,5,1,7.7,3,3,0,0,0.0,13.0,23,3,1,3,1,18.0,0.25,-4.0,-0.3,87,239,36.4,397,64,45.8,39.7,123,46.3,40.5,116,10,8.6,7,0.54,12.7,20,155,60,38.7,11.92,4.62,0.13,0.33,16.7,3,0,0,0.13,1.0,1.0,5116,6414,79.8,97602,32032,2024,2313,87.5,2374,2679,88.6,618,1172,52.7,15,12.0,3.0,106,289,91,11,405,6414,5753,661,179,12,1007,147,99,68,28,26,5,4476,799,1139,1382,4292,244,255,84,5116,23,121,207,152,229,17.62,176,13,11,12,9,8,29,2.23,17,2,2,3,2,3,265,146,117,119,29,105,233,45.1,128,2006,580,28.9,682,925,399,218,57,0,161,197,462,294,6,7996,1050,3024,3742,1654,284,7353,97,189,51.3,109,8,4981,23046,12020,459,133,52,154,140,6136,5116,83.4,405,90,100,143,83,104,38,24,79,1.38,20,23,-3,-0.23,19.0,21.3,-2.3,-0.18,0,103,142,28,99,197,146,0,3,1,1037,220,207,51.5,2021
