Squad,# Pl,Age,Poss,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Press,Pass Types Sw,Pass Types Crs,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Height Ground,Height Low,Height High,Body Parts Left,Body Parts Right,Body Parts Head,Body Parts TI,Body Parts Other,Outcomes Cmp,Outcomes Off,Outcomes Out,Outcomes Int,Outcomes Blocks,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types Drib,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types Drib,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog,Playing Time Mn/MP,Playing Time Min%,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,season
vs Arsenal,27,27.5,50.5,15,165,1350,15.0,22,17,21,1,1,28,1,1.47,1.13,2.6,1.4,2.53,23.9,23.2,18.0,41.2,1.6,1.2,2.79,1.55,2.74,18,1.2,68,49,73.5,6,2,7,5,33.3,2,0,2,0,100.0,15.0,18,0,1,5,0,20.8,0.29,2.8,0.18,110,253,43.5,501,57,36.9,36.3,110,61.8,49.0,96,5,5.2,11,0.73,14.8,22,207,74,35.7,13.8,4.93,0.1,0.28,16.3,4,1,1,0.11,-1.9,-2.2,6103,7512,81.2,119453,38875,2394,2698,88.7,2736,3100,88.3,868,1459,59.5,17,18.0,-1.0,157,425,136,33,454,7512,6818,694,165,18,915,189,192,80,37,21,4,5252,828,1432,1892,4755,290,305,80,6103,23,117,194,170,329,21.93,258,24,17,12,11,7,36,2.4,27,1,4,1,3,0,246,156,114,91,41,98,221,44.3,123,2065,599,29.0,713,865,487,196,58,0,138,195,441,275,2,9122,1138,3092,4107,2430,386,8446,95,182,52.2,103,1,5926,28100,14968,635,208,64,189,143,7038,6103,86.7,454,90,100,165,84,120,44,21,91,1.53,22,18,4,0.27,23.9,19.0,5.0,0.33,1,147,136,29,192,195,156,1,2,0,1182,253,238,51.5,2021
vs Aston Villa,25,27.3,55.4,15,165,1350,15.0,23,17,23,0,2,31,0,1.53,1.13,2.67,1.53,2.67,20.2,18.6,14.4,32.9,1.34,0.96,2.3,1.24,2.2,21,1.4,52,33,63.5,8,1,6,2,13.3,2,2,0,0,0.0,15.0,21,2,0,5,1,15.9,0.27,-4.1,-0.28,77,195,39.5,341,55,37.8,35.8,111,59.5,46.7,156,11,7.1,9,0.6,15.1,23,201,65,32.3,13.4,4.33,0.11,0.35,17.3,11,0,2,0.09,2.8,4.4,5858,7287,80.4,116635,36429,2216,2524,87.8,2685,3100,86.6,858,1402,61.2,17,14.4,2.6,148,392,107,23,412,7287,6588,699,157,12,908,229,172,85,38,22,7,4963,905,1419,1972,4468,281,309,81,5858,14,131,224,180,324,21.6,237,24,20,14,23,6,38,2.53,28,1,3,4,2,0,244,167,117,94,33,76,198,38.4,122,1886,590,31.3,639,829,418,198,48,0,150,177,421,346,4,9009,1065,3228,4005,2330,374,8321,136,246,55.3,147,9,5621,29896,17444,641,210,89,163,164,6908,5858,84.8,412,90,100,165,86,122,43,17,91,1.27,24,21,3,0.2,20.2,15.5,4.7,0.31,0,212,147,14,172,177,167,1,2,1,1256,273,264,50.8,2021
vs Brentford,22,27.5,54.3,15,165,1350,15.0,20,14,19,1,1,31,0,1.33,0.93,2.27,1.27,2.2,18.7,17.9,13.6,31.5,1.24,0.9,2.15,1.19,2.1,19,1.27,52,35,67.3,6,5,4,4,26.7,2,2,0,0,0.0,15.0,19,2,0,3,1,18.7,0.33,0.7,0.05,93,256,36.3,363,60,52.3,43.7,98,67.3,50.5,147,22,15.0,14,0.93,16.3,20,182,61,33.5,12.13,4.07,0.1,0.31,17.1,9,1,1,0.1,1.3,1.1,5734,7392,77.6,112833,36538,2335,2691,86.8,2398,2810,85.3,897,1613,55.6,14,13.6,0.4,134,447,142,45,475,7392,6688,704,171,17,990,219,199,80,40,22,1,4569,1110,1713,2068,4308,388,321,93,5734,34,114,219,203,294,19.6,230,17,11,15,15,6,29,1.93,24,1,0,3,1,0,222,128,94,99,29,74,172,43.0,98,1792,564,31.5,525,800,467,237,51,4,186,231,453,374,5,9238,962,2914,4241,2626,359,8552,128,245,52.2,137,11,5852,28699,14522,653,227,69,197,179,6962,5734,82.4,475,90,100,165,86,132,33,22,101,1.13,21,19,2,0.13,18.7,18.7,0.0,0.0,0,163,155,34,199,231,128,1,2,1,1431,345,340,50.4,2021
vs Brighton,24,27.2,42.9,15,165,1350,15.0,16,13,14,2,2,34,0,1.07,0.87,1.93,0.93,1.8,18.6,17.1,13.5,30.5,1.24,0.9,2.14,1.14,2.04,14,0.93,53,39,79.2,3,8,4,5,33.3,3,3,0,0,0.0,15.0,14,3,0,1,0,13.4,0.21,-0.6,-0.04,69,200,34.5,316,75,42.1,38.5,109,61.5,50.0,117,11,9.4,8,0.53,14.8,16,182,54,29.7,12.13,3.6,0.08,0.26,18.3,7,2,2,0.1,-2.6,-3.1,4978,6382,78.0,94565,32771,2102,2409,87.3,2097,2446,85.7,675,1236,54.6,13,13.5,-0.5,135,345,110,25,404,6382,5692,690,161,15,885,173,176,79,39,19,6,4147,871,1364,1853,3680,276,309,101,4978,8,117,182,198,286,19.07,218,20,15,14,16,3,27,1.8,18,3,2,2,2,0,251,144,121,97,33,79,219,36.1,140,2307,628,27.2,793,950,564,276,61,2,215,240,491,303,1,8202,929,2858,3412,2377,357,7523,111,227,48.9,121,9,4987,25827,13363,534,164,78,169,201,5930,4978,83.9,404,90,100,165,85,124,41,19,93,1.33,16,14,2,0.13,18.6,17.2,1.4,0.09,0,136,149,12,176,240,144,2,3,0,1174,227,235,49.1,2021
vs Burnley,19,27.1,60.5,14,154,1260,14.0,21,16,21,0,0,20,0,1.5,1.14,2.64,1.5,2.64,21.6,21.6,15.7,37.3,1.54,1.12,2.67,1.54,2.67,14,1.0,48,34,70.8,6,7,1,6,42.9,0,0,0,0,,14.0,14,0,0,3,1,14.2,0.3,1.2,0.09,83,232,35.8,449,85,38.3,36.0,107,56.1,45.0,171,18,10.5,14,1.0,15.3,21,236,62,26.3,16.86,4.43,0.09,0.34,16.7,7,0,0,0.09,-0.6,-0.6,6229,7779,80.1,119012,38729,2640,2990,88.3,2699,3120,86.5,799,1417,56.4,16,15.7,0.3,169,427,167,29,567,7779,7089,690,164,15,1002,217,192,88,19,41,7,5226,1027,1526,2354,4468,327,301,126,6229,17,117,212,180,379,27.07,280,30,22,29,15,3,35,2.5,28,1,2,3,1,0,186,104,92,71,23,63,158,39.9,95,1675,487,29.1,625,696,354,206,37,1,169,147,333,418,5,9486,1073,3398,4104,2549,446,8808,105,203,51.7,119,13,6113,32863,18610,724,201,90,171,158,7205,6229,86.5,567,90,100,154,86,116,38,15,87,0.71,21,14,7,0.5,21.6,14.4,7.1,0.51,0,114,129,17,192,147,104,0,0,1,1369,334,384,46.5,2021
vs Chelsea,25,27.4,41.1,15,165,1350,15.0,9,5,6,3,3,37,2,0.6,0.33,0.93,0.4,0.73,15.3,13.5,9.4,22.9,1.02,0.63,1.65,0.9,1.53,35,2.33,80,47,60.0,2,3,10,1,6.7,4,3,1,0,25.0,15.0,35,3,1,6,1,29.6,0.34,-4.4,-0.29,106,280,37.9,416,72,50.2,42.8,107,66.4,50.5,116,10,8.6,14,0.93,14.2,9,141,45,31.9,9.4,3.0,0.04,0.13,17.3,3,3,3,0.1,-6.3,-7.5,4899,6345,77.2,94533,32198,2111,2424,87.1,1989,2318,85.8,699,1319,53.0,5,9.4,-4.4,93,342,96,29,355,6345,5658,687,185,9,1088,170,151,73,31,26,6,4121,856,1368,1798,3732,267,272,100,4899,24,92,207,181,200,13.33,138,22,10,12,12,6,13,0.87,6,1,1,2,2,1,263,164,120,113,30,80,240,33.3,160,2642,635,24.0,797,1187,658,263,85,1,178,238,501,303,2,8096,1130,2854,3573,2089,293,7425,140,227,61.7,148,16,4731,22412,11355,458,138,46,191,175,6016,4899,81.4,355,90,100,165,84,119,44,23,91,2.2,9,35,-26,-1.73,15.3,27.1,-11.8,-0.79,1,181,153,27,151,238,164,2,3,1,1152,236,267,46.9,2021
vs Crystal Palace,22,27.3,49.0,15,165,1350,15.0,21,12,20,1,1,35,2,1.4,0.8,2.2,1.33,2.13,15.6,14.9,9.1,24.0,1.04,0.61,1.65,0.99,1.6,19,1.27,49,31,65.3,5,7,3,5,33.3,2,2,0,0,0.0,15.0,19,2,0,1,0,16.3,0.31,-2.7,-0.18,99,239,41.4,361,51,49.6,40.3,103,58.3,46.9,122,8,6.6,10,0.67,13.7,21,184,62,33.7,12.27,4.13,0.11,0.32,17.0,12,1,1,0.08,5.4,5.1,5643,7106,79.4,109892,36906,2380,2700,88.1,2329,2689,86.6,821,1415,58.0,12,9.1,2.9,118,476,131,35,461,7106,6407,699,180,9,1170,215,159,83,34,43,1,4655,958,1493,2137,4097,282,297,87,5643,18,121,195,194,272,18.13,184,28,12,22,22,4,29,1.93,18,4,0,5,1,1,348,190,161,144,43,114,269,42.4,155,2303,682,29.6,750,1021,532,211,54,0,157,233,581,284,5,8941,945,2797,4172,2488,370,8263,107,223,48.0,119,10,5428,26641,14103,608,160,49,212,182,6698,5643,84.2,461,90,100,165,85,122,42,20,93,1.07,21,19,2,0.13,15.6,17.9,-2.3,-0.15,1,182,162,17,159,233,190,0,2,0,1270,253,281,47.4,2021
vs Everton,26,27.1,59.7,15,165,1350,15.0,24,19,23,1,1,29,0,1.6,1.27,2.87,1.53,2.8,21.2,20.4,15.0,35.4,1.41,1.0,2.41,1.36,2.36,19,1.27,51,35,68.6,7,3,5,5,33.3,3,3,0,0,0.0,15.0,19,3,0,2,0,17.9,0.3,-1.1,-0.07,63,167,37.7,385,87,29.4,34.8,111,48.6,45.2,126,12,9.5,8,0.53,14.0,24,189,62,32.8,12.6,4.13,0.12,0.37,17.2,7,1,1,0.11,2.8,2.6,6999,8570,81.7,139458,43037,2592,2939,88.2,3252,3648,89.1,1052,1654,63.6,19,15.0,4.0,134,526,145,37,583,8570,7847,723,150,12,1077,221,171,89,48,31,1,5979,1144,1447,2790,4802,314,338,119,6999,10,128,241,204,284,18.93,201,27,17,15,16,8,36,2.4,21,4,4,4,1,2,239,135,103,99,37,92,207,44.4,115,2068,628,30.4,730,849,489,251,66,0,185,213,452,319,3,10362,976,3324,4980,2655,356,9648,144,274,52.6,156,13,6639,32979,17875,690,212,48,183,181,8129,6999,86.1,583,90,100,165,85,121,45,17,90,1.2,25,19,6,0.4,21.2,19.0,2.2,0.14,0,144,126,12,171,213,135,1,3,0,1347,300,254,54.2,2021
vs Leeds United,24,27.4,42.2,15,165,1350,15.0,21,16,20,1,1,32,0,1.4,1.07,2.47,1.33,2.4,23.5,22.8,15.6,38.4,1.57,1.04,2.61,1.52,2.56,15,1.0,62,49,79.0,5,7,3,3,20.0,2,2,0,0,0.0,15.0,15,2,1,3,0,16.0,0.23,1.0,0.07,98,255,38.4,390,64,41.3,39.0,132,71.2,51.1,143,9,6.3,7,0.47,14.2,21,216,66,30.6,14.4,4.4,0.09,0.3,17.0,11,1,1,0.11,-2.5,-2.8,4187,5691,73.6,83141,34133,1712,2020,84.8,1772,2187,81.0,630,1229,51.3,16,15.6,0.4,150,302,96,24,394,5691,4948,743,191,13,1075,134,125,76,27,45,2,3459,801,1431,1521,3279,286,314,97,4187,18,118,229,169,334,22.27,237,25,20,28,14,10,34,2.27,26,1,1,5,1,0,308,189,146,122,40,130,270,48.1,140,2129,676,31.8,695,924,510,260,76,3,184,265,573,347,5,7667,1072,2920,3289,1978,353,6938,149,288,51.7,160,14,4359,25982,14374,511,165,72,197,179,5227,4187,80.1,394,90,100,165,86,121,44,14,91,1.07,22,15,7,0.47,23.5,19.2,4.3,0.28,0,172,178,19,125,265,189,1,2,0,1276,253,223,53.2,2021
vs Leicester City,22,27.2,48.0,15,165,1350,15.0,26,16,23,3,3,22,0,1.73,1.07,2.8,1.53,2.6,24.8,22.6,17.4,40.0,1.65,1.16,2.81,1.5,2.67,23,1.53,70,44,67.1,6,4,5,3,20.0,0,0,0,0,,15.0,23,0,0,3,0,23.0,0.34,0.0,0.0,84,231,36.4,355,68,47.0,39.8,106,60.4,48.4,75,3,4.0,9,0.6,14.5,26,232,74,31.9,15.47,4.93,0.1,0.31,15.9,8,3,3,0.1,1.2,0.4,5450,6973,78.2,107666,36454,2183,2517,86.7,2286,2669,85.7,864,1482,58.3,16,17.4,-1.4,174,393,138,36,495,6973,6266,707,158,15,1037,224,186,82,57,16,3,4490,994,1489,1948,4107,312,321,109,5450,33,126,195,187,372,24.8,252,40,20,25,22,13,39,2.6,21,5,2,5,4,2,259,165,111,113,35,95,222,42.8,127,2284,667,29.2,667,1050,567,228,52,0,176,246,505,290,4,8797,933,2918,4027,2422,400,8108,133,255,52.2,146,11,5256,27952,15133,625,219,71,175,186,6548,5450,83.2,495,90,100,165,85,123,42,18,93,1.27,27,23,4,0.27,24.8,21.7,3.1,0.21,0,170,138,37,186,246,165,2,0,0,1307,247,278,47.0,2021
