squad,players_used,possession,games,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,gk_used,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,pens_save_pct,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,season
Arsenal,26.0,48.0,13.0,15.0,8.0,15.0,0.0,2.0,19.0,1.0,1.15,0.62,1.77,1.15,1.77,16.5,14.9,10.7,1.27,0.82,2.09,1.14,1.96,None,17.0,1.31,61.0,39.0,72.1,6.0,46.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.8,0.3,0.8,0.06,75.0,205.0,36.6,335.0,64.0,41.8,37.1,93.0,69.9,53.5,122.0,11.0,9.0,6.0,0.46,14.5,182.0,58.0,31.9,14.0,4.46,0.08,0.26,17.7,8.0,4934.0,6041.0,81.7,93711.0,29089.0,2065.0,2319.0,89.0,2116.0,2402.0,88.1,651.0,1107.0,58.8,-2.7,137.0,355.0,114.0,24.0,370.0,5488.0,553.0,143.0,11.0,839.0,161.0,123.0,62.0,31.0,15.0,8.0,4217.0,749.0,1075.0,2399.0,2985.0,210.0,216.0,88.0,26.0,89.0,155.0,120.0,299.0,23.0,213.0,26.0,17.0,19.0,15.0,9.0,21.0,1.62,14.0,2.0,0.0,4.0,1.0,0.0,196.0,119.0,94.0,71.0,31.0,76.0,171.0,44.4,95.0,1615.0,453.0,28.0,511.0,648.0,456.0,217.0,62.0,0.0,155.0,174.0,370.0,254.0,9.0,7559.0,916.0,2576.0,3403.0,2069.0,327.0,7025.0,108.0,199.0,54.3,113.0,4.0,4814.0,26016.0,14946.0,587.0,198.0,55.0,167.0,125.0,5694.0,4934.0,86.7,370.0,0.0,118.0,127.0,29.0,2.0,0.0,0.0,1009.0,204.0,215.0,48.7,2021
Aston Villa,24.0,45.6,13.0,17.0,13.0,15.0,2.0,2.0,31.0,1.0,1.31,1.0,2.31,1.15,2.15,12.7,11.3,8.5,0.98,0.65,1.63,0.87,1.52,None,21.0,1.62,54.0,34.0,61.1,4.0,30.8,2.0,0.0,1.0,1.0,100.0,1.0,4.0,1.0,16.0,0.29,-4.0,-0.3,79.0,194.0,40.7,319.0,48.0,45.5,39.7,99.0,49.5,42.3,100.0,6.0,6.0,13.0,1.0,15.6,146.0,45.0,30.8,11.23,3.46,0.1,0.33,17.4,7.0,3790.0,5027.0,75.4,79429.0,29248.0,1343.0,1586.0,84.7,1732.0,2028.0,85.4,660.0,1232.0,53.6,4.5,99.0,314.0,106.0,25.0,387.0,4411.0,616.0,180.0,7.0,708.0,192.0,177.0,68.0,42.0,13.0,6.0,3053.0,700.0,1274.0,1828.0,2483.0,243.0,234.0,70.0,16.0,117.0,153.0,130.0,214.0,16.46,145.0,25.0,15.0,10.0,17.0,2.0,28.0,2.15,17.0,4.0,4.0,2.0,1.0,0.0,213.0,128.0,105.0,84.0,24.0,79.0,203.0,38.9,124.0,1685.0,472.0,28.0,539.0,737.0,409.0,210.0,59.0,1.0,151.0,206.0,419.0,243.0,2.0,6533.0,822.0,2262.0,2839.0,1801.0,312.0,5934.0,99.0,175.0,56.6,106.0,7.0,3767.0,18782.0,9990.0,387.0,117.0,39.0,164.0,146.0,4640.0,3790.0,81.7,387.0,0.0,135.0,170.0,17.0,1.0,2.0,1.0,1037.0,228.0,242.0,48.5,2021
Brentford,22.0,45.8,13.0,16.0,9.0,14.0,2.0,2.0,26.0,1.0,1.23,0.69,1.92,1.08,1.77,17.3,15.8,11.0,1.33,0.85,2.18,1.22,2.06,None,17.0,1.31,49.0,33.0,67.3,4.0,30.8,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,16.5,0.32,-0.5,-0.04,118.0,305.0,38.7,494.0,68.0,48.0,40.6,103.0,66.0,48.8,121.0,12.0,9.9,19.0,1.46,15.5,149.0,47.0,31.5,11.46,3.62,0.09,0.3,14.9,4.0,3839.0,5351.0,71.7,77259.0,29881.0,1522.0,1836.0,82.9,1640.0,2065.0,79.4,608.0,1224.0,49.7,-2.0,100.0,292.0,94.0,29.0,352.0,4733.0,618.0,160.0,8.0,805.0,127.0,148.0,46.0,28.0,11.0,1.0,2999.0,812.0,1540.0,1571.0,2785.0,365.0,278.0,106.0,21.0,112.0,198.0,153.0,219.0,16.85,150.0,26.0,12.0,16.0,11.0,4.0,21.0,1.62,14.0,1.0,0.0,4.0,2.0,0.0,254.0,155.0,122.0,94.0,38.0,89.0,210.0,42.4,121.0,1989.0,576.0,29.0,710.0,853.0,426.0,200.0,38.0,3.0,162.0,203.0,457.0,312.0,3.0,6898.0,1027.0,2740.0,2876.0,1622.0,288.0,6298.0,77.0,146.0,52.7,82.0,11.0,3651.0,18132.0,9762.0,346.0,100.0,27.0,150.0,133.0,5028.0,3839.0,76.4,352.0,1.0,139.0,134.0,24.0,2.0,1.0,0.0,1217.0,301.0,302.0,49.9,2021
Brighton,24.0,56.5,13.0,12.0,9.0,9.0,3.0,3.0,32.0,1.0,0.92,0.69,1.62,0.69,1.38,14.7,12.5,9.2,1.13,0.71,1.84,0.96,1.67,None,14.0,1.08,45.0,33.0,73.3,5.0,38.5,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,13.2,0.26,-0.8,-0.06,74.0,218.0,33.9,510.0,60.0,32.4,35.7,85.0,62.4,51.2,113.0,18.0,15.9,13.0,1.0,15.2,154.0,46.0,29.9,11.85,3.54,0.06,0.2,16.7,5.0,6071.0,7349.0,82.6,119440.0,35433.0,2308.0,2574.0,89.7,2829.0,3187.0,88.8,830.0,1313.0,63.2,-0.2,116.0,359.0,112.0,23.0,400.0,6804.0,545.0,114.0,7.0,926.0,207.0,137.0,67.0,20.0,37.0,1.0,5325.0,834.0,1190.0,1674.0,4960.0,229.0,250.0,93.0,16.0,114.0,200.0,182.0,257.0,19.77,186.0,24.0,17.0,12.0,12.0,6.0,20.0,1.54,12.0,2.0,1.0,1.0,4.0,0.0,260.0,162.0,128.0,95.0,37.0,80.0,178.0,44.9,98.0,1965.0,610.0,31.0,671.0,773.0,521.0,227.0,48.0,1.0,179.0,165.0,425.0,246.0,2.0,8855.0,1083.0,3405.0,3679.0,2281.0,331.0,8320.0,110.0,193.0,57.0,118.0,2.0,5767.0,28091.0,14665.0,545.0,157.0,50.0,143.0,150.0,7058.0,6071.0,86.0,400.0,0.0,133.0,106.0,18.0,2.0,2.0,0.0,1082.0,189.0,189.0,50.0,2021
Burnley,18.0,38.8,12.0,13.0,12.0,13.0,0.0,0.0,28.0,0.0,1.08,1.0,2.08,1.08,2.08,13.5,13.5,10.3,1.13,0.86,1.99,1.13,1.99,None,20.0,1.67,55.0,34.0,63.6,1.0,8.3,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,16.5,0.31,-3.5,-0.3,107.0,270.0,39.6,251.0,45.0,73.3,54.2,95.0,90.5,65.7,120.0,14.0,11.7,17.0,1.42,16.6,138.0,46.0,33.3,11.5,3.83,0.09,0.28,16.0,5.0,3029.0,4411.0,68.7,64574.0,27122.0,1285.0,1565.0,82.1,1081.0,1395.0,77.5,614.0,1263.0,48.6,1.7,96.0,279.0,93.0,38.0,285.0,3866.0,545.0,109.0,12.0,842.0,152.0,169.0,55.0,51.0,0.0,1.0,2085.0,787.0,1539.0,1436.0,2107.0,294.0,254.0,74.0,33.0,101.0,123.0,149.0,200.0,16.67,146.0,22.0,3.0,13.0,13.0,3.0,22.0,1.83,17.0,4.0,0.0,1.0,0.0,0.0,196.0,117.0,86.0,82.0,28.0,70.0,164.0,42.7,94.0,1566.0,436.0,27.8,480.0,687.0,399.0,235.0,81.0,5.0,154.0,192.0,388.0,263.0,4.0,5761.0,749.0,1840.0,2528.0,1655.0,228.0,5228.0,72.0,137.0,52.6,79.0,2.0,2979.0,14728.0,6853.0,283.0,105.0,17.0,132.0,102.0,4033.0,3029.0,75.1,285.0,0.0,117.0,97.0,34.0,0.0,0.0,0.0,1082.0,315.0,275.0,53.4,2021
Chelsea,25.0,59.2,13.0,30.0,20.0,27.0,3.0,3.0,15.0,1.0,2.31,1.54,3.85,2.08,3.62,24.6,22.5,18.2,1.89,1.4,3.29,1.73,3.13,None,5.0,0.38,36.0,32.0,91.7,8.0,61.5,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,8.9,0.2,3.9,0.3,47.0,103.0,45.6,310.0,48.0,26.5,29.5,73.0,28.8,27.9,97.0,7.0,7.2,5.0,0.38,13.7,207.0,69.0,33.3,15.92,5.31,0.13,0.39,16.9,10.0,6677.0,7813.0,85.5,122476.0,38022.0,2872.0,3122.0,92.0,2895.0,3241.0,89.3,782.0,1167.0,67.0,1.8,152.0,454.0,154.0,17.0,516.0,7238.0,575.0,160.0,24.0,1042.0,134.0,160.0,88.0,50.0,20.0,2.0,5903.0,913.0,997.0,1633.0,5501.0,229.0,235.0,77.0,23.0,70.0,198.0,148.0,346.0,26.62,259.0,21.0,26.0,20.0,15.0,5.0,49.0,3.77,34.0,3.0,4.0,4.0,4.0,0.0,235.0,139.0,108.0,91.0,36.0,73.0,205.0,35.6,132.0,1807.0,572.0,31.7,558.0,783.0,466.0,198.0,45.0,3.0,153.0,190.0,425.0,294.0,4.0,9425.0,902.0,2983.0,4359.0,2674.0,408.0,8860.0,129.0,211.0,61.1,137.0,5.0,6305.0,30503.0,16828.0,719.0,227.0,84.0,148.0,167.0,7545.0,6677.0,88.5,516.0,0.0,133.0,147.0,25.0,2.0,1.0,0.0,1061.0,218.0,193.0,53.0,2021
Crystal Palace,20.0,52.9,13.0,19.0,12.0,17.0,2.0,2.0,25.0,0.0,1.46,0.92,2.38,1.31,2.23,16.0,14.5,11.3,1.23,0.87,2.11,1.12,1.99,None,19.0,1.46,57.0,38.0,66.7,4.0,30.8,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,14.7,0.26,-4.3,-0.33,66.0,147.0,44.9,317.0,68.0,32.8,32.7,84.0,51.2,38.2,97.0,7.0,7.2,7.0,0.54,13.8,147.0,46.0,31.3,11.31,3.54,0.12,0.37,15.6,4.0,5469.0,6705.0,81.6,105573.0,32973.0,2167.0,2421.0,89.5,2466.0,2825.0,87.3,736.0,1225.0,60.1,0.7,105.0,336.0,103.0,31.0,397.0,6092.0,613.0,156.0,9.0,888.0,175.0,145.0,52.0,20.0,18.0,6.0,4579.0,846.0,1280.0,1432.0,4441.0,255.0,289.0,106.0,22.0,105.0,205.0,132.0,228.0,17.54,162.0,19.0,12.0,16.0,12.0,7.0,26.0,2.0,20.0,0.0,3.0,2.0,1.0,0.0,241.0,144.0,126.0,93.0,22.0,81.0,184.0,44.0,103.0,2106.0,614.0,29.2,718.0,921.0,467.0,206.0,46.0,0.0,160.0,178.0,419.0,290.0,4.0,8347.0,988.0,2969.0,3873.0,1990.0,318.0,7747.0,123.0,230.0,53.5,129.0,8.0,5437.0,27051.0,14048.0,513.0,167.0,58.0,185.0,201.0,6323.0,5469.0,86.5,397.0,0.0,150.0,143.0,22.0,1.0,0.0,0.0,1102.0,245.0,213.0,53.5,2021
Everton,25.0,41.4,13.0,16.0,13.0,13.0,3.0,3.0,24.0,1.0,1.23,1.0,2.23,1.0,2.0,17.4,15.2,11.8,1.34,0.9,2.24,1.17,2.07,None,20.0,1.54,52.0,34.0,63.5,3.0,23.1,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,16.4,0.3,-2.6,-0.2,76.0,263.0,28.9,278.0,42.0,65.1,49.6,105.0,78.1,62.3,116.0,11.0,9.5,9.0,0.69,14.6,165.0,46.0,27.9,12.69,3.54,0.08,0.28,16.4,5.0,3786.0,5096.0,74.3,74908.0,27549.0,1519.0,1780.0,85.3,1567.0,1906.0,82.2,581.0,1132.0,51.3,1.2,127.0,310.0,113.0,37.0,377.0,4523.0,573.0,118.0,7.0,848.0,157.0,163.0,52.0,24.0,20.0,2.0,3016.0,737.0,1343.0,1449.0,2879.0,271.0,263.0,72.0,16.0,134.0,175.0,165.0,266.0,20.46,205.0,23.0,7.0,12.0,16.0,3.0,27.0,2.08,21.0,0.0,2.0,1.0,3.0,0.0,266.0,156.0,151.0,84.0,31.0,109.0,252.0,43.3,143.0,2059.0,620.0,30.1,772.0,852.0,435.0,235.0,54.0,0.0,181.0,215.0,481.0,290.0,3.0,6727.0,836.0,2370.0,2816.0,1948.0,323.0,6174.0,93.0,185.0,50.3,101.0,7.0,3899.0,21808.0,11458.0,468.0,160.0,56.0,161.0,127.0,4707.0,3786.0,80.4,377.0,0.0,120.0,112.0,16.0,3.0,1.0,1.0,1121.0,224.0,255.0,46.8,2021
Leeds United,24.0,57.1,13.0,12.0,8.0,11.0,1.0,1.0,31.0,1.0,0.92,0.62,1.54,0.85,1.46,16.3,15.6,11.6,1.26,0.89,2.15,1.2,2.09,None,20.0,1.54,62.0,41.0,69.4,2.0,15.4,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,19.3,0.3,0.3,0.02,55.0,173.0,31.8,409.0,89.0,31.8,31.3,112.0,38.4,36.0,76.0,8.0,10.5,15.0,1.15,16.0,186.0,54.0,29.0,14.31,4.15,0.06,0.2,18.6,4.0,5179.0,6479.0,79.9,102796.0,32906.0,1975.0,2257.0,87.5,2369.0,2677.0,88.5,754.0,1310.0,57.6,-3.6,134.0,355.0,105.0,23.0,449.0,5850.0,629.0,161.0,12.0,879.0,194.0,166.0,61.0,42.0,9.0,1.0,4280.0,995.0,1204.0,2849.0,2920.0,235.0,262.0,119.0,14.0,120.0,221.0,148.0,269.0,20.69,188.0,26.0,12.0,18.0,16.0,9.0,21.0,1.62,12.0,1.0,4.0,1.0,2.0,1.0,265.0,153.0,136.0,92.0,37.0,112.0,241.0,46.5,129.0,2220.0,693.0,31.2,745.0,977.0,498.0,203.0,56.0,1.0,147.0,209.0,474.0,297.0,8.0,8156.0,1030.0,3210.0,3472.0,1985.0,328.0,7546.0,115.0,226.0,50.9,124.0,16.0,5258.0,28959.0,16167.0,539.0,140.0,67.0,172.0,165.0,6074.0,5179.0,85.3,449.0,0.0,154.0,138.0,16.0,1.0,1.0,1.0,1134.0,189.0,222.0,46.0,2021
Leicester City,22.0,51.2,13.0,20.0,15.0,20.0,0.0,0.0,17.0,1.0,1.54,1.15,2.69,1.54,2.69,19.0,19.0,12.0,1.46,0.92,2.38,1.46,2.38,None,23.0,1.77,63.0,44.0,68.3,1.0,7.7,3.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,18.0,0.25,-4.0,-0.3,87.0,239.0,36.4,397.0,64.0,45.8,39.7,123.0,46.3,40.5,116.0,10.0,8.6,7.0,0.54,12.7,155.0,60.0,38.7,11.92,4.62,0.13,0.33,16.7,3.0,5116.0,6414.0,79.8,97602.0,32032.0,2024.0,2313.0,87.5,2374.0,2679.0,88.6,618.0,1172.0,52.7,3.0,106.0,289.0,91.0,11.0,405.0,5753.0,661.0,179.0,12.0,1007.0,147.0,99.0,68.0,28.0,26.0,5.0,4476.0,799.0,1139.0,1382.0,4292.0,244.0,255.0,84.0,23.0,121.0,207.0,152.0,229.0,17.62,176.0,13.0,11.0,12.0,9.0,8.0,29.0,2.23,17.0,2.0,2.0,3.0,2.0,3.0,265.0,146.0,117.0,119.0,29.0,105.0,233.0,45.1,128.0,2006.0,580.0,28.9,682.0,925.0,399.0,218.0,57.0,0.0,161.0,197.0,462.0,294.0,6.0,7996.0,1050.0,3024.0,3742.0,1654.0,284.0,7353.0,97.0,189.0,51.3,109.0,8.0,4981.0,23046.0,12020.0,459.0,133.0,52.0,154.0,140.0,6136.0,5116.0,83.4,405.0,0.0,103.0,142.0,28.0,0.0,3.0,1.0,1037.0,220.0,207.0,51.5,2021
