id,first_name,second_name,team,Top_100,Top_1K,Top_10K,Top_100K,Top_1M,Overall
1,Mesut,Özil,1,0.0,0.0,0.0,0.0,0.0,0.6006006006006006
2,Sokratis,Papastathopoulos,1,0.0,0.0,0.0,0.0,0.0,0.0
3,David,Luiz Moreira Marinho,1,0.0,0.0,0.0,0.0,0.0,1.0510510510510511
4,Pierre-Emerick,Aubameyang,1,0.0,0.0,0.0,0.0,0.2597402597402597,5.7057057057057055
5,Cédric,Soares,1,0.0,0.0,0.0,0.0,0.0,0.0
6,Alexandre,Lacazette,1,1.25,5.39568345323741,3.783783783783784,4.699738903394255,9.35064935064935,9.45945945945946
7,Shkodran,Mustafi,1,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
8,Bernd,Leno,1,10.0,10.431654676258994,8.378378378378379,6.527415143603134,5.974025974025974,8.408408408408409
9,Granit,Xhaka,1,0.0,0.0,0.0,0.0,0.0,0.7507507507507507
10,Pablo,Marí,1,1.25,0.3597122302158274,0.5405405405405406,0.0,0.0,0.3003003003003003
11,Héctor,Bellerín,1,1.25,0.7194244604316548,0.8108108108108109,1.5665796344647518,2.857142857142857,4.2042042042042045
13,Calum,Chambers,1,0.0,0.0,0.0,0.0,0.0,0.0
14,Sead,Kolasinac,1,0.0,0.0,0.0,0.0,0.0,0.0
16,Rob,Holding,1,20.0,22.66187050359712,15.945945945945947,10.966057441253264,7.792207792207792,4.654654654654655
17,Kieran,Tierney,1,2.5,1.7985611510791366,3.2432432432432434,2.3498694516971277,4.415584415584416,8.108108108108109
18,Nicolas,Pépé,1,0.0,0.0,0.0,0.0,0.0,1.5015015015015014
19,Lucas,Torreira,1,0.0,0.0,0.0,0.0,0.0,0.0
21,Reiss,Nelson,1,0.0,0.0,0.0,0.0,0.0,0.0
22,Edward,Nketiah,1,0.0,0.0,0.0,0.0,0.0,0.6006006006006006
23,Emile,Smith Rowe,1,6.25,2.158273381294964,2.4324324324324325,4.960835509138381,5.194805194805195,1.8018018018018018
24,Bukayo,Saka,1,15.0,17.62589928057554,17.2972972972973,13.577023498694519,17.92207792207792,13.213213213213212
25,Matteo,Guendouzi,1,0.0,0.0,0.0,0.0,0.0,0.0
26,Gabriel Teodoro,Martinelli Silva,1,1.25,0.0,0.2702702702702703,0.0,0.5194805194805194,0.15015015015015015
