,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
75000,86,83,32,73,90,61,66,73,52,72,68,72,43,67,41,22,70,52,110,69,22,88,68,90,75,103,45,48,28,60,42,68,56,48,113,54,35,63
75001,65,49,47,49,73,41,51,72,61,61,76,52,47,83,47,36,69,54,113,41,67,67,63,97,67,92,75,49,50,59,63,65,52,46,151,58,44,56
75002,68,59,45,34,65,50,47,75,49,38,78,75,48,92,52,32,71,59,122,41,77,79,62,91,74,102,64,57,56,68,55,77,59,41,89,40,62,55
75003,67,69,46,37,84,39,64,72,66,60,86,76,56,53,48,51,77,51,110,39,52,68,67,109,76,82,66,53,66,53,48,64,53,18,121,51,57,53
75004,73,49,28,48,64,51,48,58,77,50,60,46,59,90,63,64,65,41,125,66,53,65,62,63,83,114,53,43,55,43,88,75,46,46,120,56,54,64
75005,56,77,44,74,48,39,62,68,48,52,75,57,54,74,45,37,76,56,104,54,65,71,74,80,80,77,71,56,59,64,47,61,62,48,130,55,45,63
75006,58,43,41,49,73,43,62,68,60,49,67,53,45,63,77,48,71,48,79,57,74,88,72,99,80,111,59,53,50,58,48,68,56,39,134,49,45,71
75007,66,72,39,51,97,56,40,93,65,54,72,63,44,67,49,38,72,54,87,50,54,73,67,106,86,91,65,55,53,70,38,56,63,21,110,67,48,56
75008,85,54,39,56,81,47,53,72,70,49,72,60,42,83,59,48,68,49,91,48,73,64,67,105,62,80,79,53,52,69,52,61,64,39,117,53,47,45
75009,72,89,37,61,73,46,44,70,64,59,81,63,49,76,62,58,74,57,91,54,61,75,54,87,73,77,99,50,53,44,46,60,42,52,107,32,55,61
75010,96,33,33,87,65,50,47,75,68,41,67,75,41,89,51,39,81,34,95,41,69,97,71,73,83,91,66,56,33,57,40,64,54,44,135,50,66,51
75011,63,54,41,51,89,44,58,76,53,46,66,56,63,79,56,28,69,44,127,33,59,72,65,102,64,116,95,47,42,52,30,74,59,35,127,41,56,76
