id,first_name,second_name,team,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
1,Bernd,Leno,1,0.0,0.0,0.0,0.025,0.04,0.04666666666666667,0.092
2,Rúnar Alex,Rúnarsson,1,0.0,0.0,0.0,0.0,0.0,0.0,0.012
3,Willian,Borges Da Silva,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Pierre-Emerick,Aubameyang,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Cédric,Soares,1,0.0,2.0,0.4,0.4,1.02,0.8066666666666666,0.996
6,Alexandre,Lacazette,1,1.3333333333333335,1.2,0.95,1.425,1.6199999999999999,2.0,2.6839999999999997
7,Granit,Xhaka,1,0.0,0.0,0.0,0.025,0.02,0.02,0.04
8,Pablo,Marí,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Héctor,Bellerín,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Sead,Kolasinac,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Mohamed Naser,El Sayed Elneny,1,0.0,0.0,0.0,0.025,0.02,0.006666666666666667,0.016
13,Ainsley,Maitland-Niles,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Rob,Holding,1,0.0,0.0,0.0,0.05,0.0,0.03333333333333333,0.068
15,Thomas,Partey,1,0.0,0.0,0.0,0.0,0.02,0.0,0.012
16,Kieran,Tierney,1,0.0,0.0,0.35000000000000003,0.575,0.72,0.8533333333333334,1.424
17,Nicolas,Pépé,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Lucas,Torreira,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Edward,Nketiah,1,18.666666666666668,15.4,18.05,20.8,19.040000000000003,18.46666666666667,15.004000000000001
21,Emile,Smith Rowe,1,0.0,0.0,0.4,0.625,0.62,1.38,2.7119999999999997
22,Bukayo,Saka,1,92.0,88.0,80.95,72.725,69.6,65.23333333333333,59.496
23,Gabriel,Magalhães,1,0.0,0.6,1.4000000000000001,1.6,1.7399999999999998,2.8533333333333335,5.104
24,Konstantinos,Mavropanos,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Mattéo,Guendouzi,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Gabriel Teodoro,Martinelli Silva,1,9.333333333333334,9.0,7.35,6.575,6.859999999999999,6.88,5.928
27,William,Saliba,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Ben,White,1,14.666666666666666,15.4,17.299999999999997,19.425,21.72,24.266666666666666,25.863999999999997
466,Nuno,Varela Tavares,1,1.3333333333333335,0.4,1.05,1.0250000000000001,1.1400000000000001,1.2933333333333332,1.384
478,Albert,Sambi Lokonga,1,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
530,Folarin,Balogun,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531,Reiss,Nelson,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,Karl,Hein,1,0.0,0.0,0.0,0.0,0.0,0.0,0.032
558,Martin,Ødegaard,1,4.0,1.6,2.7,3.025,3.74,5.326666666666666,7.528
559,Aaron,Ramsdale,1,37.333333333333336,46.2,42.05,37.724999999999994,36.559999999999995,36.14666666666667,34.884
572,Arthur,Okonkwo,1,0.0,0.0,0.1,0.2,0.16,0.3933333333333333,0.528
590,Takehiro,Tomiyasu,1,0.0,0.2,0.05,0.075,0.16,0.19333333333333333,0.192
664,Charlie,Patino,1,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.004
692,Omari,Hutchinson,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
693,Salah-Eddine,Oulad M'hand,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
694,Mika,Biereth,1,0.0,0.0,0.1,0.1,0.06,0.18666666666666668,0.156
695,Ryan,Alebiosu,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
705,Zach,Awe,1,0.0,0.0,0.0,0.0,0.0,0.0,0.008
711,Zak,Swanson,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
719,Mazeed,Ogungbo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720,Marcelo,Flores,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721,Miguel,Azeez,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Calum,Chambers,2,0.0,0.0,0.2,0.05,0.08,0.14666666666666667,0.212
28,Jed,Steer,2,0.0,0.0,0.0,0.1,0.16,0.2733333333333333,0.484
29,Conor,Hourihane,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Emiliano,Martínez,2,0.0,0.6,0.5499999999999999,0.625,0.9199999999999999,1.52,2.636
31,Björn,Engels,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Bertrand,Traoré,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Morgan,Sanson,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,John,McGinn,2,0.0,0.0,0.0,0.0,0.02,0.04,0.052
36,Kortney,Hause,2,0.0,0.0,0.0,0.0,0.02,0.0,0.004
37,Mahmoud Ahmed,Ibrahim Hassan,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Tyrone,Mings,2,0.0,0.8,0.5,1.375,1.52,1.76,2.424
40,Ollie,Watkins,2,10.666666666666668,18.6,17.0,20.075000000000003,20.080000000000002,18.806666666666665,17.848
41,Marvelous,Nakamba,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Emiliano,Buendía Stati,2,0.0,0.0,0.0,0.025,0.0,0.02666666666666667,0.032
44,Matthew,Cash,2,17.333333333333336,15.0,16.950000000000003,20.200000000000003,20.4,21.38,20.5
45,Ezri,Konsa Ngoyo,2,0.0,0.0,0.15,0.27499999999999997,0.3,0.4333333333333333,0.604
46,Frédéric,Guilbert,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Wesley,Moraes,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Mbwana Ally,Samatta,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Keinan,Davis,2,0.0,0.0,0.05,0.075,0.18,0.15333333333333335,0.28400000000000003
50,Douglas Luiz,Soares de Paulo,2,0.0,0.0,0.3,0.2,0.52,0.5333333333333333,0.976
51,Jacob,Ramsey,2,17.333333333333336,16.6,19.2,22.375,24.12,24.28666666666667,22.2
52,Ashley,Young,2,1.3333333333333335,1.2,0.6,0.625,0.7000000000000001,0.74,0.724
168,Lucas,Digne,2,2.666666666666667,1.6,1.6,1.375,1.54,1.4866666666666668,1.428
337,Danny,Ings,2,0.0,0.0,0.0,0.1,0.06,0.15333333333333335,0.24
492,Leon,Bailey,2,0.0,0.2,0.0,0.0,0.0,0.006666666666666667,0.012
496,Aaron,Ramsey,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,Jaden,Philogene-Bidace,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,Carney,Chukwuemeka,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
568,Cameron,Archer,2,0.0,0.0,0.0,0.0,0.02,0.03333333333333333,0.128
596,Viljami,Sinisalo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.016
610,Lamare,Bogarde,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
638,Tim,Iroegbunam,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,Filip,Marschall,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,Josh,Feeney,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681,Philippe,Coutinho Correia,2,25.333333333333336,30.0,28.95,27.325,25.900000000000002,23.233333333333334,21.236
684,Kaine,Hayden,2,0.0,0.0,0.0,0.0,0.0,0.0,0.004
691,Robin,Olsen,2,0.0,0.0,0.0,0.0,0.02,0.0,0.004
703,Benjamin,Chrisene,2,0.0,0.0,0.0,0.0,0.0,0.0,0.008
713,Tommi,O'Reilly,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Pontus,Jansson,3,0.0,0.0,0.05,0.15,0.3,0.5533333333333333,1.444
77,Christian,Nørgaard,3,0.0,0.0,0.0,0.0,0.0,0.0,0.036000000000000004
78,Ivan,Toney,3,4.0,2.6,5.1,6.375,8.06,12.026666666666666,16.724
79,Tariqe,Fosu-Henry,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,David,Raya Martin,3,0.0,0.4,0.44999999999999996,0.8,1.4000000000000001,2.42,3.108
81,Sergi,Canós,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Pelenda Joshua,Dasilva,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Rico,Henry,3,0.0,0.0,0.0,0.0,0.02,0.06,0.172
84,Vitaly,Janelt,3,0.0,0.0,0.0,0.0,0.02,0.013333333333333334,0.128
85,Saman,Ghoddos,3,0.0,0.0,0.0,0.0,0.0,0.0,0.004
86,Mathias,Jensen,3,0.0,0.0,0.0,0.0,0.0,0.0,0.008
87,Charlie,Goode,3,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.032
88,Marcus,Forss,3,0.0,0.0,0.0,0.0,0.0,0.0,0.004
89,Mads,Roerslev Rasmussen,3,0.0,0.0,0.0,0.05,0.02,0.07333333333333333,0.11199999999999999
90,Mads,Bech Sørensen,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Ethan,Pinnock,3,0.0,0.0,0.0,0.05,0.1,0.08,0.156
92,Ellery,Balcombe,3,0.0,0.0,0.0,0.0,0.0,0.0,0.004
93,Jan,Zamburek,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Patrik,Gunnarsson,3,0.0,0.0,0.1,0.125,0.06,0.20666666666666667,0.424
95,Halil,Dervişoğlu,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Bryan,Mbeumo,3,0.0,0.0,0.2,0.25,0.44,0.7266666666666667,1.532
97,Mads,Bidstrup,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,Frank,Onyeka,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483,Kristoffer,Ajer,3,0.0,0.0,0.0,0.05,0.08,0.11333333333333334,0.24
498,Dominic,Thompson,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,Shandon,Baptiste,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524,Yoane,Wissa,3,0.0,0.0,0.0,0.0,0.0,0.0,0.008
556,Álvaro,Fernández,3,0.0,0.0,0.0,0.0,0.06,0.08666666666666667,0.184
569,Finley,Stevens,3,0.0,0.0,0.0,0.025,0.02,0.013333333333333334,0.024
594,Mathias,Jorgensen,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,Paris,Maghoma,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619,Matthew,Cox,3,0.0,0.0,0.0,0.025,0.0,0.006666666666666667,0.008
628,Maxwell,Haygarth,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
640,Nathan,Young-Coombes,3,4.0,2.1999999999999997,1.7500000000000002,1.95,1.5599999999999998,1.34,1.2959999999999998
662,Myles,Peart-Harris,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673,Jonas,Lössl,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
699,Christian,Eriksen,3,0.0,0.6,0.15,0.44999999999999996,0.33999999999999997,0.8266666666666667,1.492
722,Julian,Jeanvier,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Adam,Lallana,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Jason,Steele,4,0.0,0.8,1.6,1.55,1.6400000000000001,2.0,2.2960000000000003
55,Pascal,Groß,4,0.0,0.0,0.0,0.0,0.0,0.0,0.012
56,Shane,Duffy,4,0.0,0.0,0.0,0.1,0.1,0.3066666666666667,0.852
57,Davy,Pröpper,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Lewis,Dunk,4,0.0,0.0,0.0,0.05,0.02,0.07333333333333333,0.18
60,Solomon,March,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Adam,Webster,4,0.0,0.0,0.0,0.025,0.1,0.04666666666666667,0.084
62,Joël,Veltman,4,0.0,0.4,0.6,1.0999999999999999,1.16,1.4733333333333332,1.848
63,Neal,Maupay,4,0.0,0.2,0.5,0.3,0.7799999999999999,1.3599999999999999,2.544
64,Leandro,Trossard,4,0.0,0.0,0.0,0.075,0.02,0.24666666666666665,0.4
65,Mathew,Ryan,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Alireza,Jahanbakhsh,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Bernardo,Fernandes Da Silva Junior,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Robert,Sánchez,4,2.666666666666667,2.0,3.85,6.425,8.94,12.453333333333333,18.3
70,Yves,Bissouma,4,0.0,0.0,0.0,0.0,0.1,0.20666666666666667,0.356
71,Tariq,Lamptey,4,0.0,0.0,0.15,0.4,0.8200000000000001,1.1133333333333333,2.012
72,Aaron,Connolly,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Steven,Alzate,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Alexis,Mac Allister,4,0.0,0.0,0.05,0.025,0.0,0.06666666666666667,0.1
75,Jakub,Moder,4,0.0,0.0,0.0,0.025,0.0,0.02666666666666667,0.092
447,Danny,Welbeck,4,0.0,0.0,0.0,0.0,0.02,0.03333333333333333,0.084
462,Enock,Mwepu,4,0.0,0.0,0.0,0.0,0.02,0.006666666666666667,0.055999999999999994
476,Kjell,Scherpen,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,Florin,Andone,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
