,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
130000,123,211,311,212,112,311,113,121,121,121,211,231,211,131,323,121,211,323,122,113,231,211,211,112,211,212,132,223,113,123,113,131,233,133,221,321,213,311
130001,113,131,311,231,123,211,211,231,131,213,231,212,211,211,211,121,312,322,121,211,231,212,132,331,132,133,122,221,311,311,131,231,311,313,121,113,311,331
130002,112,211,311,211,311,311,211,221,221,221,231,221,121,112,312,311,331,112,211,212,112,213,113,113,112,121,221,211,131,131,133,133,121,123,122,132,311,311
130003,132,213,213,213,123,123,112,212,122,212,112,212,122,212,312,121,311,323,212,322,232,221,121,211,112,121,121,212,121,121,113,133,123,311,211,113,211,311
130004,121,211,211,211,113,211,121,212,321,211,112,122,122,112,212,123,112,133,122,123,122,121,211,121,112,311,211,132,212,211,321,321,123,131,212,112,211,231
130005,113,123,123,223,133,123,121,121,321,232,213,213,121,221,221,113,112,323,222,233,311,221,211,113,113,213,322,122,221,211,121,132,211,232,123,223,113,123
130006,113,113,113,113,113,113,113,223,123,223,123,123,213,133,133,213,123,213,213,213,213,121,213,313,123,113,112,113,113,211,113,211,221,223,113,313,122,311
130007,112,112,112,212,132,212,212,211,121,121,321,121,211,321,321,321,131,231,231,231,321,121,121,311,211,311,211,221,211,211,121,221,212,112,211,211,211,113
130008,312,212,321,211,121,121,211,211,131,211,221,131,122,121,231,322,233,323,123,123,213,112,213,331,331,123,211,211,212,211,211,132,121,321,122,322,123,122
130009,211,211,131,113,123,211,311,221,133,133,321,231,211,311,321,211,211,332,221,312,321,211,211,231,311,211,112,311,113,211,121,211,311,311,311,131,123,113
130010,121,112,211,311,113,123,231,221,113,113,213,213,233,113,213,231,133,133,122,112,112,132,113,123,121,321,211,121,212,212,121,113,113,323,113,123,123,313
130011,112,211,121,312,312,112,112,122,112,212,212,221,123,221,132,112,313,112,122,211,122,121,311,131,121,211,112,211,211,211,311,213,211,311,113,133,312,331
130012,112,112,112,121,123,311,311,232,132,221,122,221,231,121,322,131,113,213,212,213,313,213,112,313,113,113,211,122,132,121,121,211,121,131,112,211,121,311
130013,213,213,213,113,133,213,211,222,122,122,212,112,132,312,312,113,313,233,312,212,113,113,213,123,113,213,211,312,213,121,131,311,211,121,131,121,221,113
130014,312,312,212,212,312,112,112,221,121,211,211,211,133,112,231,221,331,323,213,232,232,112,223,321,311,221,131,231,132,311,133,323,122,133,112,123,122,312
130015,112,212,211,221,112,122,112,132,221,211,231,221,121,131,231,121,211,312,223,231,211,311,112,123,113,121,211,211,113,123,322,121,311,132,223,233,132,221
130016,121,121,121,123,123,121,112,221,121,121,121,221,211,211,133,133,321,323,223,231,112,121,311,311,311,311,112,213,123,123,113,213,321,131,113,113,113,113
130017,212,112,112,212,311,123,211,122,232,312,212,222,122,221,323,122,113,132,321,321,221,221,211,321,121,211,112,312,132,211,113,112,233,132,211,112,112,132
130018,121,121,211,211,211,211,211,211,112,221,122,122,221,121,222,321,313,312,312,321,211,321,131,233,121,213,211,123,332,311,133,123,132,323,123,222,211,323
130019,122,112,112,211,113,321,121,221,212,212,232,312,122,112,332,123,121,131,313,131,131,121,231,131,113,311,211,221,221,231,113,232,132,112,132,332,123,133
130020,113,213,213,113,132,112,112,221,312,112,112,212,132,112,332,312,112,123,132,213,311,121,211,311,131,231,121,311,311,311,313,311,212,131,131,211,211,211
130021,211,211,312,311,113,132,132,321,211,112,132,312,112,232,312,131,311,123,213,223,321,221,121,213,112,123,121,121,121,131,221,123,122,122,122,213,122,121
130022,321,121,321,121,112,121,211,212,321,231,211,221,223,221,221,121,231,131,231,132,112,121,211,312,112,331,112,213,133,211,113,131,231,331,131,331,311,233
130023,131,131,131,231,131,231,131,222,212,212,112,212,222,112,332,312,132,132,133,232,112,121,211,211,121,321,121,221,132,132,113,113,122,133,131,131,112,311
130024,212,112,112,112,311,312,121,122,112,112,122,212,212,112,322,122,312,133,113,123,112,312,112,312,311,211,211,222,313,123,123,123,132,132,131,132,112,311
130025,113,113,113,123,113,123,123,223,123,223,223,223,123,123,123,123,123,113,213,123,113,212,212,212,211,122,122,312,131,121,131,123,123,113,211,211,112,113
130026,112,112,112,211,113,121,211,221,121,221,212,122,121,121,232,221,123,123,311,231,311,211,211,321,211,211,311,211,331,332,113,131,121,131,131,231,121,112
130027,123,112,132,312,131,231,231,212,112,212,112,122,312,122,232,232,321,123,212,232,211,221,121,213,112,311,211,313,122,211,112,312,212,211,121,221,131,321
130028,112,112,211,121,112,112,112,112,131,221,321,312,122,112,212,123,113,123,123,323,313,213,113,113,123,113,112,212,311,211,113,123,112,121,121,213,121,312
130029,212,112,121,321,113,213,211,221,212,212,212,212,321,112,232,232,231,312,312,132,123,112,121,231,311,312,211,112,112,132,113,313,312,131,121,123,112,121
130030,131,131,131,121,131,211,211,232,112,121,112,121,221,121,331,123,123,133,132,132,131,121,211,132,312,132,112,132,132,132,112,331,123,133,133,313,312,323
