,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
5000,2,3,2,2,2,2,1,1,1,1,1,2,2,1,2,1,1,1,0,2,2,2,2,1,1,1,2,2,1,2,3,1,2,2,2,2,0,0
5001,2,3,2,2,3,2,2,2,1,2,1,2,1,1,2,2,1,1,2,4,2,1,1,1,2,2,2,1,4,0,3,1,2,2,2,2,0,0
5002,2,3,1,1,1,1,1,1,1,1,3,2,2,1,2,1,2,2,2,1,2,3,1,2,1,2,2,2,1,0,3,1,2,1,2,2,0,0
5003,2,3,2,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,3,2,1,3,0,3,1,2,1,1,2,0,0
5004,2,3,2,1,2,2,3,2,1,2,1,2,2,1,2,1,1,1,2,2,2,1,1,2,2,1,2,1,3,0,1,1,2,1,2,2,0,0
5005,2,3,2,2,2,2,3,1,1,1,1,2,1,1,2,1,1,0,2,2,2,1,2,1,1,2,2,2,1,0,2,1,2,1,2,2,0,0
5006,2,3,2,2,2,2,3,2,1,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,0,2,2,2,2,2,2,0,0
5007,2,3,2,2,2,2,3,2,3,2,1,2,2,1,2,3,1,1,0,2,2,1,1,1,1,2,2,1,1,0,1,1,2,1,3,2,0,0
5008,2,3,2,2,2,2,3,1,1,2,2,2,2,2,2,1,2,0,2,0,2,1,1,1,1,4,2,2,1,0,3,1,2,2,2,2,0,0
5009,2,3,2,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,3,0,1,1,2,2,2,2,0,0
5010,2,3,1,2,4,2,2,4,1,1,1,1,1,2,2,2,1,0,2,2,2,1,2,2,1,2,2,1,3,0,3,1,1,1,2,2,0,0
5011,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2,1,2,2,2,2,0,2,3,1,1,3,2,0,0
5012,2,3,1,2,2,2,3,1,1,2,1,2,1,1,2,1,1,1,2,2,2,1,1,2,1,2,2,2,1,0,3,1,2,2,2,2,0,0
5013,2,3,2,2,4,4,4,1,4,2,2,2,2,1,2,2,2,0,1,0,2,1,1,1,1,1,1,2,1,0,2,2,2,1,1,2,0,0
5014,2,3,2,2,2,1,1,2,1,1,1,1,1,1,2,3,2,0,2,2,2,1,1,1,1,2,2,2,3,2,3,1,2,1,2,2,0,0
5015,1,3,1,1,2,2,2,1,1,2,1,2,2,1,2,1,1,1,2,2,2,2,1,2,1,1,2,2,2,0,1,1,2,2,2,2,0,0
5016,2,3,2,2,2,2,3,1,2,2,1,2,1,1,2,3,1,1,2,2,2,1,1,2,1,2,2,2,1,0,3,1,2,1,2,2,0,0
5017,2,3,2,2,2,2,1,1,4,2,3,2,2,1,2,2,2,1,2,2,2,2,1,1,1,1,2,1,1,0,3,1,2,2,2,2,0,0
5018,2,3,2,2,2,2,2,1,4,2,1,2,2,2,2,2,2,1,2,3,2,4,1,1,1,1,2,1,2,0,1,1,2,2,2,2,0,0
5019,2,3,2,2,2,2,2,1,1,2,1,2,2,1,2,1,1,1,2,2,2,1,1,1,1,2,2,1,3,0,2,1,2,2,2,2,0,0
5020,2,3,2,2,2,2,2,1,1,1,1,2,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,1,0,1,2,2,2,2,2,0,0
