,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
40000,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,3,3,3,3,4,2,2,1,1,1
40001,1,1,1,4,4,3,2,2,2,2,1,1,0,0,1,1,1,1,2,2,3,0,3,3,3,2,2,0,1,1,1,1,1,1,0,0,0,1
40002,1,1,0,0,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,4,3,0,2,3,3,2,4,2,2,2,2,2,3,1,1,1,1,1
40003,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,3,4,3,2,3,1,4,2,3,4,4,4,6,4,2,1,1,2
40004,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,2,2,2,2,3,4,2,2,1,1,1,2,1,1
40005,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,5,1,2,2,2,2,3,0,0,0,2,1
40006,2,2,3,3,3,4,4,4,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,3,1,2,1,2,2,1,1,1,1,1,2
40007,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,3,2,2,2,2,2,3,1,2,2,2,2,2,1,0,0,1,1
40008,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,5,0,1,1,1,1,2,1,0,1,1,2
40009,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,4,2,2,2,2,2,4,3,1,3,1,3,3,2,2,2,1,1,1,2,3
40010,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,4,3,4,3,3,4,2,5,2,3,3,2,2,2,2,2,2,2,3
40011,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,5,2,3,3,2,2,2,1,5,0,1,1,1,1,2,2,2,1,1,1
40012,2,3,3,4,3,3,2,3,3,3,3,3,2,1,1,3,1,2,1,1,2,2,2,3,2,1,3,2,3,3,3,3,4,1,1,1,2,1
40013,2,2,2,2,3,3,3,2,2,2,2,2,3,1,1,2,2,1,2,4,4,1,3,3,3,2,5,1,2,2,1,1,1,1,1,0,0,0
40014,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,1,2,1,1,2,1,1,1,1,2,5,1,2,2,2,2,3,2,1,0,0,1
40015,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,3,2,1,1,1,2,1,2,1,2,2,2,1,1,1,1,2
40016,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,1,2,1,1,4,1,1,1,1,2,1,1,2,3,2,2,1,2,2,1,1,1
40017,3,3,3,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,0,0,0,0,0,1,2,2,0,0,0,2,2
40018,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
40019,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2
40020,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,0,2,0,0,0,0,0,0,0,0
40021,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,3,4,3,2,2,2,2,2,1,3,3,3,4,3,3,4,2,2,2,2,2
40022,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,2,1,3,1,1,2,1,2,2,2,2,2,2,2
40023,1,1,2,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,2,2,3,2,2,2,2,2,2,2,1,1,1,1
40024,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,4,1,1,1,1,2,3,2,2,1,4,1
40025,3,3,2,2,2,2,2,3,3,4,4,3,3,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,4,5,3,3,3,3,3,2,3,2
40026,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,3,1,1,1,2,2,2,2,4,2,2,1,2,1
40027,2,2,2,3,3,3,3,3,3,2,2,2,2,3,3,5,4,1,4,4,4,4,4,3,3,2,5,2,2,2,2,2,3,2,2,1,1,1
40028,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,3,2,3,2,3,4,2,2,2,2,2,2,2,2
40029,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0
40030,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,2,2,4,2,2,2,3,2,3,1,1,2,1,1,1,1,2,3,1,1,1,1,1
40031,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,3,4,3,4,3,3,4,2,2,2,1,1,1,3,1
40032,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,0,0,0,3,0
40033,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,2,0,0,0,1,0
40034,2,2,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,4,3,4,3,3,3,3,4,3,3,2,3,3,3,1,1,1,3,1
40035,2,2,2,3,3,3,3,3,3,3,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,0,3,0
40036,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,3,2,3,2,2,3,2,3,2,2,2,2,3,3,3,1,3,3,3
40037,1,1,1,2,2,2,2,3,3,3,2,2,2,2,2,2,2,3,2,3,2,2,1,1,1,1,1,2,2,3,2,2,2,1,1,1,2,2
40038,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,0,3,3,3,2,3,2,1,1,1,2,2,2,2,2,2,2
40039,3,3,3,3,3,3,3,3,3,3,4,3,4,2,2,2,2,2,1,3,3,3,3,3,3,2,2,2,2,3,2,2,2,1,1,0,2,0
40040,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,4,0,0,0,0,0
40041,2,2,2,2,2,2,3,3,3,2,2,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,1,1
40042,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,2,3,2,4,2,2,2,2,2,2,2,2,2,3,2
40043,2,2,2,2,3,3,3,3,3,3,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2
40044,1,1,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,3,2,2,2,2,3,2,3,2,2,4,2,2,2,2,2,2,2,2
40045,1,1,1,1,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,2,2,2,1,1,1,3,1
40046,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,0,0,1,1,1,5,1,1,1,0,0,1,1,1,1,3,1
40047,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,1,1
40048,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,2,2,3,3,3,2,2,0,2,2,3,0,0,0,3,0
40049,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,0,0,2,3,2,3,2,3,2,3,3,3,2,1,1,3,1
40050,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,0,0,0,3,0
40051,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,2,3,2,3,3,4,5,4,4,4,4,4,1,4,2
40052,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,2,1,2,2,1,2,1,1,2,1,1,1,1,1
40053,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,1,1,1,1,3
40054,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,3,1,4,1,1,2,2,2,2,2,2,1,2,1
40055,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,2,2,3,2,3,2,3,2,2,3,2,3,3,3,2,2,2,2,1,1,1,1,1
40056,3,3,3,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,2,4,1,2,2,2,2,3,3,3,2,2,2
40057,2,2,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,0,0,0,0,5,0,0,2,0,1,1,1,1,1,0,0
40058,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,1,1,2,2,2,3,1,1,1,4,1
40059,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,2,3,2,3,2,3,3,2,3,2,3,4,3,3,3,0,0,0,1,0
40060,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,4,4,6,4,5,4,5,4,4,5,4,5,3,4,4,4,3,3,3,3,3,3,3
40061,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,3,2,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,1,4,1
40062,2,2,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,0,0,0,1,0
40063,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,4,1,3,4,3,3,3,1,1,1,3,1
40064,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,4,1,1,2,1,1,1,0,0,0,0,0
40065,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,2,3,3,2,2,1,2,2,2,3,3,2,2,2,2,2
40066,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,3,0
40067,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,1,1,1,0,0,3,0,0,1,2,1,1,1,2
40068,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,1,2,1,0,1,1,0,4,0,0,1,0,1,0,0,0,0,0,0
40069,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0
40070,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,1,2,4,2,2,4,3,0,0,0,0
40071,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2
40072,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,5,2,2,2,2,2,2,1,1,1,3,1
40073,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,4,1,1,1,1,1,4,0,0,0,1,1
40074,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,0,4,0,1,1,1,1,2,0,0,0,3,0
40075,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,0,0,0,0,4,0,1,1,1,2,2,1,1,1,1,1
40076,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,3,4,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,1,1,1
40077,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,2,3,2,2,3,2,4,2,3,3,3,3,3,2,1,1,3,1
40078,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,0,0,3,0,0,2,1,1,1,1,1
40079,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,3,2,3,3,3,1,1,1,2,3,1,1,2,1,2,1,0,0,0,1,0
40080,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,0,0,0,1,0,0,1,2,2,3,3,3,3,3,3,3
40081,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,3,2,2,3,3,3,4,3,3,2,2,3,1,3,3,3,2,2,1,4,1
40082,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,3,4,1,3,3,1,1,2,1,1,1,1,1,2,2,1,1,1,1
40083,3,3,3,3,3,3,3,1,1,1,1,2,2,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,2,3,2,3,4,4,4,3,3,4
40084,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2,3,2,2,4,2,2,1,3,1
40085,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,5,2,2,3,2,2,2,2,1,1,1,1
40086,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,3,2,2,2,2,3,2,3,0,3,3,2,2,2,2,2,1,1,1
40087,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,3,1,1,1,1,1
40088,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,1,1,1,1,1,0,2,0
40089,3,3,3,2,3,3,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0
40090,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,3,2,5,2,2,3,2,5,2,2,1,2,2,2,2,2,2,2,1
40091,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,3,3,4,3,3,4,3,4,2,3,2,2,2,2,2,2,2,1,1
40092,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,3,1,2,1,1,1,2,1,1
40093,3,3,3,3,4,4,3,3,3,3,3,3,1,1,1,1,1,2,2,1,1,1,1,1,1,0,0,0,1,1,1,1,2,2,1,2,1,1
40094,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,1,1,1,2,2,2,1,3,1,2,2,2,2,2,2,1,1,2,1
40095,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,2,2,2,1,1,4,3,3,4,3,3,1,1,1
40096,2,2,2,2,3,3,3,2,2,1,1,1,1,1,1,2,2,3,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1
40097,3,3,3,2,3,3,3,3,3,2,2,2,2,1,1,1,1,2,3,1,2,1,1,2,2,2,4,2,2,2,2,2,4,3,1,1,1,1
40098,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,3,2,3,2,2,2,1,1,1,1,0,1,1,2,1,1,0,2,1
40099,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,2,2,2,2,2,3,3,3,3,3,2,2,2,2,1,2,2,4,0,0,0,1,1
40100,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,4,1,1,1,1,1,1,0,0,0,3,0
40101,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,2,0,0,1,1,1,1,3,1
40102,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,2,3,1,2,2,2,3,3,3,3,1,3,4,3,4,4,2,2,2,3,2
40103,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,3,3,1,3,1,2,2,1,1,1,1,1,1,1,1
40104,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
40105,3,3,3,3,3,3,2,1,1,1,1,1,1,2,2,2,1,2,3,1,1,1,1,1,1,1,5,1,2,2,2,2,2,2,1,1,1,1
40106,4,4,4,4,3,3,3,3,3,3,3,3,2,2,1,1,1,2,3,1,2,2,2,2,2,0,4,0,1,1,1,1,1,1,1,1,1,1
40107,3,3,2,2,2,2,2,3,3,3,3,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,1,1,2,3,2,2,2,2,1,1,2,1
40108,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,1,4,1,1,1,1,1,1,0,0,0,0,0
40109,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,4,1,1,1,1,2,0,0,1,1,1,2,1,1,3,3,3,3,3,2
40110,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,3,3,1,3,3,4,3,4,3,4,5,3,3,3,3,3,2,2,2
40111,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,5,3,2,2,3,2,3,2,2,4,2,2,4,2,2,2,2,2
40112,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,1
40113,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,2,3,1,1,2,2,3,3,0,0,0,0,1,1,1,3,3,3,2,2,1
40114,3,3,3,3,3,3,3,1,1,1,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,0,0,0,4,0
40115,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,3,2,2,2,2,2
40116,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,2,2,2,1,5,1,2,2,2,2,2,2,0,0,2,0
40117,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,3,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
40118,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,3,1,1,1,1,1,1,1,2,3,3,4,3,3,3,3,3,3,3,3
40119,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
40120,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,1,2,2,1,0,0,1,1,4,1,2,3,2,2,3,3,2,1,1,1
40121,1,1,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,1,1,2,1,4,3,3,3,3,3,3,3,2,2,2,2
40122,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1
40123,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,3,1
40124,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,1,2,1,1,2,2,1,2,1,1,5,2,2,2,2,2,3,1,1,1,3,1
40125,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,3,2,2,4,2,2,3,2,2,3,3,2,2,2,2
40126,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,4,2,3,2,3,2,2,3,2,3,5,3,3,3,3,3,1,1,1
40127,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,0,0,0,0,0
40128,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,2,3,2,4,2,3,1,3,3,3,1,1,1,3,1
40129,2,2,2,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,3,1,1,2,2,3,3,0,0,0,2,1
40130,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3,3,2,2,1,1,2,2,2,2,1,1,1,3,1
40131,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,4,2,1,1,1,1,1,2,3,2,2,3,2,0,0,0,0
40132,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,0,3,0,0,4,0,1,1,0,0,0,2,2
40133,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,5,0,1,1,1,2,3,2,2,1,1,1
40134,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,5,1,2,3,2,3,3,0,0,0,3,0
40135,1,1,5,5,5,5,5,5,4,3,3,3,2,2,2,2,2,2,4,2,2,2,2,1,1,2,1,1,2,2,2,2,3,2,2,2,2,2
40136,2,2,2,2,3,3,3,3,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,3,2,1,4,1,2,2,2,2,2,1,1,1,1,1
40137,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
40138,3,3,3,3,3,3,2,1,1,1,2,2,2,2,2,3,2,1,1,1,2,2,2,2,2,1,3,1,1,1,1,2,3,2,2,2,3,2
40139,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,4,1,1,3,1,1,1,1,1,1,1,2
40140,2,2,2,2,3,3,3,3,2,2,2,2,2,2,1,2,2,3,2,2,3,3,3,3,3,2,1,1,1,0,1,1,3,0,0,0,0,0
40141,2,2,2,2,1,1,0,0,1,1,1,1,1,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,1,3,1
40142,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,2,3,2,2,1,1,1,2,3,2,3,3,2,2,1,1,1,1,2,1
40143,3,3,3,4,4,4,4,3,3,3,3,3,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1
40144,3,3,3,3,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,0,1,1,2,2,2,1,5,0,1,1,1,1,1,1,1,1,3,1
40145,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,1,1,2,1,1,1,2,2,1,2,3,4,3,2,2,2,2
40146,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,4,2,3,3,2,2,2,2,2,2,2,2
40147,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,3,2,2,3,2,5,2,2,4,3,3,4,3,3,3,3,3
40148,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,2,2,1,1,1,1
40149,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,2,2,3,2,2,2,1,2,2,1,1,1,1,0,3,0,1,1,1,1,1,1,1
40150,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,2,4,1,2,2,2,2,3,2,1,1,1,1
40151,3,3,3,2,2,2,1,1,1,1,1,1,2,2,2,2,2,3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,4,2,2,1,2,3
40152,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,0,3,3,3,3,2,2,3,2
