,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
145000,85,85,85,85,85,86,86,86,86,85,85,85,85,85,85,85,85,90,91,90,91,91,91,92,99,99,99,98,97,97,97,97,97,98,98,88,0,0
145001,95,95,95,90,90,100,100,100,101,103,103,103,104,104,104,104,63,62,41,92,93,93,93,94,94,80,94,94,94,94,94,94,94,94,94,94,0,0
145002,85,85,85,85,85,86,86,86,86,87,87,87,87,87,87,87,46,90,92,92,93,93,93,94,94,94,94,93,93,96,92,92,92,92,90,91,0,0
145003,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,88,46,46,88,88,88,98,89,97,97,97,97,97,97,96,97,97,97,97,96,96,0,0
145004,105,105,105,105,105,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,92,95,95,95,94,94,94,95,94,96,94,94,102,102,102,101,0,0
145005,85,85,85,85,85,86,86,86,86,87,88,89,89,90,90,91,50,51,93,92,93,91,93,94,94,94,94,95,95,95,95,95,95,96,96,95,0,0
145006,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,92,50,51,94,93,93,94,94,94,97,97,95,95,95,95,98,98,98,99,99,93,0,0
145007,95,95,95,95,95,96,96,86,86,87,88,89,89,90,90,91,50,51,93,93,93,91,94,94,95,95,95,95,95,95,95,95,95,96,96,90,0,0
145008,85,85,85,85,85,86,86,86,86,87,88,89,89,90,90,91,50,51,92,92,93,95,95,96,95,95,95,94,92,96,97,97,97,97,96,96,0,0
145009,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,91,92,91,91,91,90,90,92,92,92,92,92,94,92,92,92,90,90,91,0,0
145010,90,90,90,90,90,90,90,86,86,87,88,89,89,90,90,91,50,51,93,92,92,92,92,92,92,92,95,92,92,104,92,92,92,92,92,93,0,0
145011,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,88,46,46,88,88,88,89,89,89,88,88,88,102,87,101,87,87,87,90,90,91,0,0
145012,85,85,85,85,85,86,86,86,86,92,93,94,94,95,95,96,96,97,98,97,91,97,97,97,97,97,97,97,97,97,95,95,95,95,95,95,0,0
145013,95,95,95,105,105,91,91,91,91,91,91,92,92,92,92,96,96,97,98,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,96,96,0,0
145014,85,85,85,85,85,85,86,86,86,87,87,87,87,87,87,87,46,46,87,87,87,87,87,87,87,95,94,95,95,95,95,95,83,96,96,95,0,0
145015,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,93,0,51,93,93,94,95,93,94,94,104,104,95,95,95,95,95,88,96,96,100,0,0
145016,95,95,94,94,94,94,91,92,92,92,93,94,94,95,95,96,96,97,98,97,97,97,97,97,97,97,97,97,97,103,97,89,90,90,90,91,0,0
145017,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,91,86,86,86,86,93,93,92,93,92,92,92,95,95,95,95,95,95,0,0
145018,85,85,85,85,85,86,86,86,86,87,88,89,89,90,90,91,50,51,93,92,92,92,92,92,92,92,92,93,93,95,95,95,85,96,96,95,0,0
145019,85,85,85,85,85,86,86,86,86,87,88,89,89,90,90,91,50,51,93,92,92,92,92,92,92,92,80,92,92,92,92,92,92,92,92,93,0,0
145020,85,85,85,85,85,86,86,86,86,87,87,87,87,87,87,87,46,46,87,87,87,93,87,87,87,87,87,87,87,101,87,89,90,90,90,91,0,0
145021,85,85,85,85,85,86,91,92,92,92,93,94,94,95,95,96,96,97,98,97,97,97,97,97,97,97,97,99,97,97,97,97,100,100,100,100,0,0
