,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
2778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,-1,-1,0,-12,0,0,0,0,-2,0,0,-1,0,0,0,0,-1,0,0,0,0
135736,0,0,-1,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,-1,-2,0,-1,-2,-1,-1,-1,0,-1,-2,0,-1,0,0,0,-19,-3,0,-2,0,-2
264346,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-2,0,0,0,0,-15,-1,0,0,0,0,0,0,-2,0,0,-1,-1
46922,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-2,-1,-1,0,0,0,-19,0,0,0,-1,0,-1,-1,0,0,0,-1
73235,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-2,-19,0,-2,0,0,0,0,0,0,0,0,-1
124,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-3,0,0,0,0,0,0,-15,0,-2,0,-1,0,0,-2,-1,-1,0,0
39174,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-2,0,-1,0,0,-2,-1,-1,-1,-1,-3,-23,-2,0,0,0,0,0,0,0,0,0,-1
25401,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-2,0,-2,0,0,0,0,0,-23,0,0,-1,-1,0,-1,-2,0,-1,0,0
113773,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1,-2,-1,-2,0,0,0,0,0,-20,0,-1,-1,-2,0,0,-1,0,-1,0,-1
52651,0,0,0,0,-1,0,0,-1,-1,0,-1,0,0,-1,0,-1,0,-2,-9,0,-2,0,0,0,0,-2,-1,0,0,-1,-1,0,-1,0,0,0,-3,-2
64173,0,0,0,0,0,-1,-2,0,-1,-1,0,0,0,0,0,-1,-2,-1,-10,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-1,-3
55581,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-2,-1,0,0,-2,0,-10,-1,-1,0,0,0,0,0,0,0,-1,0
10627,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,0,0,-2,0,0,0,-1,-50,0,0,0,-3,-2,-1,-1,-1,0,0,0,0,0,0,0,-1
283176,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,-1,-2,-2,-2,0,-1,-1,0,-1,-16,-2,0,0,0,-1,0,-2,0,-3,-2,-1
52535,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,-2,-1,-10,0,-2,0,0,0,-1,-2,0,-2,-3,0,-1,0,-2,0,0,0,0,-1
454456,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,-2,-1,-1,0,-1,0,-1,0,0,0,0,0,-3,0,-1,0,-15,-3,-1,-2,0,-1
87341,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,0,-9,-1,-2,-2,0,0,0,-1,0,0,-1,0,0,0,0,-1,0,-2,-1,0
13985,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,-1,-1,0,0,0,0,-1,-1,0,-1,0,0,0,-16,-1,0,-1,0,0
324013,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-2,0,-1,0,-13,0,0,0,0,0,0,0,-1
