,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
15000,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,4,1,2,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1
15001,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2
15002,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,3,1,1,1,1,1
15003,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0
15004,1,1,1,1,1,2,2,2,2,2,2,2,1,0,0,0,0,0,2,4,2,4,2,2,4,3,3,0,1,1,1,1,1,1,0,0,1,0
15005,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,0,0,0,1,2,1,2,1,2,1,1,1,2,1,0,1,1,1,0,1,1,1,1
15006,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,1,1,0,0,0,0,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1
15007,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
15008,1,1,1,1,1,1,2,2,2,2,2,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,0,2,1,2,1,3,3,2,2,2,2
15009,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
15010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
15011,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,1,1,0,1,2,1,2,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0
15012,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,3,2,2,1,1,1
15013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
15014,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0
15015,1,1,1,1,1,1,2,2,2,2,3,3,2,1,1,1,0,0,0,0,0,1,1,2,3,2,1,1,1,0,0,0,0,0,0,0,1,0
15016,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,2,1,1,3,2,3,2,2,2,2,2,2,2,2,2,2,2
15017,1,1,0,0,0,0,0,2,2,2,2,2,3,2,2,2,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,2,1
15018,1,1,1,1,2,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
15019,1,1,1,1,1,1,1,2,2,2,2,2,3,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1
15020,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,1,0,0,0,0,1,1,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1
15021,0,0,0,1,0,0,0,2,2,2,2,2,3,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15022,1,1,1,1,1,1,1,1,1,1,2,2,1,0,0,0,0,0,2,1,1,1,1,2,1,1,1,1,2,3,2,2,2,2,2,1,1,1
15023,0,0,0,2,2,2,3,3,3,3,3,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
15024,1,1,1,1,1,2,2,2,2,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,2,2,2,2
