,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
155000,442,442,442,343,352,442,352,343,343,343,352,352,343,352,352,343,343,343,343,442,352,343,442,442,343,442,343,442,442,343,343,541,433,451,343,433,343,451
155001,352,352,352,352,451,352,352,442,352,442,352,433,442,352,442,541,442,442,433,442,352,343,343,442,352,343,343,343,343,352,343,352,433,352,352,352,343,352
155002,442,352,442,442,343,343,343,433,343,343,343,433,442,343,442,442,343,343,442,343,343,343,343,343,343,451,343,442,451,451,352,451,442,451,451,451,352,451
155003,442,433,343,532,442,433,343,433,343,343,343,343,343,343,343,433,433,442,433,433,433,343,352,451,352,352,343,541,451,343,343,442,442,352,352,343,343,352
155004,343,343,343,343,343,343,343,433,343,433,343,433,433,343,442,442,352,442,352,433,343,433,442,451,352,442,343,442,541,352,451,451,442,442,343,451,352,451
155005,343,343,343,352,352,352,352,343,352,352,532,442,343,352,343,433,451,451,442,343,343,343,343,352,343,343,343,442,433,352,352,343,451,451,352,451,343,442
155006,433,433,433,433,442,433,343,343,343,433,442,532,442,442,442,451,442,442,442,532,442,442,352,442,343,442,343,352,451,541,352,352,343,442,352,451,352,352
155007,442,343,343,343,352,442,442,442,442,442,442,442,343,343,442,442,451,451,352,433,343,343,343,352,352,451,343,541,442,343,352,352,352,352,352,451,442,451
155008,343,343,352,352,343,343,343,433,352,442,352,343,343,352,352,352,451,451,442,433,343,343,352,343,343,343,343,343,352,352,352,352,352,352,352,352,343,352
155009,541,442,343,343,442,433,433,523,433,433,433,433,433,343,532,541,352,451,442,433,343,343,433,442,343,433,343,343,451,442,451,451,442,451,352,352,433,451
155010,442,352,352,532,532,532,343,532,352,352,352,442,343,433,343,352,343,451,343,433,442,343,442,352,352,352,352,352,442,442,352,451,451,343,532,352,433,352
155011,343,343,343,352,442,343,343,343,343,343,433,433,343,433,532,442,451,442,442,352,343,343,433,343,343,343,343,442,442,442,352,541,433,343,343,442,442,442
155012,442,442,352,352,352,352,451,442,451,451,442,541,442,541,541,442,442,433,433,433,442,532,433,343,352,451,343,433,442,343,352,442,352,352,343,343,343,352
155013,352,352,343,352,352,343,343,433,343,433,343,442,442,343,343,352,343,433,442,343,343,343,352,343,343,451,433,442,442,343,442,442,352,343,352,352,532,451
155014,352,352,352,442,442,442,352,532,442,442,442,532,442,451,541,442,352,451,433,442,451,442,352,352,343,451,433,433,442,442,352,451,352,352,352,451,343,352
155015,451,442,442,343,343,343,343,442,352,352,352,442,343,352,352,442,442,451,442,343,352,433,433,442,352,442,343,352,442,343,352,442,442,352,352,352,352,352
155016,442,352,352,541,352,352,352,352,442,541,532,532,541,442,532,532,352,532,451,532,442,532,532,532,442,451,541,451,451,343,451,541,541,541,343,541,352,442
155017,343,343,442,352,451,442,352,433,433,433,343,442,451,451,541,451,352,541,532,442,442,343,433,442,352,343,343,343,442,442,442,442,442,343,442,352,343,343
155018,532,532,532,442,352,442,352,532,442,442,352,442,433,343,541,343,442,451,343,442,442,343,442,442,343,442,343,352,352,442,352,343,352,343,343,352,433,352
155019,343,343,343,433,343,433,343,433,352,352,433,343,343,343,343,343,442,451,442,343,343,343,352,343,343,352,343,442,352,352,352,442,442,343,343,451,433,352
155020,442,541,541,541,442,442,343,433,451,442,442,451,442,352,442,532,352,451,451,442,433,343,433,451,442,451,433,541,451,451,352,451,451,442,451,352,343,352
155021,442,343,433,442,442,343,343,433,343,343,433,433,442,343,442,442,352,352,442,433,343,433,343,343,343,343,343,352,343,343,352,343,343,433,352,541,442,352
155022,343,343,343,343,352,343,343,433,343,442,442,442,433,352,541,541,451,451,433,442,352,343,343,352,343,442,343,442,442,442,352,451,442,442,352,451,343,352
155023,343,343,442,352,451,343,343,532,343,433,343,343,433,343,442,442,442,442,532,442,433,433,343,442,343,352,343,343,451,352,352,451,442,343,343,352,343,352
155024,442,442,442,442,352,343,343,433,433,442,532,433,532,442,532,532,451,541,442,442,352,343,442,433,343,442,343,433,433,442,442,541,343,442,343,442,343,442
155025,343,343,343,343,343,343,343,523,343,442,352,433,352,352,451,451,451,451,433,433,343,343,442,442,442,433,343,352,433,442,343,433,433,433,343,343,352,343
155026,532,433,343,433,352,442,343,433,442,433,442,433,442,343,343,442,442,442,433,343,433,433,433,442,343,343,343,451,442,442,442,343,343,352,343,352,343,352
155027,442,343,343,442,433,442,352,442,451,343,343,343,343,352,442,541,451,442,442,433,343,343,343,352,343,352,343,352,442,433,352,442,352,343,343,352,343,343
155028,352,352,352,442,352,352,343,343,442,343,343,433,433,343,442,451,451,442,442,352,343,343,343,352,352,352,343,451,343,541,352,343,343,541,442,442,343,451
155029,343,343,343,343,352,343,343,442,343,343,343,343,433,343,433,532,442,352,523,352,343,343,343,343,343,442,343,343,442,451,352,442,352,352,343,451,343,352
155030,343,343,343,343,352,343,343,343,433,433,433,343,352,343,442,442,352,541,532,442,532,433,532,442,352,442,343,532,343,343,541,442,442,541,442,352,352,352
