,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
95000,0,12,2,2,0,0,0,2,14,21,32,2,0,23,2,1,0,0,224,13,23,0,4,12,1,33,1,2,0,2,3,11,1,0,12,21,3,1
95001,0,0,212,0,0,0,0,1,142,23,1,0,222,0,12,0,0,0,42,0,1,0,2,2,13,222,211,0,22,0,21,0,2,0,3211,4,0,0
95002,0,2,32,1,0,0,2,4,112,2,4,442,1,0,2,21,3,0,1,23,0,4,2,0,1,23,1,0,0,0,0,21,222,0,312,22,0,11
95003,0,2,222,2,12,0,12,2,42,2,0,0,0,0,1,0,0,0,0,2,2,0,22,0,3,43,121,0,221,0,0,1,2,0,41,22,12,42
95004,0,0,22,0,14,0,1,4,2,0,12,12,3,2,0,0,11,0,0,0,2,4,0,442,1,2,22,0,143,0,0,2,1,1,222,1,1,2
95005,0,2,2,2,122,0,0,22,41,2,21,2,0,4,41,0,0,0,4,22,2,1,0,2,0,31,11,2,13,0,2,2,1,2,33,0,13,0
95006,0,1,42,0,1,1,22,4,1,1,0,0,2,2,0,3,0,0,0,1,22,2,0,0,11,223,12,0,4,0,1,211,21,3,42,11,0,321
95007,0,12,0,3,13,0,1,12,1,2,22,2,22,0,12,0,0,0,0,12,2,1,0,14,23,23,0,0,21,0,0,0,22,0,222,1,1,2
95008,0,2,0,1,2,0,2,12,42,3,1,0,12,0,222,0,0,0,0,22,1,0,212,4,0,42,0,231,0,0,13,21,2334,0,12,2,111,1
95009,0,0,12,12,1,21,0,0,0,0,1,0,11,0,0,4,0,0,0,0,22,0,42,0,0,2321,0,1,42,0,3,21,114,0,3322,1,0,221
95010,0,212,0,21,0,22,0,0,2,24,22,2,2,22,14,0,43,0,0,0,22,0,22,3,1,23,2,0,21,2,0,22,11,2,32,12,2,0
95011,0,0,23,0,21,1,12,11,2,3,2,4,3,2,2,0,0,0,2,0,2,4,1,23,2,33,2,2,1,0,0,21,31,3,12,42,0,11
95012,0,421,12,22,1,23,0,1,2,12,0,21,0,0,4,0,0,2,0,1,12,1,2,2,2,223,1,0,23,0,211,21,0,0,32,1,0,13
95013,0,2,0,1,2,13,2,3,1,0,123,0,0,2,2,2,0,0,2,0,0,34,3,2,2,222,0,1,412,0,3,213,0,0,32,22,1,0
95014,0,22,22,1,43,1,0,12,0,0,22,12,3,0,2,2,0,0,0,2,2,0,32,0,0,3,0,0,132,0,23,1,14,0,22,1,0,22
95015,0,0,32,2,2,2,2,2,4,41,0,12,2,0,11,1,2,0,0,0,12,0,11,1,13,12,0,0,11,0,2,31,14,0,221,2,3,2
95016,0,0,222,0,323,0,42,2,1,0,24,0,0,0,12,0,0,0,0,1,23,0,122,0,2313,21,22,0,11,0,0,21,0,22,31,12,0,23
95017,0,3,3,1,0,2,2,2,12,2,22,0,32,2,4,22,12,0,0,4,0,0,42,32,13,1,4,1,431,0,1,3,0,22,24,1,0,1
95018,0,0,32,2,1,2,0,23,1,1,2,0,22,0,21,0,0,0,0,23,2,2,21,2,11,23,0,22,21,0,0,1,14,3,3,41,0,12
95019,0,12,0,0,133,23,0,43,12,1,42,224,4,0,1,11,0,0,0,2,2,2,3,0,4,13,3,32,0,0,11,0,11,0,0,12,0,21
95020,0,2,12,0,123,2,0,2,0,0,43,22,0,22,2,2,1,0,0,2,12,0,23,2,1,3,0,0,412,0,0,1,3,2,2,21,0,22
95021,0,1,0,42,21,2,0,11,43,1,0,2,21,0,22,2,31,0,112,22,22,1,0,313,0,0,0,22,41,0,0,22,0,2,33,2,0,0
95022,0,4,0,0,12,2,0,12,12,2,1,0,2,2,22,0,0,0,0,0,2,2,1,2,0,33,1,0,23,0,0,12,0,11,23,2,2,2311322
95023,0,1,22,0,0,0,0,22,3,4,2221,0,2,0,4,11,0,0,0,2,2,2,2,34,13,4131,1,2,32,0,0,0,2,2,12,4,1,2
95024,0,0,22,22,0,0,1,13,2,2,2,22,11,0,1222,2,0,0,4,12,2,0,4,4,2,33,0,2,113,0,0,23,0,1,3,213,3,21
95025,0,2,3,3,4,0,0,2,23,2,23,1,0,21,2,0,0,0,0,13,0,2,2,41,1,0,0,21,4,0,1,3,2,14,0,1,22,1
95026,0,0,0,3,0,13,0,1,3,42,0,42,2,2,2,0,2,0,0,2,22,2,2,4,0,233,1,32,11,0,0,1,112,3,2,422,0,12
95027,0,1,2,12,1,3,1,2,42,4,1,2,0,122,2,0,0,0,0,2,22,3,2,2,1,0,1,4,14,0,32,2,12,1,12,11,3,4
95028,0,12,32,1,12,2,0,23,0,0,1,42,2,1,1,0,21,0,2,0,3,2,1,2,0,3231,0,1,11,0,211,33,44,0,3,12,11,1
95029,0,0,2,23,1,1,0,22,422,1,212,22,1,1,1,0,0,0,0,23,222,0,2,32,21,0,1,0,2,0,0,21,0,24,0,22,2,2
95030,0,2,0,0,12,1,0,21,42,2,2,1,22,0,1,14,0,0,0,2,2,0,3,32,22,123,1,2,41,0,0,1,0,23,24,21,1,0
95031,0,1,2,1,24,3,3,0,42,1,2,22,2,1,0,0,1,0,0,2,1,2,0,22,1,0,1,0,21,0,23,1,13,1,211,0,1,2
95032,0,11,2,0,223,0,12,2,22,1,1,0,12,0,22,0,0,0,0,2,2,0,2,3,2,23,1,0,11,0,0,0,212,0,2,42222,0,2
95033,0,1,12,2,0,12,2,4,0,0,11,2,0,2,4,23,1,0,0,12,0,42,0,2,21,232,1,0,414,0,0,0,344,0,12,21,1,22
95034,0,21,2,1,0,0,42,0,12,22,2,0,223,0,413,1,4,0,0,12,22,0,42,0,2,323,0,33,0,1,0,3,2,0,41,42,0,21
95035,0,2,0,12,1,13,0,22,22,1,22,0,22,2,1,0,0,0,0,0,22,0,43,43,4,2,0,2,121,0,31,24,0,3,33,2,1,2
95036,0,1,32,0,1,3,0,2,122,11,2,0,21,0,112,4,0,0,0,0,2,2,0,32,3,233,1,1,3,0,2,0,0,34,31,23,0,22
95037,0,1,2,0,12,1,2,0,11,3,1,1,3,0,21,41,1,0,0,2,2,0,2,23,21,0,1,0,213,0,21,2,1,0,231,21,2,1
95038,0,0,322,1,12,3,0,1,421,3,2,1,2,22,0,0,0,0,0,2,2,0,3,22,2,43,1,0,1,0,3,21,14,0,32,0,0,22
95039,0,2,0,2,1,1,1,22,4,1,22,0,42,0,12,33,0,0,12,2,21,1,3,2,4,123,12,2,2,0,0,24,1,4,0,22,3,41
