id,first_name,second_name,team,Top_100_in,Top_1K_in,Top_10K_in,Top_50K_in,Top_100K_in,Top_250K_in,Top_500K_in,Top_100_out,Top_1K_out,Top_10K_out,Top_50K_out,Top_100K_out,Top_250K_out,Top_500K_out
3,Granit,Xhaka,1,0.0,0.0,0.1,0.0,0.0,0.03333333333333333,0.055999999999999994,0.0,0.0,0.05,0.0,0.1,0.06,0.136
4,Mohamed,Elneny,1,0.0,0.0,0.0,0.05,0.0,0.006666666666666667,0.024,0.0,0.4,0.0,0.025,0.04,0.02666666666666667,0.027999999999999997
5,Rob,Holding,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Thomas,Partey,1,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0
7,Martin,Ødegaard,1,6.666666666666667,10.8,10.5,10.325,10.280000000000001,10.313333333333333,10.436,0.0,0.6,0.44999999999999996,0.125,0.5599999999999999,0.45333333333333337,0.528
8,Kieran,Tierney,1,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.012
9,Nicolas,Pépé,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Benjamin,White,1,0.0,2.6,1.7999999999999998,1.9,1.82,1.5933333333333335,1.568,0.0,1.2,1.9,2.4,2.02,1.76,1.856
11,Eddie,Nketiah,1,20.0,12.2,14.399999999999999,15.9,16.439999999999998,15.126666666666665,14.488000000000001,0.0,0.2,0.6,0.35000000000000003,0.8200000000000001,0.4266666666666667,0.48
12,Emile,Smith Rowe,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Bukayo,Saka,1,14.666666666666666,4.6,7.1499999999999995,6.525,6.4399999999999995,6.533333333333332,7.252,0.0,0.2,0.5,0.4,0.66,0.6133333333333334,0.58
14,Takehiro,Tomiyasu,1,0.0,0.0,0.0,0.0,0.02,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.024
15,Aaron,Ramsdale,1,1.3333333333333335,0.8,0.5,0.65,0.45999999999999996,0.41333333333333333,0.504,0.0,0.0,0.65,0.4,0.6,0.5466666666666666,0.712
16,Gabriel,dos Santos Magalhães,1,0.0,1.2,2.1,1.675,1.6400000000000001,1.2666666666666666,1.284,1.3333333333333335,0.0,0.65,0.775,0.8999999999999999,0.64,0.728
17,Nuno,Varela Tavares,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Gabriel,Martinelli Silva,1,0.0,1.2,0.1,0.25,0.26,0.3066666666666667,0.416,16.0,8.6,6.75,8.125,8.66,8.406666666666666,9.58
20,Pablo,Marí Villar,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lucas,Torreira di Pascua,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Reiss,Nelson,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Matt,Turner,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.04,0.09333333333333334,0.092
25,Fábio,Ferreira Vieira,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,William,Saliba,1,1.3333333333333335,1.2,1.55,1.525,2.1999999999999997,1.8733333333333335,2.136,0.0,2.4,1.0999999999999999,1.15,1.22,1.1133333333333333,1.4040000000000001
27,Marcus,Oliveira Alencar,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Gabriel,Fernando de Jesus,1,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08800000000000001
111,Leandro,Trossard,1,0.0,0.2,0.1,0.0,0.0,0.07333333333333333,0.052,0.0,0.0,0.5499999999999999,0.7250000000000001,0.62,0.98,1.1159999999999999
130,Jorge Luiz,Frello Filho,1,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.004,0.0,0.0,0.05,0.05,0.08,0.05333333333333334,0.04
313,Oleksandr,Zinchenko,1,1.3333333333333335,2.4,2.15,2.5250000000000004,2.1999999999999997,2.12,2.292,1.3333333333333335,0.4,0.0,0.22499999999999998,0.12,0.13999999999999999,0.232
607,Matthew,Smith,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
630,Ethan,Nwaneri,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
631,Lino,Sousa,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655,Karl,Hein,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
668,Amario,Cozier-Duberry,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685,Nathan,Butler-Oyedeji,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710,Jakub,Kiwior,1,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Philippe,Coutinho Correia,2,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0
31,Emiliano,Martínez Romero,2,0.0,0.0,0.1,0.0,0.04,0.04,0.06,0.0,0.0,0.0,0.05,0.06,0.04666666666666667,0.02
32,Calum,Chambers,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
