id,first_name,second_name,team,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
1,David,Raya Martín,1,0.0,0.0,0.05,0.025,0.0,0.006666666666666667,0.0
2,Kepa,Arrizabalaga Revuelta,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Karl,Hein,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Tommy,Setford,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Gabriel,dos Santos Magalhães,1,2.666666666666667,1.0,0.5,0.4,0.64,0.44,0.608
6,William,Saliba,1,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.004
7,Riccardo,Calafiori,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Jurriën,Timber,1,0.0,0.0,0.0,0.025,0.02,0.02666666666666667,0.04
9,Jakub,Kiwior,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Myles,Lewis-Skelly,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Benjamin,White,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Brayden,Clarke,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Maldini,Kacurri,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Josh,Nichols,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Bukayo,Saka,1,1.3333333333333335,3.4000000000000004,1.7000000000000002,1.7999999999999998,1.5,1.8333333333333333,1.9120000000000001
17,Martin,Ødegaard,1,0.0,0.0,0.0,0.05,0.0,0.06,0.044000000000000004
18,Noni,Madueke,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Gabriel,Martinelli Silva,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Leandro,Trossard,1,0.0,0.0,0.0,0.075,0.02,0.04,0.04
21,Declan,Rice,1,0.0,0.0,0.0,0.05,0.06,0.03333333333333333,0.055999999999999994
22,Mikel,Merino Zazón,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004
23,Fábio,Ferreira Vieira,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
