id,Pos,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts
1,1,Leno,47,47,ARS,2,0.088,5,0.21,6,0.235,8,0.359,11,0.384
2,1,Rúnarsson,40,40,ARS,0,0,0,0,0,0,0,0,0,0
3,3,Willian,63,63,ARS,0,0,0,0,0,0,0,0,0,0
4,4,Aubameyang,99,99,ARS,82,5.577,78,5.054,80,4.468,72,5.191,72,3.254
5,2,Cédric,43,43,ARS,6,0.265,9,0.388,11,0.417,10,0.477,15,0.43
6,4,Lacazette,83,83,ARS,21,1.517,23,1.601,20,1.267,27,2.045,29,1.499
7,3,Xhaka,49,49,ARS,0,0,0,0,0,0,0,0,0,0
8,2,Marí,43,43,ARS,0,0,2,0.075,4,0.126,5,0.212,6,0.133
9,2,Bellerín,48,48,ARS,0,0,0,0,0,0,0,0,0,0
10,2,Chambers,43,43,ARS,0,0,0,0,1,0.038,1,0.046,0,0
11,2,Kolasinac,43,43,ARS,0,0,0,0,0,0,0,0,1,0.023
12,3,Elneny,45,45,ARS,13,0.562,16,0.709,17,0.703,16,0.745,17,0.65
13,3,Maitland-Niles,53,53,ARS,9,0.464,14,0.623,16,0.682,16,0.734,18,0.725
14,2,Holding,43,43,ARS,2,0.097,4,0.174,11,0.371,10,0.445,13,0.307
15,3,Partey,50,50,ARS,83,3.038,78,2.767,77,2.482,78,2.941,75,2.144
16,2,Tierney,49,49,ARS,87,4.112,82,3.564,80,2.801,81,4.018,79,1.744
17,3,Pépé,71,71,ARS,53,3.595,48,3.12,51,2.861,51,3.642,50,2.296
18,3,Torreira,45,45,ARS,0,0,0,0,0,0,0,0,0,0
20,4,Nketiah,54,54,ARS,0,0,0,0,0,0,1,0.075,2,0.115
21,3,Smith Rowe,54,54,ARS,65,3.645,64,3.436,61,2.949,57,3.36,58,2.31
22,3,Saka,64,63,ARS,67,4.159,70,4.09,64,3.291,61,4.016,65,2.697
23,2,Gabriel,50,50,ARS,87,3.887,85,3.47,81,2.654,78,3.682,79,1.636
24,2,Mavropanos,45,45,ARS,0,0,0,0,0,0,0,0,0,0
25,3,Guendouzi,45,45,ARS,0,0,0,0,0,0,0,0,0,0
26,3,Martinelli,52,52,ARS,13,0.863,17,1.107,22,1.289,28,1.942,24,1.192
27,2,Saliba,45,45,ARS,0,0,0,0,0,0,0,0,0,0
67,2,White,44,44,ARS,89,3.721,86,3.28,81,2.506,83,3.657,79,1.544
466,2,Tavares,43,43,ARS,3,0.137,6,0.27,9,0.371,8,0.389,12,0.405
478,3,Sambi Lokonga,49,49,ARS,49,2.002,51,1.987,53,1.893,52,2.142,52,1.674
530,4,Balogun,48,48,ARS,0,0,0,0,0,0,1,0.073,2,0.108
531,3,Nelson,50,50,ARS,0,0,0,0,0,0,0,0,0,0
532,1,Hein,40,40,ARS,0,0,0,0,0,0,0,0,0,0
558,3,Ødegaard,55,55,ARS,76,3.42,72,3.144,72,2.812,71,3.381,66,2.269
559,1,Ramsdale,46,45,ARS,87,3.819,84,3.52,82,3.202,81,3.645,77,2.684
572,1,Okonkwo,40,40,ARS,0,0,0,0,0,0,0,0,0,0
590,2,Tomiyasu,46,46,ARS,83,3.82,80,3.381,76,2.602,78,3.782,70,1.561
28,1,Steer,40,40,AVL,17,0.7,2,0.073,1,0.04,1,0.04,1,0.041
29,3,Hourihane,49,49,AVL,0,0,0,0,0,0,0,0,0,0
30,1,Martínez,55,55,AVL,72,2.959,87,3.119,88,3.441,88,3.433,87,3.558
31,2,Engels,45,45,AVL,0,0,0,0,0,0,0,0,0,0
32,3,Traoré,58,58,AVL,5,0.324,7,0.384,9,0.55,13,0.797,12,0.765
34,3,Sanson,50,50,AVL,15,0.751,11,0.504,11,0.533,15,0.716,19,0.94
35,3,McGinn,58,58,AVL,86,3.27,81,2.638,82,2.974,78,2.779,73,2.816
36,2,Hause,44,44,AVL,64,2.891,62,1.862,60,2.372,62,2.379,58,2.554
37,3,Trézéguet,54,54,AVL,0,0,0,0,0,0,0,0,0,0
38,2,Mings,50,50,AVL,88,3.423,85,2.15,82,2.772,81,2.673,80,3.069
39,2,Targett,48,48,AVL,88,3.913,85,2.382,83,3.143,79,2.959,80,3.457
40,4,Watkins,73,73,AVL,82,4.126,78,3.223,76,3.718,72,3.378,76,3.829
41,3,Nakamba,45,45,AVL,31,1.298,17,0.707,17,0.752,21,0.894,19,0.842
42,3,El Ghazi,58,58,AVL,22,1.445,22,1.254,19,1.308,25,1.698,21,1.474
43,3,Buendía,63,63,AVL,39,2.159,32,1.57,31,1.742,31,1.686,31,1.76
44,2,Cash,51,51,AVL,86,3.667,84,2.315,81,3.017,80,2.919,79,3.338
45,2,Konsa,49,49,AVL,88,3.402,86,2.163,83,2.797,77,2.586,80,3.067
46,2,Guilbert,45,45,AVL,0,0,0,0,0,0,0,0,0,0
47,4,Wesley,54,54,AVL,0,0,0,0,0,0,0,0,0,0
48,4,Samatta,55,55,AVL,0,0,0,0,0,0,0,0,0,0
49,4,Davis,44,44,AVL,0,0,1,0.056,0,0,0,0,1,0.065
50,3,Douglas Luiz,46,46,AVL,33,1.304,81,2.45,78,2.647,78,2.58,75,2.649
51,3,Ramsey,45,45,AVL,66,2.509,54,1.883,55,2.075,51,1.92,54,2.106
52,2,Young,48,48,AVL,6,0.235,9,0.322,12,0.586,11,0.511,11,0.552
283,2,Tuanzebe,45,45,AVL,11,0.395,13,0.359,22,0.804,27,0.986,27,1.112
337,4,Ings,78,78,AVL,75,4.508,74,3.553,74,4.225,70,3.864,71,4.203
492,3,Bailey,64,64,AVL,1,0.065,8,0.42,10,0.585,10,0.564,12,0.712
496,3,Ramsey,45,45,AVL,0,0,0,0,0,0,4,0.196,0,0
497,3,Philogene-Bidace,50,50,AVL,0,0,0,0,0,0,0,0,6,0.339
526,3,Chukwuemeka,45,45,AVL,0,0,0,0,0,0,0,0,0,0
568,4,Archer,45,45,AVL,0,0,0,0,0,0,0,0,0,0
596,1,Sinisalo,40,40,AVL,0,0,0,0,0,0,0,0,0,0
610,2,Bogarde,40,40,AVL,0,0,0,0,0,0,0,0,0,0
76,2,Jansson,46,46,BRE,86,2.005,86,2.804,82,2.56,81,3.4,80,2.442
