h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.11757,1.90067,1.11757,1.12689,"{'att': 216, 'def': 21}","{'att': 218, 'def': 17}",5,1,1,0,0.7402,w,2014-08-16 15:00:00,1,0,0,3,-0.009319999999999995
h,0.870175,1.60916,0.870175,1.60916,"{'att': 246, 'def': 12}","{'att': 186, 'def': 19}",2,13,1,1,0.7265999999999999,d,2014-08-24 13:30:00,0,1,0,1,-0.7389849999999999
a,0.28888,0.639316,0.28888,0.639316,"{'att': 278, 'def': 24}","{'att': 366, 'def': 13}",7,6,1,2,0.9139,l,2014-08-31 13:30:00,0,0,1,0,-0.35043599999999997
h,0.439084,0.661678,0.439084,0.661678,"{'att': 273, 'def': 37}","{'att': 192, 'def': 23}",1,0,2,2,1.049,d,2014-09-15 20:00:00,0,1,0,1,-0.22259400000000001
a,0.854291,1.91632,0.854291,1.91632,"{'att': 310, 'def': 16}","{'att': 187, 'def': 23}",2,12,2,2,0.5712999999999999,d,2014-09-20 15:00:00,0,1,0,1,-1.062029
h,1.12374,1.78953,0.362605,1.78953,"{'att': 426, 'def': 20}","{'att': 280, 'def': 25}",2,13,2,4,0.8489,l,2014-09-27 15:00:00,0,0,1,0,-1.426925
h,1.07209,0.616109,1.07209,0.616109,"{'att': 146, 'def': 27}","{'att': 335, 'def': 26}",3,4,2,0,1.7394,w,2014-10-04 15:00:00,1,0,0,3,0.45598099999999997
a,0.552062,2.14845,0.552062,2.14845,"{'att': 352, 'def': 8}","{'att': 253, 'def': 40}",0,17,2,2,0.31499999999999995,d,2014-10-18 15:00:00,0,1,0,1,-1.596388
a,0.222999,0.678924,0.222999,0.678924,"{'att': 335, 'def': 32}","{'att': 150, 'def': 24}",2,11,0,0,0.7686,d,2014-10-25 15:00:00,0,1,0,1,-0.45592499999999997
h,0.256678,1.90484,0.256678,1.90484,"{'att': 333, 'def': 13}","{'att': 239, 'def': 29}",10,5,0,1,0.184,l,2014-11-01 15:00:00,0,0,1,0,-1.6481620000000001
a,0.526656,1.10315,0.526656,1.10315,"{'att': 128, 'def': 19}","{'att': 207, 'def': 25}",6,7,0,1,0.8296,l,2014-11-08 15:00:00,0,0,1,0,-0.5764940000000001
h,0.94244,2.16438,0.94244,2.16438,"{'att': 320, 'def': 24}","{'att': 100, 'def': 25}",2,6,1,2,0.5483,l,2014-11-23 16:00:00,0,0,1,0,-1.22194
a,0.230407,1.76885,0.230407,1.76885,"{'att': 508, 'def': 26}","{'att': 151, 'def': 25}",1,8,0,3,0.1537,l,2014-11-29 15:00:00,0,0,1,0,-1.538443
a,0.29547,1.27965,0.29547,1.27965,"{'att': 317, 'def': 36}","{'att': 192, 'def': 17}",1,7,1,1,0.4724,d,2014-12-03 19:45:00,0,1,0,1,-0.9841799999999999
h,0.586305,1.06151,0.586305,0.300343,"{'att': 303, 'def': 32}","{'att': 285, 'def': 23}",3,4,0,0,0.7852999999999999,d,2014-12-06 15:00:00,0,1,0,1,0.28596199999999994
a,0.435091,1.21862,0.435091,1.21862,"{'att': 300, 'def': 28}","{'att': 226, 'def': 30}",0,11,0,2,0.6282,l,2014-12-13 15:00:00,0,0,1,0,-0.783529
h,0.825885,1.45331,0.825885,1.45331,"{'att': 212, 'def': 27}","{'att': 253, 'def': 17}",6,2,0,1,0.8313999999999999,l,2014-12-20 15:00:00,0,0,1,0,-0.6274250000000001
a,0.85573,1.35551,0.85573,1.35551,"{'att': 268, 'def': 20}","{'att': 222, 'def': 24}",1,5,3,1,0.9067000000000001,w,2014-12-26 15:00:00,1,0,0,3,-0.49978
h,1.72314,0.180127,1.72314,0.180127,"{'att': 179, 'def': 22}","{'att': 298, 'def': 27}",5,0,0,1,2.5995000000000004,l,2014-12-28 15:00:00,0,0,1,0,1.543013
h,1.95682,0.957698,1.95682,0.957698,"{'att': 223, 'def': 29}","{'att': 142, 'def': 22}",10,7,2,0,2.105,w,2015-01-01 15:00:00,1,0,0,3,0.999122
a,0.395844,0.784159,0.395844,0.784159,"{'att': 260, 'def': 19}","{'att': 266, 'def': 13}",2,3,0,1,0.8780999999999999,l,2015-01-10 15:00:00,0,0,1,0,-0.3883150000000001
a,0.423719,2.68629,0.423719,2.68629,"{'att': 271, 'def': 23}","{'att': 223, 'def': 24}",6,6,0,3,0.13740000000000002,l,2015-01-18 13:30:00,0,0,1,0,-2.262571
h,0.989377,0.50926,0.989377,0.50926,"{'att': 236, 'def': 33}","{'att': 304, 'def': 30}",3,5,0,3,1.7966,l,2015-01-31 12:45:00,0,0,1,0,0.4801169999999999
a,1.13348,0.992526,1.13348,0.992526,"{'att': 339, 'def': 12}","{'att': 123, 'def': 20}",1,24,1,1,1.5181000000000002,d,2015-02-07 15:00:00,0,1,0,1,0.14095400000000002
h,0.985975,0.423817,0.985975,0.423817,"{'att': 252, 'def': 25}","{'att': 131, 'def': 18}",5,2,2,0,1.8925,w,2015-02-10 19:45:00,1,0,0,3,0.562158
h,1.09259,0.190631,1.09259,0.190631,"{'att': 167, 'def': 26}","{'att': 212, 'def': 22}",6,0,2,1,2.213,w,2015-02-21 15:00:00,1,0,0,3,0.901959
a,0.344489,0.895577,0.344489,0.895577,"{'att': 299, 'def': 9}","{'att': 200, 'def': 18}",3,7,0,1,0.7827,l,2015-02-28 15:00:00,0,0,1,0,-0.551088
h,1.3938,1.23136,1.3938,1.23136,"{'att': 217, 'def': 19}","{'att': 136, 'def': 18}",5,2,1,1,1.4213,d,2015-03-03 19:45:00,0,1,0,1,0.16243999999999992
a,1.0475,0.53913,1.0475,0.53913,"{'att': 161, 'def': 21}","{'att': 181, 'def': 22}",5,8,0,0,1.8366000000000002,d,2015-03-14 15:00:00,0,1,0,1,0.5083700000000001
h,1.32415,0.758601,1.32415,0.758601,"{'att': 245, 'def': 25}","{'att': 211, 'def': 11}",3,5,2,3,1.7904000000000002,l,2015-03-22 16:00:00,0,0,1,0,0.565549
a,0.919329,1.49943,0.919329,1.49943,"{'att': 407, 'def': 19}","{'att': 263, 'def': 26}",3,3,1,3,0.8685,l,2015-04-04 15:00:00,0,0,1,0,-0.5801010000000001
a,0.737337,2.37369,0.737337,1.61253,"{'att': 353, 'def': 22}","{'att': 266, 'def': 25}",3,9,0,2,0.3106,l,2015-04-11 15:00:00,0,0,1,0,-0.875193
a,2.37709,0.913865,2.37709,0.913865,"{'att': 168, 'def': 15}","{'att': 180, 'def': 22}",10,3,2,0,2.4697,w,2015-04-25 15:00:00,1,0,0,3,1.463225
h,0.730978,0.523697,0.730978,0.523697,"{'att': 336, 'def': 26}","{'att': 101, 'def': 20}",2,7,1,0,1.5545,w,2015-04-28 19:45:00,1,0,0,3,0.20728100000000005
h,0.474706,2.94938,0.474706,2.94938,"{'att': 453, 'def': 20}","{'att': 162, 'def': 25}",0,18,1,3,0.1306,l,2015-05-04 20:00:00,0,0,1,0,-2.4746740000000003
h,1.12811,1.21303,1.12811,1.21303,"{'att': 198, 'def': 24}","{'att': 214, 'def': 18}",6,8,0,1,1.2615,l,2015-05-09 15:00:00,0,0,1,0,-0.0849200000000001
a,1.13285,1.70119,1.13285,1.70119,"{'att': 316, 'def': 18}","{'att': 233, 'def': 25}",5,9,0,2,0.876,l,2015-05-16 15:00:00,0,0,1,0,-0.5683400000000001
h,0.984196,0.399522,0.984196,0.399522,"{'att': 294, 'def': 21}","{'att': 163, 'def': 24}",2,3,0,0,1.8662,d,2015-05-24 15:00:00,0,1,0,1,0.5846739999999999
