h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.33192,1.55248,1.33192,1.55248,"{'att': 238, 'def': 21}","{'att': 401, 'def': 36}",6,9,2,1,1.1776999999999997,w,2014-08-17 13:30:00,1,0,0,3,-0.2205600000000001
a,0.901889,1.31375,0.901889,1.31375,"{'att': 328, 'def': 18}","{'att': 289, 'def': 17}",7,11,1,3,0.9614,l,2014-08-25 20:00:00,0,0,1,0,-0.4118609999999999
a,2.74317,0.48592,1.982,0.48592,"{'att': 303, 'def': 25}","{'att': 198, 'def': 28}",4,6,3,0,2.7561,w,2014-08-31 13:30:00,1,0,0,3,1.49608
h,0.728097,0.701676,0.728097,0.701676,"{'att': 91, 'def': 14}","{'att': 486, 'def': 9}",5,1,0,1,1.2967,l,2014-09-13 17:30:00,0,0,1,0,0.026421000000000028
a,0.37835,1.26032,0.37835,1.26032,"{'att': 122, 'def': 17}","{'att': 313, 'def': 24}",4,5,1,3,0.5005999999999999,l,2014-09-20 17:30:00,0,0,1,0,-0.8819700000000001
h,1.5286,0.475885,1.5286,0.475885,"{'att': 300, 'def': 25}","{'att': 217, 'def': 20}",8,3,1,1,2.2529,d,2014-09-27 12:45:00,0,1,0,1,1.052715
h,1.56163,1.4384,1.56163,0.677228,"{'att': 201, 'def': 25}","{'att': 257, 'def': 32}",10,5,2,1,1.4005999999999998,w,2014-10-04 15:00:00,1,0,0,3,0.884402
a,1.51813,2.60852,1.51813,2.60852,"{'att': 126, 'def': 20}","{'att': 258, 'def': 34}",8,8,3,2,0.6537,w,2014-10-19 13:30:00,1,0,0,3,-1.09039
h,0.678924,0.222999,0.678924,0.222999,"{'att': 150, 'def': 24}","{'att': 335, 'def': 32}",11,2,0,0,1.7727,d,2014-10-25 15:00:00,0,1,0,1,0.45592499999999997
a,0.258953,1.56863,0.258953,1.56863,"{'att': 150, 'def': 16}","{'att': 385, 'def': 28}",6,5,0,1,0.3271,l,2014-11-01 12:45:00,0,0,1,0,-1.309677
h,0.531905,1.97201,0.531905,1.97201,"{'att': 191, 'def': 20}","{'att': 334, 'def': 28}",7,12,1,2,0.3255,l,2014-11-08 12:45:00,0,0,1,0,-1.440105
a,0.952958,1.47309,0.952958,1.47309,"{'att': 123, 'def': 19}","{'att': 347, 'def': 27}",9,7,1,3,0.9235,l,2014-11-23 13:30:00,0,0,1,0,-0.520132
