h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.965583,1.48053,0.965583,1.48053,"{'att': 343, 'def': 22}","{'att': 284, 'def': 22}",6,9,0,2,0.9421999999999999,l,2014-08-17 16:00:00,0,0,1,0,-0.5149469999999999
a,0.699295,0.507525,0.699295,0.507525,"{'att': 180, 'def': 21}","{'att': 326, 'def': 21}",7,4,0,0,1.4753,d,2014-08-23 12:45:00,0,1,0,1,0.19177
h,1.69776,1.66056,1.69776,1.66056,"{'att': 123, 'def': 27}","{'att': 244, 'def': 25}",10,3,3,3,1.3554,d,2014-08-30 15:00:00,0,1,0,1,0.0371999999999999
a,1.15026,2.11739,1.15026,2.11739,"{'att': 370, 'def': 18}","{'att': 354, 'def': 30}",1,4,0,4,0.6358,l,2014-09-13 15:00:00,0,0,1,0,-0.9671299999999998
h,1.91632,0.854291,1.91632,0.854291,"{'att': 187, 'def': 23}","{'att': 310, 'def': 16}",12,2,2,2,2.1957999999999998,d,2014-09-20 15:00:00,0,1,0,1,1.062029
a,1.13994,1.56203,1.13994,1.56203,"{'att': 171, 'def': 23}","{'att': 229, 'def': 24}",6,4,0,1,0.9843,l,2014-09-29 20:00:00,0,0,1,0,-0.4220900000000001
a,1.18603,1.55242,1.18603,1.55242,"{'att': 459, 'def': 34}","{'att': 191, 'def': 27}",1,6,2,2,1.076,d,2014-10-04 15:00:00,0,1,0,1,-0.36639
h,2.1929,0.650379,2.1929,0.650379,"{'att': 175, 'def': 29}","{'att': 230, 'def': 23}",5,5,1,0,2.4899,w,2014-10-18 15:00:00,1,0,0,3,1.5425209999999998
a,0.73967,2.03729,0.73967,2.03729,"{'att': 300, 'def': 32}","{'att': 133, 'def': 25}",3,4,2,1,0.4751,w,2014-10-26 13:30:00,1,0,0,3,-1.29762
h,1.56863,0.258953,1.56863,0.258953,"{'att': 385, 'def': 28}","{'att': 150, 'def': 16}",5,6,1,0,2.4724,w,2014-11-01 12:45:00,1,0,0,3,1.309677
a,0.694441,0.765208,0.694441,0.765208,"{'att': 306, 'def': 24}","{'att': 183, 'def': 19}",1,11,2,0,1.2448000000000001,w,2014-11-09 13:30:00,1,0,0,3,-0.07076700000000002
h,1.47871,0.402285,1.47871,0.402285,"{'att': 149, 'def': 34}","{'att': 184, 'def': 26}",9,5,1,0,2.2969000000000004,w,2014-11-22 15:00:00,1,0,0,3,1.076425
a,0.246562,1.09981,0.246562,1.09981,"{'att': 172, 'def': 21}","{'att': 240, 'def': 15}",2,3,0,1,0.513,l,2014-11-29 15:00:00,0,0,1,0,-0.853248
a,1.0006,0.678486,1.0006,0.678486,"{'att': 125, 'def': 16}","{'att': 248, 'def': 28}",4,11,1,1,1.6612999999999998,d,2014-12-02 19:45:00,0,1,0,1,0.3221139999999999
h,1.48574,2.16232,1.48574,2.16232,"{'att': 315, 'def': 21}","{'att': 149, 'def': 21}",7,22,2,1,0.9306000000000001,w,2014-12-06 12:45:00,1,0,0,3,-0.6765799999999997
a,0.938764,2.38819,0.938764,1.62702,"{'att': 231, 'def': 26}","{'att': 240, 'def': 29}",3,11,1,4,0.3458,l,2014-12-13 17:30:00,0,0,1,0,-0.6882559999999999
h,0.900259,2.18418,0.900259,2.18418,"{'att': 192, 'def': 20}","{'att': 195, 'def': 27}",6,5,0,1,0.4989,l,2014-12-21 13:30:00,0,0,1,0,-1.2839209999999999
a,1.03151,1.86147,0.270375,1.86147,"{'att': 356, 'def': 21}","{'att': 207, 'def': 27}",1,10,1,3,0.6578999999999999,l,2014-12-26 15:00:00,0,0,1,0,-1.591095
h,1.71345,1.07321,1.71345,1.07321,"{'att': 229, 'def': 32}","{'att': 262, 'def': 14}",10,5,3,2,1.8746,w,2014-12-28 16:15:00,1,0,0,3,0.6402399999999999
h,1.24639,1.65582,1.24639,1.65582,"{'att': 227, 'def': 18}","{'att': 218, 'def': 33}",3,2,3,3,1.0292,d,2015-01-01 15:00:00,0,1,0,1,-0.40942999999999996
a,0.394837,1.08131,0.394837,1.08131,"{'att': 330, 'def': 25}","{'att': 193, 'def': 33}",0,9,0,2,0.6932,l,2015-01-10 15:00:00,0,0,1,0,-0.686473
h,0.856732,0.432026,0.856732,0.432026,"{'att': 199, 'def': 26}","{'att': 307, 'def': 24}",4,2,1,2,1.724,l,2015-01-17 17:30:00,0,0,1,0,0.42470600000000003
a,0.50926,0.989377,0.50926,0.989377,"{'att': 304, 'def': 30}","{'att': 236, 'def': 33}",5,3,3,0,0.8624,w,2015-01-31 12:45:00,1,0,0,3,-0.4801169999999999
h,0.789943,0.220357,0.789943,0.220357,"{'att': 216, 'def': 16}","{'att': 141, 'def': 33}",5,3,1,1,1.9052000000000002,d,2015-02-08 14:05:00,0,1,0,1,0.5695859999999999
a,0.444535,0.932684,0.444535,0.932684,"{'att': 209, 'def': 18}","{'att': 184, 'def': 31}",0,4,1,1,0.8109,d,2015-02-11 20:00:00,0,1,0,1,-0.48814899999999994
a,0.166685,3.12533,0.166685,2.36416,"{'att': 361, 'def': 15}","{'att': 313, 'def': 29}",1,11,0,5,0.0308,l,2015-02-21 17:30:00,0,0,1,0,-2.197475
h,0.93198,0.773437,0.93198,0.773437,"{'att': 176, 'def': 13}","{'att': 162, 'def': 22}",0,6,1,0,1.4954,w,2015-02-28 15:00:00,1,0,0,3,0.158543
h,1.19246,1.68865,1.19246,1.68865,"{'att': 277, 'def': 23}","{'att': 99, 'def': 25}",3,7,0,1,0.9255,l,2015-03-04 19:45:00,0,0,1,0,-0.4961899999999999
a,0.809194,2.25807,0.809194,1.49698,"{'att': 284, 'def': 18}","{'att': 230, 'def': 31}",4,9,0,3,0.3902,l,2015-03-15 16:00:00,0,0,1,0,-0.687786
h,1.0068,0.754782,1.0068,0.754782,"{'att': 222, 'def': 27}","{'att': 253, 'def': 36}",5,10,1,2,1.5558,l,2015-03-21 15:00:00,0,0,1,0,0.25201799999999996
a,0.798234,0.829443,0.798234,0.829443,"{'att': 170, 'def': 28}","{'att': 137, 'def': 31}",8,6,0,1,1.3331,l,2015-04-05 16:00:00,0,0,1,0,-0.031209000000000042
a,0.363343,1.26534,0.363343,1.26534,"{'att': 325, 'def': 33}","{'att': 166, 'def': 25}",8,9,0,2,0.5566,l,2015-04-13 20:00:00,0,0,1,0,-0.9019969999999999
h,0.938886,1.99862,0.938886,1.99862,"{'att': 318, 'def': 39}","{'att': 158, 'def': 29}",5,9,1,3,0.5811,l,2015-04-19 16:00:00,0,0,1,0,-1.0597340000000002
h,1.54939,1.58825,1.54939,1.58825,"{'att': 297, 'def': 39}","{'att': 202, 'def': 19}",5,3,2,3,1.3232,l,2015-04-25 15:00:00,0,0,1,0,-0.038859999999999895
a,0.485003,4.02694,0.485003,3.26577,"{'att': 123, 'def': 25}","{'att': 163, 'def': 22}",5,7,0,3,0.0354,l,2015-05-02 12:45:00,0,0,1,0,-2.780767
h,1.23706,1.21081,1.23706,1.21081,"{'att': 176, 'def': 37}","{'att': 220, 'def': 21}",2,3,1,1,1.3559,d,2015-05-09 15:00:00,0,1,0,1,0.026250000000000107
a,2.11207,0.470106,2.11207,0.470106,"{'att': 124, 'def': 31}","{'att': 118, 'def': 40}",10,2,1,2,2.538,l,2015-05-16 15:00:00,0,0,1,0,1.6419640000000002
h,1.64216,0.416396,1.64216,0.416396,"{'att': 303, 'def': 30}","{'att': 144, 'def': 19}",3,4,2,0,2.3586000000000005,w,2015-05-24 15:00:00,1,0,0,3,1.225764
