h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.90067,1.11757,1.12689,1.11757,"{'att': 218, 'def': 17}","{'att': 216, 'def': 21}",1,5,0,1,2.0149,l,2014-08-16 15:00:00,0,0,1,0,0.009319999999999995
a,1.07617,2.38894,1.07617,2.38894,"{'att': 456, 'def': 28}","{'att': 224, 'def': 29}",2,8,0,4,0.5381,l,2014-08-24 13:30:00,0,0,1,0,-1.3127699999999998
h,1.27277,0.964343,1.27277,0.964343,"{'att': 322, 'def': 26}","{'att': 166, 'def': 21}",7,7,1,0,1.5890999999999997,w,2014-08-30 15:00:00,1,0,0,3,0.308427
a,0.563524,2.20911,0.563524,2.20911,"{'att': 546, 'def': 12}","{'att': 228, 'def': 26}",4,9,0,4,0.3136,l,2014-09-14 16:00:00,0,0,1,0,-1.6455859999999998
h,1.05642,1.45847,1.05642,1.45847,"{'att': 238, 'def': 24}","{'att': 235, 'def': 24}",3,6,2,2,0.9737,d,2014-09-20 12:45:00,0,1,0,1,-0.40205
a,0.456323,2.34463,0.456323,2.34463,"{'att': 262, 'def': 18}","{'att': 210, 'def': 22}",3,8,1,2,0.2299,l,2014-09-27 15:00:00,0,0,1,0,-1.888307
a,0.697342,1.64038,0.697342,1.64038,"{'att': 234, 'def': 24}","{'att': 273, 'def': 22}",0,5,0,2,0.5123,l,2014-10-05 16:15:00,0,0,1,0,-0.9430379999999999
h,2.60852,1.51813,2.60852,1.51813,"{'att': 258, 'def': 34}","{'att': 126, 'def': 20}",8,8,2,3,2.1516,l,2014-10-19 13:30:00,0,0,1,0,1.09039
h,0.81667,1.18709,0.81667,1.18709,"{'att': 340, 'def': 25}","{'att': 123, 'def': 22}",3,6,2,0,0.9961,w,2014-10-27 20:00:00,1,0,0,3,-0.37041999999999997
a,0.510067,2.23703,0.510067,1.47586,"{'att': 300, 'def': 23}","{'att': 176, 'def': 32}",3,12,1,2,0.24209999999999998,l,2014-11-01 15:00:00,0,0,1,0,-0.9657929999999999
h,1.86489,1.70189,1.86489,1.70189,"{'att': 271, 'def': 28}","{'att': 175, 'def': 21}",4,15,2,2,1.5175999999999998,d,2014-11-08 17:30:00,0,1,0,1,0.16300000000000003
a,0.402285,1.47871,0.402285,1.47871,"{'att': 184, 'def': 26}","{'att': 149, 'def': 34}",5,9,0,1,0.47050000000000003,l,2014-11-22 15:00:00,0,0,1,0,-1.076425
h,2.98194,2.10013,2.98194,2.10013,"{'att': 105, 'def': 13}","{'att': 175, 'def': 29}",7,8,3,2,1.9742000000000002,w,2014-11-29 15:00:00,1,0,0,3,0.8818099999999998
a,0.789519,1.54207,0.789519,1.54207,"{'att': 335, 'def': 28}","{'att': 186, 'def': 24}",4,6,0,2,0.7788,l,2014-12-02 19:45:00,0,0,1,0,-0.7525510000000001
h,1.63744,1.2646,1.63744,1.2646,"{'att': 157, 'def': 14}","{'att': 161, 'def': 25}",11,12,2,0,1.654,w,2014-12-06 15:00:00,1,0,0,3,0.37284000000000006
a,0.972265,0.747708,0.972265,0.747708,"{'att': 286, 'def': 28}","{'att': 232, 'def': 29}",4,5,1,3,1.5516999999999999,l,2014-12-15 20:00:00,0,0,1,0,0.224557
h,2.92864,1.30117,2.16747,1.30117,"{'att': 184, 'def': 22}","{'att': 157, 'def': 17}",4,12,3,2,2.5012,w,2014-12-20 15:00:00,1,0,0,3,0.8662999999999998
a,1.21752,2.13888,0.456385,1.37771,"{'att': 304, 'def': 35}","{'att': 221, 'def': 18}",7,11,1,2,0.6531,l,2014-12-26 17:30:00,0,0,1,0,-0.921325
h,0.405679,0.328577,0.405679,0.328577,"{'att': 112, 'def': 24}","{'att': 177, 'def': 22}",4,5,0,0,1.3231,d,2014-12-28 15:00:00,0,1,0,1,0.077102
h,3.16214,1.69725,3.16214,1.69725,"{'att': 293, 'def': 37}","{'att': 155, 'def': 15}",9,6,1,1,2.3068999999999997,d,2015-01-01 15:00:00,0,1,0,1,1.46489
a,1.69555,2.19126,0.93438,2.19126,"{'att': 138, 'def': 12}","{'att': 170, 'def': 27}",7,8,1,2,1.0748,l,2015-01-10 15:00:00,0,0,1,0,-1.2568800000000002
h,0.929623,1.55645,0.929623,1.55645,"{'att': 262, 'def': 25}","{'att': 172, 'def': 30}",6,8,0,2,0.8639,l,2015-01-17 15:00:00,0,0,1,0,-0.6268269999999999
a,1.11577,0.782569,1.11577,0.782569,"{'att': 192, 'def': 17}","{'att': 180, 'def': 24}",4,5,1,3,1.6808999999999998,l,2015-01-31 15:00:00,0,0,1,0,0.33320099999999997
h,1.03037,0.963892,1.03037,0.963892,"{'att': 212, 'def': 22}","{'att': 174, 'def': 27}",5,10,0,1,1.3948999999999998,l,2015-02-07 15:00:00,0,0,1,0,0.06647800000000004
a,1.26883,1.80831,1.26883,1.80831,"{'att': 252, 'def': 30}","{'att': 218, 'def': 27}",4,4,2,0,0.9351,w,2015-02-10 19:45:00,1,0,0,3,-0.5394800000000002
a,0.190631,1.09259,0.190631,1.09259,"{'att': 212, 'def': 22}","{'att': 167, 'def': 26}",0,6,1,2,0.4784,l,2015-02-21 15:00:00,0,0,1,0,-0.901959
h,0.318849,2.1651,0.318849,2.1651,"{'att': 255, 'def': 36}","{'att': 177, 'def': 20}",2,15,1,2,0.1923,l,2015-03-04 19:45:00,0,0,1,0,-1.8462509999999999
h,1.49775,2.62405,1.49775,2.62405,"{'att': 193, 'def': 25}","{'att': 100, 'def': 28}",8,4,1,2,0.6722,l,2015-03-07 15:00:00,0,0,1,0,-1.1263
a,0.266048,2.20095,0.266048,2.20095,"{'att': 110, 'def': 23}","{'att': 191, 'def': 21}",2,5,1,3,0.1302,l,2015-03-14 12:45:00,0,0,1,0,-1.9349020000000001
h,1.39318,0.839996,1.39318,0.839996,"{'att': 156, 'def': 31}","{'att': 151, 'def': 27}",18,9,1,2,1.8243,l,2015-03-22 16:00:00,0,0,1,0,0.5531840000000001
a,1.20939,2.13361,1.20939,2.13361,"{'att': 222, 'def': 21}","{'att': 182, 'def': 16}",5,9,4,1,0.7600999999999999,w,2015-04-04 15:00:00,1,0,0,3,-0.92422
a,1.43061,1.86698,1.43061,1.86698,"{'att': 195, 'def': 22}","{'att': 117, 'def': 18}",3,5,3,3,1.0679,d,2015-04-07 19:45:00,0,1,0,1,-0.43637000000000015
h,0.780982,0.920984,0.780982,0.920984,"{'att': 212, 'def': 30}","{'att': 116, 'def': 17}",2,8,0,1,1.1843,l,2015-04-12 13:30:00,0,0,1,0,-0.14000200000000007
h,2.28143,0.824309,1.52026,0.824309,"{'att': 98, 'def': 20}","{'att': 105, 'def': 22}",15,4,0,0,2.4533,d,2015-04-25 15:00:00,0,1,0,1,0.695951
a,0.386314,2.28745,0.386314,1.52628,"{'att': 236, 'def': 23}","{'att': 113, 'def': 21}",1,9,1,2,0.1852,l,2015-05-02 15:00:00,0,0,1,0,-1.139966
a,0.872314,5.35103,0.872314,4.58986,"{'att': 268, 'def': 21}","{'att': 169, 'def': 25}",1,13,0,6,0.009600000000000001,l,2015-05-10 13:30:00,0,0,1,0,-3.7175459999999996
h,0.470106,2.11207,0.470106,2.11207,"{'att': 118, 'def': 40}","{'att': 124, 'def': 31}",2,10,2,1,0.312,w,2015-05-16 15:00:00,1,0,0,3,-1.6419640000000002
