h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.782253,0.876106,0.782253,0.876106,"{'att': 308, 'def': 26}","{'att': 207, 'def': 30}",2,11,1,0,1.2278000000000002,w,2015-08-08 18:00:00,1,0,0,3,-0.09385300000000008
h,0.219118,0.660404,0.219118,0.660404,"{'att': 301, 'def': 30}","{'att': 285, 'def': 30}",3,5,0,1,0.7821,l,2015-08-14 22:45:00,0,0,1,0,-0.44128599999999996
a,0.765278,1.23807,0.765278,1.23807,"{'att': 178, 'def': 21}","{'att': 196, 'def': 24}",6,9,1,2,0.9601,l,2015-08-22 18:00:00,0,0,1,0,-0.472792
h,2.27406,0.368848,1.51289,0.368848,"{'att': 190, 'def': 22}","{'att': 294, 'def': 40}",12,3,2,2,2.7246,d,2015-08-29 18:00:00,0,1,0,1,1.144042
a,0.953181,1.34987,0.953181,1.34987,"{'att': 185, 'def': 22}","{'att': 236, 'def': 33}",5,11,2,3,1.0342,l,2015-09-13 19:00:00,0,0,1,0,-0.39668899999999996
h,0.876719,0.632761,0.876719,0.632761,"{'att': 153, 'def': 25}","{'att': 244, 'def': 29}",5,2,0,1,1.5584,l,2015-09-19 18:00:00,0,0,1,0,0.243958
a,0.892054,1.78331,0.892054,1.78331,"{'att': 317, 'def': 12}","{'att': 215, 'def': 29}",2,11,2,3,0.7259,l,2015-09-26 18:00:00,0,0,1,0,-0.8912559999999999
h,0.839028,1.03499,0.839028,1.03499,"{'att': 229, 'def': 30}","{'att': 258, 'def': 31}",7,3,0,1,1.1661,l,2015-10-03 18:00:00,0,0,1,0,-0.19596200000000008
a,0.795846,1.22875,0.795846,1.22875,"{'att': 205, 'def': 21}","{'att': 238, 'def': 44}",2,6,0,2,0.9563,l,2015-10-17 18:00:00,0,0,1,0,-0.43290399999999996
h,1.09516,1.74353,1.09516,1.74353,"{'att': 259, 'def': 25}","{'att': 175, 'def': 26}",4,4,1,2,0.8114000000000001,l,2015-10-24 18:00:00,0,0,1,0,-0.6483700000000001
a,0.325711,1.14374,0.325711,1.14374,"{'att': 301, 'def': 21}","{'att': 155, 'def': 26}",1,7,1,3,0.6095999999999999,l,2015-11-03 00:00:00,0,0,1,0,-0.818029
h,0.182741,1.53281,0.182741,1.53281,"{'att': 330, 'def': 10}","{'att': 185, 'def': 27}",1,12,0,0,0.2445,d,2015-11-08 17:30:00,0,1,0,1,-1.350069
a,0.322061,2.83068,0.322061,2.83068,"{'att': 413, 'def': 24}","{'att': 237, 'def': 21}",2,6,0,4,0.0867,l,2015-11-21 19:00:00,0,0,1,0,-2.508619
h,1.48969,1.45176,1.48969,1.45176,"{'att': 91, 'def': 18}","{'att': 312, 'def': 32}",6,7,2,3,1.4017,l,2015-11-28 19:00:00,0,0,1,0,0.03793000000000002
a,1.058,2.86051,1.058,2.86051,"{'att': 290, 'def': 12}","{'att': 162, 'def': 22}",2,8,1,1,0.3557,d,2015-12-05 19:00:00,0,1,0,1,-1.80251
h,1.00876,1.68498,1.00876,0.923815,"{'att': 317, 'def': 19}","{'att': 243, 'def': 24}",6,11,0,2,0.7763,l,2015-12-13 17:30:00,0,0,1,0,0.08494500000000005
a,0.404373,1.28189,0.404373,1.28189,"{'att': 167, 'def': 29}","{'att': 228, 'def': 21}",2,6,1,1,0.5649,d,2015-12-19 21:30:00,0,1,0,1,-0.877517
h,1.61235,0.836027,0.851178,0.836027,"{'att': 159, 'def': 22}","{'att': 231, 'def': 26}",7,1,1,1,2.0286,d,2015-12-26 19:00:00,0,1,0,1,0.015151000000000026
a,0.235874,1.10319,0.235874,1.10319,"{'att': 170, 'def': 30}","{'att': 217, 'def': 24}",0,3,0,2,0.4994,l,2015-12-28 19:00:00,0,0,1,0,-0.8673159999999999
a,0.27956,0.761225,0.27956,0.761225,"{'att': 212, 'def': 22}","{'att': 257, 'def': 23}",1,6,1,3,0.8098000000000001,l,2016-01-02 19:00:00,0,0,1,0,-0.48166500000000007
h,0.551973,0.547913,0.551973,0.547913,"{'att': 251, 'def': 24}","{'att': 204, 'def': 28}",6,1,1,0,1.2633999999999999,w,2016-01-12 23:45:00,1,0,0,3,0.0040600000000000636
h,0.665386,2.21525,0.665386,1.45408,"{'att': 206, 'def': 19}","{'att': 256, 'def': 26}",8,5,1,1,0.2929,d,2016-01-16 21:30:00,0,1,0,1,-0.788694
a,0.562461,0.23184,0.562461,0.23184,"{'att': 132, 'def': 24}","{'att': 179, 'def': 19}",4,1,0,0,1.6199,d,2016-01-23 19:00:00,0,1,0,1,0.330621
a,0.107888,2.34619,0.107888,2.34619,"{'att': 344, 'def': 23}","{'att': 140, 'def': 30}",2,13,0,2,0.062,l,2016-02-02 23:45:00,0,0,1,0,-2.238302
h,0.918291,1.1413,0.918291,1.1413,"{'att': 195, 'def': 22}","{'att': 175, 'def': 28}",1,5,2,0,1.1397,w,2016-02-06 19:00:00,1,0,0,3,-0.223009
h,0.174868,2.00756,0.174868,2.00756,"{'att': 385, 'def': 31}","{'att': 215, 'def': 33}",2,10,0,6,0.14250000000000002,l,2016-02-14 18:05:00,0,0,1,0,-1.8326919999999998
a,0.414343,2.04047,0.414343,1.2793,"{'att': 272, 'def': 23}","{'att': 179, 'def': 17}",3,9,1,2,0.16670000000000001,l,2016-02-27 19:00:00,0,0,1,0,-0.8649570000000001
h,0.60177,2.63668,0.60177,2.63668,"{'att': 353, 'def': 25}","{'att': 243, 'def': 15}",12,5,1,3,0.2259,l,2016-03-01 23:45:00,0,0,1,0,-2.03491
