h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.13076,2.10975,1.13076,2.10975,"{'att': 109, 'def': 19}","{'att': 255, 'def': 24}",5,10,1,3,0.6542,l,2015-08-08 18:00:00,0,0,1,0,-0.97899
a,1.71686,0.329128,1.71686,0.329128,"{'att': 224, 'def': 21}","{'att': 224, 'def': 22}",6,2,3,1,2.4779999999999998,w,2015-08-15 18:00:00,1,0,0,3,1.3877320000000002
h,3.14888,0.698228,3.14888,0.698228,"{'att': 289, 'def': 30}","{'att': 153, 'def': 14}",4,2,1,1,2.7779,d,2015-08-22 18:00:00,0,1,0,1,2.4506520000000003
a,0.639434,2.85501,0.639434,2.85501,"{'att': 307, 'def': 12}","{'att': 186, 'def': 18}",2,2,0,3,0.10590000000000001,l,2015-08-30 16:30:00,0,0,1,0,-2.215576
h,1.33151,0.389495,1.33151,0.389495,"{'att': 259, 'def': 26}","{'att': 221, 'def': 19}",7,3,3,1,2.225,w,2015-09-12 18:00:00,1,0,0,3,0.942015
a,0.556271,1.90447,0.556271,1.90447,"{'att': 319, 'def': 21}","{'att': 195, 'def': 22}",3,12,1,1,0.4423,d,2015-09-20 19:00:00,0,1,0,1,-1.3481990000000001
a,1.38603,2.60407,1.38603,2.60407,"{'att': 175, 'def': 26}","{'att': 270, 'def': 30}",3,9,2,2,0.6213,d,2015-09-26 18:00:00,0,1,0,1,-1.21804
h,1.18074,3.00282,1.18074,2.24168,"{'att': 104, 'def': 9}","{'att': 235, 'def': 23}",5,5,1,2,0.3338,l,2015-10-03 18:00:00,0,0,1,0,-1.0609400000000002
a,1.34395,2.24896,1.34395,2.24896,"{'att': 192, 'def': 26}","{'att': 238, 'def': 19}",4,8,2,6,0.7544,l,2015-10-18 19:00:00,0,0,1,0,-0.9050099999999999
h,1.03228,1.45436,1.03228,1.45436,"{'att': 137, 'def': 18}","{'att': 231, 'def': 17}",6,3,0,1,0.9568000000000001,l,2015-10-24 18:00:00,0,0,1,0,-0.42208
a,1.17497,2.83557,1.17497,1.31323,"{'att': 364, 'def': 13}","{'att': 150, 'def': 15}",5,12,1,2,0.2629,l,2015-10-31 19:00:00,0,0,1,0,-0.13825999999999983
h,1.19517,0.402284,1.19517,0.402284,"{'att': 438, 'def': 19}","{'att': 175, 'def': 16}",4,5,1,0,2.128,w,2015-11-07 19:00:00,1,0,0,3,0.7928860000000001
a,0.202798,2.16487,0.202798,2.16487,"{'att': 258, 'def': 18}","{'att': 150, 'def': 22}",2,15,0,1,0.16720000000000002,l,2015-11-21 19:00:00,0,0,1,0,-1.962072
h,1.01025,1.65699,1.01025,1.65699,"{'att': 315, 'def': 14}","{'att': 172, 'def': 19}",4,8,1,1,0.8193,d,2015-11-29 20:15:00,0,1,0,1,-0.6467399999999999
