h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.2529,1.54613,1.2529,1.54613,"{'att': 266, 'def': 38}","{'att': 229, 'def': 18}",5,3,2,2,1.0512000000000001,d,2015-08-09 16:30:00,0,1,0,1,-0.2932300000000001
h,1.06214,1.39628,1.06214,1.39628,"{'att': 203, 'def': 23}","{'att': 253, 'def': 16}",10,5,0,3,1.0453,l,2015-08-15 15:45:00,0,0,1,0,-0.3341399999999999
a,0.68359,1.17588,0.68359,1.17588,"{'att': 200, 'def': 27}","{'att': 199, 'def': 22}",2,2,0,0,0.8077000000000001,d,2015-08-23 19:00:00,0,1,0,1,-0.49229
h,2.85501,0.639434,2.85501,0.639434,"{'att': 186, 'def': 18}","{'att': 307, 'def': 12}",2,2,3,0,2.8164000000000002,w,2015-08-30 16:30:00,1,0,0,3,2.215576
a,1.00731,0.409143,1.00731,0.409143,"{'att': 154, 'def': 18}","{'att': 347, 'def': 17}",7,5,0,0,1.8984999999999999,d,2015-09-12 18:00:00,0,1,0,1,0.5981669999999999
h,1.83663,1.65119,1.83663,1.65119,"{'att': 349, 'def': 20}","{'att': 208, 'def': 17}",7,4,2,3,1.5090999999999999,l,2015-09-20 19:00:00,0,0,1,0,0.18544000000000005
h,1.55418,1.41962,1.55418,0.658453,"{'att': 316, 'def': 27}","{'att': 200, 'def': 18}",10,4,3,1,1.4093,w,2015-09-26 18:00:00,1,0,0,3,0.8957269999999999
a,1.58246,0.520175,1.58246,0.520175,"{'att': 284, 'def': 20}","{'att': 192, 'def': 22}",5,5,3,1,2.22,w,2015-10-03 20:30:00,1,0,0,3,1.062285
h,1.46668,2.78648,1.46668,2.78648,"{'att': 145, 'def': 16}","{'att': 212, 'def': 32}",5,8,2,2,0.5771999999999999,d,2015-10-17 18:00:00,0,1,0,1,-1.3198
a,1.56383,0.682823,1.56383,0.682823,"{'att': 334, 'def': 37}","{'att': 185, 'def': 17}",9,11,1,1,2.2381,d,2015-10-25 20:15:00,0,1,0,1,0.8810070000000001
