h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.45946,2.56803,1.45946,1.80686,"{'att': 172, 'def': 18}","{'att': 272, 'def': 25}",6,5,2,4,0.662,l,2015-08-08 18:00:00,0,0,1,0,-0.34739999999999993
h,0.329128,1.71686,0.329128,1.71686,"{'att': 224, 'def': 22}","{'att': 224, 'def': 21}",2,6,1,3,0.3375,l,2015-08-15 18:00:00,0,0,1,0,-1.3877320000000002
h,0.569426,1.56064,0.569426,1.56064,"{'att': 293, 'def': 29}","{'att': 163, 'def': 19}",2,4,1,1,0.6088,d,2015-08-22 18:00:00,0,1,0,1,-0.991214
a,0.368848,2.27406,0.368848,1.51289,"{'att': 294, 'def': 40}","{'att': 190, 'def': 22}",3,12,2,2,0.1749,d,2015-08-29 18:00:00,0,1,0,1,-1.144042
h,1.0407,1.45615,1.0407,1.45615,"{'att': 217, 'def': 18}","{'att': 150, 'def': 29}",4,12,0,1,1.0179,l,2015-09-13 16:30:00,0,0,1,0,-0.4154500000000001
a,0.854867,0.644335,0.854867,0.644335,"{'att': 241, 'def': 26}","{'att': 230, 'def': 27}",2,7,0,2,1.5617,l,2015-09-19 18:00:00,0,0,1,0,0.21053200000000005
a,0.832139,2.8971,0.832139,2.8971,"{'att': 352, 'def': 16}","{'att': 180, 'def': 28}",1,6,0,3,0.1436,l,2015-09-26 18:00:00,0,0,1,0,-2.0649610000000003
h,1.08401,1.93656,1.08401,1.93656,"{'att': 247, 'def': 19}","{'att': 197, 'def': 21}",3,7,2,2,0.7297,d,2015-10-03 18:00:00,0,1,0,1,-0.8525500000000001
a,0.658473,2.07781,0.658473,2.07781,"{'att': 211, 'def': 23}","{'att': 179, 'def': 19}",5,2,0,1,0.2791,l,2015-10-17 18:00:00,0,0,1,0,-1.419337
h,2.37969,1.41744,1.61852,1.41744,"{'att': 247, 'def': 20}","{'att': 143, 'def': 16}",5,7,3,0,2.1763,w,2015-10-25 16:00:00,1,0,0,3,0.20107999999999993
a,1.21834,2.34852,1.21834,2.34852,"{'att': 345, 'def': 23}","{'att': 169, 'def': 11}",8,11,2,6,0.6232,l,2015-11-01 17:30:00,0,0,1,0,-1.1301800000000002
h,0.299104,1.79578,0.299104,1.03461,"{'att': 274, 'def': 14}","{'att': 139, 'def': 19}",3,6,0,1,0.25129999999999997,l,2015-11-07 19:00:00,0,0,1,0,-0.735506
a,1.30739,0.696183,1.30739,0.696183,"{'att': 249, 'def': 9}","{'att': 98, 'def': 32}",8,4,1,0,1.9251999999999998,w,2015-11-24 00:00:00,1,0,0,3,0.6112070000000001
h,0.863466,0.79464,0.863466,0.79464,"{'att': 255, 'def': 26}","{'att': 234, 'def': 15}",6,4,2,0,1.3138,w,2015-11-28 19:00:00,1,0,0,3,0.06882599999999994
