h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.18197,1.6591,0.420799,1.6591,"{'att': 260, 'def': 30}","{'att': 278, 'def': 29}",2,12,3,4,1.0038,l,2016-08-14 19:00:00,0,0,1,0,-1.238301
a,0.521509,0.553693,0.521509,0.553693,"{'att': 153, 'def': 23}","{'att': 268, 'def': 36}",12,8,0,0,1.2273999999999998,d,2016-08-20 20:30:00,0,1,0,1,-0.03218399999999999
a,2.03271,1.07775,1.27154,1.07775,"{'att': 204, 'def': 29}","{'att': 286, 'def': 29}",11,8,3,1,2.1507,w,2016-08-27 18:00:00,1,0,0,3,0.1937899999999999
h,1.89219,1.17522,1.13102,1.17522,"{'att': 248, 'def': 23}","{'att': 297, 'def': 24}",13,1,2,1,1.9176999999999997,w,2016-09-10 18:00:00,1,0,0,3,-0.04420000000000002
a,3.63453,0.969693,2.87336,0.208524,"{'att': 357, 'def': 33}","{'att': 371, 'def': 10}",14,5,4,1,2.8276000000000003,w,2016-09-17 18:00:00,1,0,0,3,2.6648359999999998
h,1.66224,0.613553,1.66224,0.613553,"{'att': 274, 'def': 24}","{'att': 236, 'def': 20}",15,4,3,0,2.2051,w,2016-09-24 20:30:00,1,0,0,3,1.048687
a,1.85433,0.608783,1.85433,0.608783,"{'att': 188, 'def': 24}","{'att': 359, 'def': 12}",15,0,1,0,2.399,w,2016-10-02 19:30:00,1,0,0,3,1.2455470000000002
h,3.50519,1.74979,3.50519,1.74979,"{'att': 299, 'def': 23}","{'att': 240, 'def': 28}",11,7,3,2,2.4,w,2016-10-15 18:00:00,1,0,0,3,1.7553999999999998
h,0.711811,1.55581,0.711811,1.55581,"{'att': 87, 'def': 19}","{'att': 287, 'def': 14}",13,0,0,0,0.6436999999999999,d,2016-10-22 18:00:00,0,1,0,1,-0.8439989999999999
a,2.48348,0.853434,2.48348,0.0922651,"{'att': 133, 'def': 21}","{'att': 321, 'def': 23}",12,1,4,1,2.5643,w,2016-10-29 15:30:00,1,0,0,3,2.3912149
h,0.675745,1.19585,0.675745,0.434685,"{'att': 285, 'def': 41}","{'att': 170, 'def': 25}",9,3,1,1,0.8081,d,2016-11-06 16:00:00,0,1,0,1,0.24106000000000005
a,0.575813,0.511462,0.575813,0.511462,"{'att': 192, 'def': 18}","{'att': 262, 'def': 41}",5,4,1,1,1.3966,d,2016-11-19 16:30:00,0,1,0,1,0.06435100000000005
h,2.8697,2.0491,2.8697,1.28793,"{'att': 218, 'def': 27}","{'att': 223, 'def': 18}",21,6,3,1,1.9242000000000001,w,2016-11-27 18:15:00,1,0,0,3,1.58177
a,2.96923,0.882486,2.96923,0.882486,"{'att': 245, 'def': 18}","{'att': 238, 'def': 31}",13,3,5,1,2.6339,w,2016-12-03 21:30:00,1,0,0,3,2.086744
h,1.58027,1.29401,1.58027,0.532843,"{'att': 136, 'def': 25}","{'att': 239, 'def': 16}",11,10,3,1,1.5396999999999998,w,2016-12-10 19:00:00,1,0,0,3,1.047427
a,1.3508,1.46034,1.3508,1.46034,"{'att': 164, 'def': 27}","{'att': 275, 'def': 24}",15,3,1,2,1.2774,l,2016-12-13 23:45:00,0,0,1,0,-0.10953999999999997
a,0.609893,1.5186,0.609893,1.5186,"{'att': 296, 'def': 17}","{'att': 225, 'def': 36}",5,6,1,2,0.6143000000000001,l,2016-12-18 20:00:00,0,0,1,0,-0.9087069999999999
h,1.97881,0.687502,1.97881,0.687502,"{'att': 129, 'def': 29}","{'att': 314, 'def': 13}",24,0,1,0,2.3027,w,2016-12-26 19:00:00,1,0,0,3,1.291308
h,1.67138,0.221469,1.67138,0.221469,"{'att': 162, 'def': 26}","{'att': 320, 'def': 14}",19,2,2,0,2.5104,w,2017-01-01 20:00:00,1,0,0,3,1.4499110000000002
a,1.12629,1.55859,1.12629,0.79742,"{'att': 162, 'def': 24}","{'att': 290, 'def': 25}",22,4,3,3,0.9812,d,2017-01-03 23:45:00,0,1,0,1,0.32887
a,2.31811,0.488485,2.31811,0.488485,"{'att': 259, 'def': 34}","{'att': 338, 'def': 24}",21,7,4,0,2.6768,w,2017-01-14 19:00:00,1,0,0,3,1.8296249999999998
h,1.86443,1.29948,1.10326,0.538307,"{'att': 115, 'def': 14}","{'att': 302, 'def': 17}",19,7,2,1,1.7929,w,2017-01-22 17:15:00,1,0,0,3,0.5649529999999999
h,1.07765,0.918309,1.07765,0.918309,"{'att': 82, 'def': 20}","{'att': 335, 'def': 33}",15,2,1,2,1.4051,l,2017-01-31 22:45:00,0,0,1,0,0.15934099999999995
a,0.950035,1.95451,0.950035,1.95451,"{'att': 198, 'def': 22}","{'att': 286, 'def': 36}",7,8,1,3,0.6213000000000001,l,2017-02-04 12:30:00,0,0,1,0,-1.004475
h,3.1235,0.466403,2.36233,0.466403,"{'att': 247, 'def': 23}","{'att': 249, 'def': 22}",17,4,2,0,2.9131,w,2017-02-11 12:30:00,1,0,0,3,1.895927
a,0.729203,2.70435,0.729203,2.70435,"{'att': 191, 'def': 21}","{'att': 206, 'def': 20}",5,15,1,3,0.2501,l,2017-03-04 17:30:00,0,0,1,0,-1.9751469999999998
a,0.995221,2.11737,0.995221,2.11737,"{'att': 94, 'def': 19}","{'att': 367, 'def': 18}",9,4,1,3,0.5666,l,2017-03-18 12:30:00,0,0,1,0,-1.1221490000000003
h,0.738497,1.40021,0.738497,1.40021,"{'att': 260, 'def': 34}","{'att': 201, 'def': 30}",6,5,2,2,0.7809999999999999,d,2017-04-02 16:00:00,0,1,0,1,-0.661713
h,2.16023,0.303905,2.16023,0.303905,"{'att': 198, 'def': 27}","{'att': 401, 'def': 20}",16,1,3,0,2.6836,w,2017-04-05 19:45:00,1,0,0,3,1.856325
a,0.44226,2.15968,0.44226,1.39851,"{'att': 87, 'def': 20}","{'att': 324, 'def': 28}",10,10,0,3,0.22599999999999998,l,2017-04-10 20:00:00,0,0,1,0,-0.9562499999999999
a,1.0689,1.72075,1.0689,1.72075,"{'att': 151, 'def': 36}","{'att': 336, 'def': 24}",8,10,2,1,0.8644000000000001,w,2017-04-17 20:00:00,1,0,0,3,-0.65185
