h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.522847,1.91105,0.522847,1.91105,"{'att': 351, 'def': 24}","{'att': 263, 'def': 25}",3,4,1,3,0.3234,l,2016-08-14 16:30:00,0,0,1,0,-1.3882029999999999
a,0.39341,1.69288,0.39341,1.69288,"{'att': 172, 'def': 23}","{'att': 253, 'def': 34}",7,13,0,1,0.366,l,2016-08-21 19:00:00,0,0,1,0,-1.29947
a,0.974014,2.659,0.974014,1.89783,"{'att': 246, 'def': 19}","{'att': 166, 'def': 34}",8,12,1,1,0.3696,d,2016-08-27 18:00:00,0,1,0,1,-0.9238159999999999
h,0.986511,1.48347,0.986511,1.48347,"{'att': 130, 'def': 19}","{'att': 224, 'def': 21}",8,4,1,0,0.8984000000000001,w,2016-09-10 18:00:00,1,0,0,3,-0.49695900000000004
a,0.389672,3.38733,0.389672,3.38733,"{'att': 318, 'def': 15}","{'att': 189, 'def': 43}",2,16,0,4,0.0366,l,2016-09-17 18:00:00,0,0,1,0,-2.997658
h,0.693594,1.15724,0.693594,1.15724,"{'att': 180, 'def': 21}","{'att': 223, 'def': 27}",4,4,1,0,0.9029999999999999,w,2016-09-24 18:00:00,1,0,0,3,-0.463646
a,1.35487,1.23419,1.35487,1.23419,"{'att': 153, 'def': 17}","{'att': 181, 'def': 28}",2,12,2,2,1.4458000000000002,d,2016-10-01 18:00:00,0,1,0,1,0.12068000000000012
h,2.92532,0.388589,2.16415,0.388589,"{'att': 269, 'def': 36}","{'att': 283, 'def': 17}",11,1,6,1,2.8351,w,2016-10-15 18:00:00,1,0,0,3,1.7755609999999997
h,0.523371,0.74529,0.523371,0.74529,"{'att': 281, 'def': 25}","{'att': 153, 'def': 28}",3,11,0,0,1.0949,d,2016-10-22 15:30:00,0,1,0,1,-0.22191899999999998
a,1.54599,1.44317,1.54599,1.44317,"{'att': 208, 'def': 21}","{'att': 235, 'def': 24}",14,6,0,2,1.4223000000000001,l,2016-10-29 18:00:00,0,0,1,0,0.10281999999999991
h,2.6457,1.13672,2.6457,0.375547,"{'att': 86, 'def': 20}","{'att': 245, 'def': 24}",24,6,1,2,2.382,l,2016-11-05 19:00:00,0,0,1,0,2.270153
a,1.24012,1.60429,1.24012,0.843118,"{'att': 169, 'def': 28}","{'att': 157, 'def': 24}",4,8,1,0,1.0476,w,2016-11-19 19:00:00,1,0,0,3,0.39700199999999986
a,2.0491,2.8697,1.28793,2.8697,"{'att': 223, 'def': 18}","{'att': 218, 'def': 27}",6,21,1,3,0.8546999999999999,l,2016-11-27 18:15:00,0,0,1,0,-1.58177
h,2.54396,1.26532,1.78279,1.26532,"{'att': 309, 'def': 19}","{'att': 216, 'def': 31}",6,7,4,3,2.4191000000000003,w,2016-12-04 17:30:00,1,0,0,3,0.5174700000000001
a,1.00194,2.15178,1.00194,2.15178,"{'att': 80, 'def': 22}","{'att': 227, 'def': 18}",6,9,2,3,0.5172,l,2016-12-10 19:00:00,0,0,1,0,-1.14984
h,0.64118,1.6751,0.64118,1.6751,"{'att': 134, 'def': 18}","{'att': 293, 'def': 27}",4,10,1,0,0.5264,w,2016-12-13 23:45:00,1,0,0,3,-1.0339200000000002
