h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.990062,0.684593,0.990062,0.684593,"{'att': 98, 'def': 23}","{'att': 184, 'def': 26}",4,5,0,1,1.6240999999999999,l,2016-08-13 18:00:00,0,0,1,0,0.305469
a,0.357943,2.25623,0.357943,2.25623,"{'att': 259, 'def': 31}","{'att': 155, 'def': 32}",6,2,0,1,0.1776,l,2016-08-20 18:00:00,0,0,1,0,-1.8982869999999998
h,2.659,0.974014,1.89783,0.974014,"{'att': 166, 'def': 34}","{'att': 246, 'def': 19}",12,8,1,1,2.4858,d,2016-08-27 18:00:00,0,1,0,1,0.9238159999999999
a,1.12437,0.611959,1.12437,0.611959,"{'att': 320, 'def': 19}","{'att': 214, 'def': 23}",4,2,2,1,1.8404,w,2016-09-10 18:00:00,1,0,0,3,0.5124110000000001
h,1.31366,1.20308,1.31366,1.20308,"{'att': 175, 'def': 29}","{'att': 285, 'def': 32}",3,3,4,1,1.4285999999999999,w,2016-09-18 17:15:00,1,0,0,3,0.11058000000000012
a,1.7887,1.51457,1.7887,1.51457,"{'att': 160, 'def': 17}","{'att': 249, 'def': 24}",6,7,3,2,1.5413000000000001,w,2016-09-24 18:00:00,1,0,0,3,0.27413
a,0.47692,1.1542,0.47692,1.1542,"{'att': 179, 'def': 16}","{'att': 127, 'def': 25}",6,8,1,1,0.7153,d,2016-09-30 23:00:00,0,1,0,1,-0.6772799999999999
h,1.94599,0.874219,1.18482,0.874219,"{'att': 177, 'def': 15}","{'att': 256, 'def': 32}",3,4,0,1,2.2561,l,2016-10-15 20:30:00,0,0,1,0,0.310601
a,1.656,1.7041,1.656,1.7041,"{'att': 166, 'def': 23}","{'att': 277, 'def': 32}",8,10,1,3,1.3448,l,2016-10-22 18:00:00,0,0,1,0,-0.04810000000000003
h,0.496044,2.26056,0.496044,2.26056,"{'att': 251, 'def': 23}","{'att': 213, 'def': 23}",12,16,2,4,0.3001,l,2016-10-29 20:30:00,0,0,1,0,-1.764516
a,2.05902,2.25738,1.29785,2.25738,"{'att': 164, 'def': 22}","{'att': 294, 'def': 15}",11,3,2,3,1.1759,l,2016-11-05 19:00:00,0,0,1,0,-0.95953
h,0.431559,1.39421,0.431559,1.39421,"{'att': 228, 'def': 34}","{'att': 119, 'def': 22}",2,6,1,2,0.5311,l,2016-11-19 19:00:00,0,0,1,0,-0.9626509999999999
a,2.28156,3.3955,2.28156,3.3955,"{'att': 189, 'def': 22}","{'att': 134, 'def': 26}",5,8,4,5,0.6296999999999999,l,2016-11-26 19:00:00,0,0,1,0,-1.1139400000000004
h,2.20073,0.764357,2.20073,0.764357,"{'att': 218, 'def': 26}","{'att': 148, 'def': 28}",2,9,3,0,2.5050999999999997,w,2016-12-03 19:00:00,1,0,0,3,1.4363730000000001
a,1.50059,2.16649,0.739423,1.40532,"{'att': 209, 'def': 12}","{'att': 175, 'def': 25}",4,7,3,3,0.873,d,2016-12-10 19:00:00,0,1,0,1,-0.6658969999999999
h,0.710324,1.27306,0.710324,1.27306,"{'att': 308, 'def': 19}","{'att': 223, 'def': 29}",3,13,1,2,0.8220999999999999,l,2016-12-15 00:00:00,0,0,1,0,-0.5627360000000001
h,0.356331,0.81444,0.356331,0.81444,"{'att': 192, 'def': 21}","{'att': 263, 'def': 21}",5,13,0,1,0.8538,l,2016-12-17 16:30:00,0,0,1,0,-0.45810900000000004
a,1.53834,0.959496,0.777174,0.198327,"{'att': 155, 'def': 21}","{'att': 132, 'def': 26}",1,3,1,1,1.8956,d,2016-12-26 16:30:00,0,1,0,1,0.578847
a,0.221469,1.67138,0.221469,1.67138,"{'att': 320, 'def': 14}","{'att': 162, 'def': 26}",2,19,0,2,0.30179999999999996,l,2017-01-01 20:00:00,0,0,1,0,-1.4499110000000002
h,0.331276,1.18905,0.331276,1.18905,"{'att': 248, 'def': 33}","{'att': 233, 'def': 21}",3,5,1,2,0.5538000000000001,l,2017-01-04 00:00:00,0,0,1,0,-0.8577739999999999
a,1.06181,1.72338,1.06181,1.72338,"{'att': 170, 'def': 21}","{'att': 259, 'def': 20}",6,2,0,3,0.7354,l,2017-01-14 19:00:00,0,0,1,0,-0.66157
h,0.463733,0.949561,0.463733,0.949561,"{'att': 220, 'def': 17}","{'att': 186, 'def': 15}",6,6,0,1,0.8811,l,2017-01-21 18:00:00,0,0,1,0,-0.485828
a,1.60667,0.32099,1.60667,0.32099,"{'att': 215, 'def': 31}","{'att': 68, 'def': 22}",3,1,2,0,2.4850000000000003,w,2017-01-31 22:45:00,1,0,0,3,1.2856800000000002
h,2.45994,0.837361,2.45994,0.837361,"{'att': 152, 'def': 29}","{'att': 249, 'def': 13}",5,1,0,4,2.4837,l,2017-02-04 15:00:00,0,0,1,0,1.622579
a,0.202159,0.720883,0.202159,0.720883,"{'att': 215, 'def': 33}","{'att': 184, 'def': 26}",2,6,0,1,0.6814,l,2017-02-11 15:00:00,0,0,1,0,-0.5187240000000001
h,0.808522,0.82885,0.808522,0.82885,"{'att': 261, 'def': 31}","{'att': 137, 'def': 22}",9,7,1,0,1.2585,w,2017-02-25 15:00:00,1,0,0,3,-0.020328000000000013
a,1.39171,0.3746,1.39171,0.3746,"{'att': 167, 'def': 29}","{'att': 140, 'def': 14}",8,0,2,0,2.2375,w,2017-03-04 15:00:00,1,0,0,3,1.01711
h,0.376326,0.190648,0.376326,0.190648,"{'att': 193, 'def': 16}","{'att': 133, 'def': 17}",4,6,1,0,1.4216,w,2017-03-18 15:00:00,1,0,0,3,0.18567799999999998
a,1.57423,3.16805,1.57423,3.16805,"{'att': 226, 'def': 17}","{'att': 93, 'def': 21}",4,26,2,1,0.4596,w,2017-04-01 15:00:00,1,0,0,3,-1.59382
a,1.73055,3.34327,1.73055,3.34327,"{'att': 174, 'def': 18}","{'att': 90, 'def': 20}",7,18,1,3,0.4834,l,2017-04-05 19:45:00,0,0,1,0,-1.61272
h,2.15968,0.44226,1.39851,0.44226,"{'att': 324, 'def': 28}","{'att': 87, 'def': 20}",10,10,3,0,2.6536,w,2017-04-10 20:00:00,1,0,0,3,0.9562499999999999
h,1.67894,0.467725,1.67894,0.467725,"{'att': 118, 'def': 23}","{'att': 201, 'def': 31}",7,4,2,2,2.3278000000000003,d,2017-04-15 15:00:00,0,1,0,1,1.2112150000000002
a,1.21741,0.89449,1.21741,0.89449,"{'att': 322, 'def': 30}","{'att': 85, 'def': 22}",4,10,2,1,1.667,w,2017-04-23 16:30:00,1,0,0,3,0.3229200000000001
h,0.321722,1.00589,0.321722,1.00589,"{'att': 280, 'def': 33}","{'att': 111, 'def': 33}",2,8,0,1,0.6599,l,2017-04-26 20:00:00,0,0,1,0,-0.6841679999999999
h,0.633469,1.38569,0.633469,1.38569,"{'att': 105, 'def': 15}","{'att': 195, 'def': 20}",9,10,0,2,0.7016,l,2017-04-29 17:30:00,0,0,1,0,-0.7522210000000001
a,0.241571,2.69837,0.241571,2.69837,"{'att': 292, 'def': 21}","{'att': 125, 'def': 24}",2,21,0,5,0.1106,l,2017-05-06 12:30:00,0,0,1,0,-2.456799
h,2.73274,0.518148,1.97158,0.518148,"{'att': 241, 'def': 24}","{'att': 71, 'def': 17}",6,7,4,0,2.7802000000000002,w,2017-05-14 12:00:00,1,0,0,3,1.453432
a,0.3016,1.0386,0.3016,1.0386,"{'att': 294, 'def': 29}","{'att': 178, 'def': 18}",8,3,0,2,0.5687,l,2017-05-21 15:00:00,0,0,1,0,-0.737
