h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.790063,1.12348,0.790063,1.12348,"{'att': 230, 'def': 31}","{'att': 184, 'def': 34}",5,8,1,1,1.0261,d,2016-08-13 18:00:00,0,1,0,1,-0.3334170000000001
a,1.83897,2.01885,1.83897,2.01885,"{'att': 136, 'def': 28}","{'att': 321, 'def': 27}",8,7,2,1,1.2924,w,2016-08-20 18:00:00,1,0,0,3,-0.17988000000000004
h,2.31835,0.187415,1.55718,0.187415,"{'att': 207, 'def': 29}","{'att': 279, 'def': 25}",9,9,1,0,2.812,w,2016-08-27 18:00:00,1,0,0,3,1.3697650000000001
a,2.84526,1.0404,2.84526,1.0404,"{'att': 122, 'def': 25}","{'att': 390, 'def': 23}",4,3,3,0,2.4920999999999998,w,2016-09-12 23:00:00,1,0,0,3,1.8048600000000001
h,1.17467,0.178081,1.17467,0.178081,"{'att': 315, 'def': 13}","{'att': 341, 'def': 36}",8,1,3,1,2.3583,w,2016-09-17 20:30:00,1,0,0,3,0.9965890000000002
a,1.15724,0.693594,1.15724,0.693594,"{'att': 223, 'def': 27}","{'att': 180, 'def': 21}",4,4,0,1,1.7852999999999999,l,2016-09-24 18:00:00,0,0,1,0,0.463646
h,1.1542,0.47692,1.1542,0.47692,"{'att': 127, 'def': 25}","{'att': 179, 'def': 16}",8,6,1,1,1.9776999999999998,d,2016-09-30 23:00:00,0,1,0,1,0.6772799999999999
a,0.144498,2.69208,0.144498,1.16978,"{'att': 293, 'def': 12}","{'att': 118, 'def': 20}",1,23,1,1,0.0373,d,2016-10-15 18:00:00,0,1,0,1,-1.025282
a,0.752795,0.905579,0.752795,0.905579,"{'att': 143, 'def': 16}","{'att': 284, 'def': 32}",5,2,1,2,1.1068000000000002,l,2016-10-22 18:00:00,0,0,1,0,-0.15278400000000003
h,2.0087,0.944816,2.0087,0.944816,"{'att': 247, 'def': 21}","{'att': 218, 'def': 20}",5,6,2,0,2.1778,w,2016-10-30 17:30:00,1,0,0,3,1.0638840000000003
a,0.0131321,1.94078,0.0131321,1.94078,"{'att': 374, 'def': 28}","{'att': 274, 'def': 21}",1,12,0,5,0.10049999999999999,l,2016-11-05 21:30:00,0,0,1,0,-1.9276479
h,1.54877,1.07471,1.54877,0.31354,"{'att': 141, 'def': 25}","{'att': 259, 'def': 20}",2,3,1,1,1.7591,d,2016-11-19 19:00:00,0,1,0,1,1.23523
a,0.615174,2.80562,0.615174,2.80562,"{'att': 223, 'def': 26}","{'att': 180, 'def': 28}",8,8,0,1,0.17220000000000002,l,2016-11-27 20:30:00,0,0,1,0,-2.1904459999999997
h,1.64985,0.541299,0.888683,0.541299,"{'att': 225, 'def': 27}","{'att': 186, 'def': 28}",2,6,1,1,2.3563,d,2016-12-04 20:00:00,0,1,0,1,0.347384
a,1.09675,1.49271,1.09675,1.49271,"{'att': 177, 'def': 20}","{'att': 200, 'def': 25}",8,6,2,3,1.0327000000000002,l,2016-12-10 16:30:00,0,0,1,0,-0.3959600000000001
h,1.46034,1.3508,1.46034,1.3508,"{'att': 275, 'def': 24}","{'att': 164, 'def': 27}",3,15,2,1,1.4270999999999998,w,2016-12-13 23:45:00,1,0,0,3,0.10953999999999997
h,0.456788,1.87823,0.456788,1.87823,"{'att': 306, 'def': 21}","{'att': 121, 'def': 21}",1,17,0,1,0.3264,l,2016-12-20 00:00:00,0,0,1,0,-1.421442
a,1.25512,0.377464,1.25512,0.377464,"{'att': 166, 'def': 17}","{'att': 279, 'def': 26}",4,6,2,0,2.1938,w,2016-12-26 15:00:00,1,0,0,3,0.877656
a,1.27757,0.852585,1.27757,0.852585,"{'att': 214, 'def': 28}","{'att': 276, 'def': 23}",9,4,2,2,1.7003,d,2016-12-31 00:00:00,0,1,0,1,0.42498500000000006
h,2.34997,1.01083,1.5888,1.01083,"{'att': 198, 'def': 18}","{'att': 205, 'def': 38}",11,4,3,0,2.393,w,2017-01-02 15:00:00,1,0,0,3,0.5779700000000001
h,0.572528,0.569286,0.572528,0.569286,"{'att': 357, 'def': 21}","{'att': 130, 'def': 23}",4,10,4,0,1.2993000000000001,w,2017-01-15 17:30:00,1,0,0,3,0.003242000000000078
a,0.949561,0.463733,0.949561,0.463733,"{'att': 186, 'def': 15}","{'att': 220, 'def': 17}",6,6,1,0,1.7577,w,2017-01-21 18:00:00,1,0,0,3,0.485828
a,0.870158,1.7362,0.870158,1.7362,"{'att': 209, 'def': 15}","{'att': 273, 'def': 32}",3,8,1,1,0.6706,d,2017-02-01 23:00:00,0,1,0,1,-0.866042
h,2.75981,2.1501,2.75981,2.1501,"{'att': 294, 'def': 12}","{'att': 277, 'def': 25}",4,12,6,3,1.7635999999999998,w,2017-02-04 15:00:00,1,0,0,3,0.6097099999999998
a,0.831644,0.651056,0.831644,0.651056,"{'att': 268, 'def': 37}","{'att': 374, 'def': 27}",8,5,0,0,1.4974,d,2017-02-11 15:00:00,0,1,0,1,0.18058800000000008
h,1.70366,0.505952,1.70366,0.505952,"{'att': 125, 'def': 21}","{'att': 304, 'def': 17}",3,2,2,0,2.2771,w,2017-02-25 15:00:00,1,0,0,3,1.197708
a,0.808013,1.70225,0.808013,1.70225,"{'att': 238, 'def': 25}","{'att': 253, 'def': 23}",2,3,2,3,0.7064,l,2017-03-05 13:30:00,0,0,1,0,-0.8942370000000001
h,2.17521,0.127321,2.17521,0.127321,"{'att': 175, 'def': 18}","{'att': 328, 'def': 19}",4,2,3,0,2.8124000000000002,w,2017-03-11 15:00:00,1,0,0,3,2.047889
h,2.63141,0.528692,2.63141,0.528692,"{'att': 240, 'def': 24}","{'att': 246, 'def': 20}",10,3,4,0,2.7099,w,2017-03-18 15:00:00,1,0,0,3,2.102718
a,1.44152,0.625343,1.44152,0.625343,"{'att': 228, 'def': 21}","{'att': 216, 'def': 32}",5,3,1,3,2.1212000000000004,l,2017-04-01 12:30:00,0,0,1,0,0.8161769999999999
a,0.589122,1.67424,0.589122,0.913066,"{'att': 276, 'def': 18}","{'att': 204, 'def': 26}",4,14,1,1,0.4839,d,2017-04-04 20:00:00,0,1,0,1,-0.323944
h,2.64597,0.836095,2.64597,0.836095,"{'att': 180, 'def': 20}","{'att': 314, 'def': 23}",7,1,4,2,2.5869,w,2017-04-09 16:00:00,1,0,0,3,1.8098750000000001
h,1.67352,1.1469,1.67352,0.385733,"{'att': 126, 'def': 25}","{'att': 249, 'def': 24}",7,5,3,1,1.7351,w,2017-04-15 15:00:00,1,0,0,3,1.2877869999999998
a,0.104476,0.668323,0.104476,0.668323,"{'att': 178, 'def': 24}","{'att': 337, 'def': 24}",2,2,0,0,0.6293,d,2017-04-22 15:00:00,0,1,0,1,-0.563847
h,0.684516,1.81945,0.684516,1.81945,"{'att': 238, 'def': 25}","{'att': 259, 'def': 16}",2,9,0,3,0.5084,l,2017-04-30 14:05:00,0,0,1,0,-1.1349339999999999
a,0.270186,2.09244,0.270186,2.09244,"{'att': 200, 'def': 19}","{'att': 354, 'def': 15}",5,4,0,1,0.1273,l,2017-05-06 17:30:00,0,0,1,0,-1.8222539999999998
h,1.12984,1.54861,1.12984,1.54861,"{'att': 153, 'def': 21}","{'att': 293, 'def': 20}",5,7,1,0,1.006,w,2017-05-12 19:45:00,1,0,0,3,-0.4187700000000001
a,1.8831,3.35075,1.12193,3.35075,"{'att': 242, 'def': 16}","{'att': 211, 'def': 17}",10,15,1,3,0.5574,l,2017-05-21 15:00:00,0,0,1,0,-2.22882
