h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.95479,1.09877,1.19362,1.09877,"{'att': 76, 'def': 14}","{'att': 368, 'def': 23}",11,4,2,1,2.0446,w,2016-08-13 20:30:00,1,0,0,3,0.09484999999999988
a,2.17198,1.31066,1.41081,0.549491,"{'att': 208, 'def': 44}","{'att': 253, 'def': 19}",9,3,4,1,2.0610999999999997,w,2016-08-20 15:30:00,1,0,0,3,0.861319
h,3.21624,1.08385,3.21624,1.08385,"{'att': 146, 'def': 26}","{'att': 354, 'def': 26}",18,0,3,1,2.6052000000000004,w,2016-08-28 19:00:00,1,0,0,3,2.13239
a,1.88688,1.01013,1.88688,1.01013,"{'att': 177, 'def': 35}","{'att': 299, 'def': 27}",11,8,2,1,2.0531,w,2016-09-10 15:30:00,1,0,0,3,0.8767499999999999
h,3.38733,0.389672,3.38733,0.389672,"{'att': 189, 'def': 43}","{'att': 318, 'def': 15}",16,2,4,0,2.9381999999999997,w,2016-09-17 18:00:00,1,0,0,3,2.997658
a,2.57704,1.11096,1.81587,1.11096,"{'att': 229, 'def': 23}","{'att': 320, 'def': 28}",23,5,3,1,2.3997,w,2016-09-24 15:00:00,1,0,0,3,0.7049100000000001
a,0.909513,1.69975,0.909513,0.938577,"{'att': 157, 'def': 22}","{'att': 260, 'def': 44}",13,2,0,2,0.7141,l,2016-10-02 17:15:00,0,0,1,0,-0.02906399999999998
h,2.69208,0.144498,1.16978,0.144498,"{'att': 118, 'def': 20}","{'att': 293, 'def': 12}",23,1,1,1,2.932,d,2016-10-15 18:00:00,0,1,0,1,1.025282
h,1.15321,0.563752,1.15321,0.563752,"{'att': 145, 'def': 23}","{'att': 297, 'def': 27}",11,4,1,1,1.8629000000000002,d,2016-10-23 16:30:00,0,1,0,1,0.589458
a,2.48018,0.596605,2.48018,0.596605,"{'att': 169, 'def': 22}","{'att': 389, 'def': 24}",13,3,4,0,2.5971,w,2016-10-29 18:00:00,1,0,0,3,1.8835749999999998
h,2.49606,0.208762,2.49606,0.208762,"{'att': 132, 'def': 25}","{'att': 245, 'def': 21}",15,1,1,1,2.8169999999999997,d,2016-11-05 19:00:00,0,1,0,1,2.287298
a,1.39421,0.431559,1.39421,0.431559,"{'att': 119, 'def': 22}","{'att': 228, 'def': 34}",6,2,2,1,2.2192,w,2016-11-19 19:00:00,1,0,0,3,0.9626509999999999
a,2.25698,0.475642,2.25698,0.475642,"{'att': 100, 'def': 25}","{'att': 297, 'def': 20}",18,4,2,1,2.6363000000000003,w,2016-11-26 16:30:00,1,0,0,3,1.7813379999999999
h,2.24061,1.2848,2.24061,1.2848,"{'att': 194, 'def': 34}","{'att': 283, 'def': 21}",9,8,1,3,2.1028000000000002,l,2016-12-03 16:30:00,0,0,1,0,0.9558100000000003
a,0.970372,2.60583,0.970372,2.60583,"{'att': 72, 'def': 11}","{'att': 340, 'def': 20}",19,4,2,4,0.3542,l,2016-12-10 21:30:00,0,0,1,0,-1.635458
h,1.62359,0.497462,1.62359,0.497462,"{'att': 136, 'def': 40}","{'att': 222, 'def': 18}",12,1,2,0,2.2619,w,2016-12-15 00:00:00,1,0,0,3,1.126128
h,1.5186,0.609893,1.5186,0.609893,"{'att': 225, 'def': 36}","{'att': 296, 'def': 17}",6,5,2,1,2.1104000000000003,w,2016-12-18 20:00:00,1,0,0,3,0.9087069999999999
a,2.22237,0.350069,1.4612,0.350069,"{'att': 150, 'def': 13}","{'att': 388, 'def': 24}",9,0,3,0,2.7431,w,2016-12-26 21:15:00,1,0,0,3,1.111131
a,0.352445,0.256825,0.352445,0.256825,"{'att': 188, 'def': 22}","{'att': 352, 'def': 37}",3,2,0,1,1.3117,l,2016-12-31 21:30:00,0,0,1,0,0.09561999999999998
h,0.617412,0.642111,0.617412,0.642111,"{'att': 196, 'def': 17}","{'att': 250, 'def': 19}",6,5,2,1,1.2859,w,2017-01-02 15:00:00,1,0,0,3,-0.024699000000000026
a,0.569286,0.572528,0.569286,0.572528,"{'att': 130, 'def': 23}","{'att': 357, 'def': 21}",10,4,0,4,1.2753,l,2017-01-15 17:30:00,0,0,1,0,-0.003242000000000078
h,2.52702,1.12391,2.52702,1.12391,"{'att': 225, 'def': 31}","{'att': 225, 'def': 19}",11,4,2,2,2.3607,d,2017-01-21 20:30:00,0,1,0,1,1.4031099999999999
a,2.66472,0.49472,1.90356,0.49472,"{'att': 151, 'def': 23}","{'att': 453, 'def': 31}",11,4,4,0,2.7922000000000002,w,2017-02-01 22:45:00,1,0,0,3,1.4088399999999999
h,2.87972,0.11445,2.87972,0.11445,"{'att': 156, 'def': 17}","{'att': 367, 'def': 18}",13,0,2,1,2.9724,w,2017-02-05 13:30:00,1,0,0,3,2.7652699999999997
a,2.953,0.152385,2.953,0.152385,"{'att': 191, 'def': 25}","{'att': 338, 'def': 21}",8,4,2,0,2.9247,w,2017-02-13 20:00:00,1,0,0,3,2.8006149999999996
a,2.48022,0.737758,2.48022,0.737758,"{'att': 146, 'def': 22}","{'att': 433, 'def': 31}",15,0,2,0,2.6136,w,2017-03-05 16:00:00,1,0,0,3,1.7424620000000002
h,1.3049,0.337194,1.3049,0.337194,"{'att': 152, 'def': 27}","{'att': 346, 'def': 20}",2,2,0,0,2.2584000000000004,d,2017-03-08 20:00:00,0,1,0,1,0.967706
