h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.80523,0.485626,1.80523,0.485626,"{'att': 234, 'def': 32}","{'att': 199, 'def': 22}",4,4,1,1,2.5279,d,2016-08-13 18:00:00,0,1,0,1,1.319604
a,0.854908,1.4645,0.854908,1.4645,"{'att': 188, 'def': 32}","{'att': 289, 'def': 29}",6,12,2,1,0.8507,w,2016-08-21 16:30:00,1,0,0,3,-0.6095919999999999
a,0.396816,0.696845,0.396816,0.696845,"{'att': 175, 'def': 26}","{'att': 322, 'def': 18}",4,5,0,0,0.964,d,2016-08-28 16:30:00,0,1,0,1,-0.30002900000000005
h,0.611959,1.12437,0.611959,1.12437,"{'att': 214, 'def': 23}","{'att': 320, 'def': 19}",2,4,1,2,0.8426,l,2016-09-10 18:00:00,0,0,1,0,-0.5124110000000001
a,0.178081,1.17467,0.178081,1.17467,"{'att': 341, 'def': 36}","{'att': 315, 'def': 13}",1,8,1,3,0.37889999999999996,l,2016-09-17 20:30:00,0,0,1,0,-0.9965890000000002
h,0.361508,1.4158,0.361508,1.4158,"{'att': 276, 'def': 40}","{'att': 230, 'def': 23}",0,12,1,2,0.4938,l,2016-09-24 18:00:00,0,0,1,0,-1.054292
a,0.852603,0.883385,0.852603,0.883385,"{'att': 179, 'def': 24}","{'att': 300, 'def': 26}",2,3,1,1,1.3076,d,2016-10-01 18:00:00,0,1,0,1,-0.030781999999999976
h,0.528576,0.0893749,0.528576,0.0893749,"{'att': 153, 'def': 28}","{'att': 286, 'def': 19}",3,2,0,1,1.7502,l,2016-10-16 16:30:00,0,0,1,0,0.43920110000000007
a,1.55581,0.711811,1.55581,0.711811,"{'att': 287, 'def': 14}","{'att': 87, 'def': 19}",0,13,0,0,2.1083,d,2016-10-22 18:00:00,0,1,0,1,0.8439989999999999
h,1.44317,1.54599,1.44317,1.54599,"{'att': 235, 'def': 24}","{'att': 208, 'def': 21}",6,14,2,0,1.2891000000000001,w,2016-10-29 18:00:00,1,0,0,3,-0.10281999999999991
a,0.208762,2.49606,0.208762,2.49606,"{'att': 245, 'def': 21}","{'att': 132, 'def': 25}",1,15,1,1,0.1086,d,2016-11-05 19:00:00,0,1,0,1,-2.287298
h,0.55976,1.68738,0.55976,1.68738,"{'att': 298, 'def': 24}","{'att': 299, 'def': 29}",2,20,0,1,0.5023,l,2016-11-20 20:00:00,0,0,1,0,-1.12762
a,0.425252,2.0478,0.425252,0.525466,"{'att': 148, 'def': 22}","{'att': 319, 'def': 27}",6,7,2,2,0.2042,d,2016-11-26 19:00:00,0,1,0,1,-0.10021399999999997
h,1.94961,0.221339,1.94961,0.221339,"{'att': 248, 'def': 22}","{'att': 341, 'def': 12}",6,3,1,0,2.6685,w,2016-12-06 00:00:00,1,0,0,3,1.7282710000000001
a,0.493941,1.72919,0.493941,1.72919,"{'att': 289, 'def': 29}","{'att': 219, 'def': 24}",1,6,0,1,0.3469,l,2016-12-11 18:15:00,0,0,1,0,-1.235249
h,0.161583,2.13526,0.161583,2.13526,"{'att': 396, 'def': 22}","{'att': 233, 'def': 33}",2,10,0,3,0.1277,l,2016-12-14 23:45:00,0,0,1,0,-1.9736770000000001
h,1.71549,0.602249,0.954322,0.602249,"{'att': 283, 'def': 16}","{'att': 245, 'def': 25}",2,7,3,0,2.3325,w,2016-12-17 19:00:00,1,0,0,3,0.35207299999999997
a,0.698814,0.275704,0.698814,0.275704,"{'att': 134, 'def': 24}","{'att': 206, 'def': 22}",3,4,0,1,1.7597999999999998,l,2016-12-26 19:00:00,0,0,1,0,0.42311000000000004
a,0.64492,2.53996,0.64492,2.53996,"{'att': 272, 'def': 18}","{'att': 197, 'def': 23}",4,18,1,2,0.30720000000000003,l,2016-12-31 15:00:00,0,0,1,0,-1.8950400000000003
h,0.697108,0.477078,0.697108,0.477078,"{'att': 133, 'def': 19}","{'att': 281, 'def': 30}",2,9,0,0,1.5379,d,2017-01-02 16:30:00,0,1,0,1,0.22002999999999995
a,0.325347,0.835827,0.325347,0.835827,"{'att': 175, 'def': 18}","{'att': 245, 'def': 22}",1,5,0,0,0.7764,d,2017-01-14 19:00:00,0,1,0,1,-0.51048
h,0.958825,2.6558,0.958825,2.6558,"{'att': 168, 'def': 18}","{'att': 287, 'def': 19}",7,5,1,3,0.37170000000000003,l,2017-01-21 18:00:00,0,0,1,0,-1.6969750000000001
h,1.18135,1.25288,0.420177,1.25288,"{'att': 105, 'def': 17}","{'att': 260, 'def': 22}",5,4,1,1,1.326,d,2017-01-31 22:45:00,0,1,0,1,-0.832703
a,0.50484,2.10053,0.50484,1.33936,"{'att': 296, 'def': 16}","{'att': 150, 'def': 21}",6,14,0,1,0.2658,l,2017-02-04 17:30:00,0,0,1,0,-0.8345200000000002
h,0.651056,0.831644,0.651056,0.831644,"{'att': 374, 'def': 27}","{'att': 268, 'def': 37}",5,8,0,0,1.1302,d,2017-02-11 15:00:00,0,1,0,1,-0.18058800000000008
a,0.82885,0.808522,0.82885,0.808522,"{'att': 137, 'def': 22}","{'att': 261, 'def': 31}",7,9,0,1,1.3839,l,2017-02-25 15:00:00,0,0,1,0,0.020328000000000013
a,0.274611,2.97584,0.274611,2.97584,"{'att': 232, 'def': 40}","{'att': 195, 'def': 29}",5,6,0,2,0.0583,l,2017-03-04 15:00:00,0,0,1,0,-2.7012289999999997
h,1.09037,2.47484,1.09037,2.47484,"{'att': 152, 'def': 22}","{'att': 325, 'def': 22}",7,5,1,3,0.4304,l,2017-03-19 12:00:00,0,0,1,0,-1.3844699999999999
a,0.748206,0.64382,0.748206,0.64382,"{'att': 205, 'def': 18}","{'att': 195, 'def': 25}",5,5,0,0,1.4448,d,2017-04-02 13:30:00,0,1,0,1,0.10438600000000009
a,1.30673,2.23261,1.30673,2.23261,"{'att': 212, 'def': 26}","{'att': 251, 'def': 23}",4,8,2,4,0.7480000000000001,l,2017-04-05 19:45:00,0,0,1,0,-0.9258800000000003
h,0.684683,0.809899,0.684683,0.809899,"{'att': 189, 'def': 14}","{'att': 280, 'def': 23}",4,4,0,0,1.1976,d,2017-04-08 15:00:00,0,1,0,1,-0.125216
h,1.72075,1.0689,1.72075,1.0689,"{'att': 336, 'def': 24}","{'att': 151, 'def': 36}",10,8,1,2,1.8826,l,2017-04-17 20:00:00,0,0,1,0,0.65185
a,0.2072,3.27712,0.2072,3.27712,"{'att': 281, 'def': 14}","{'att': 178, 'def': 25}",2,12,0,4,0.0417,l,2017-04-22 15:00:00,0,0,1,0,-3.06992
h,0.825839,0.445766,0.825839,0.445766,"{'att': 197, 'def': 25}","{'att': 186, 'def': 21}",2,7,1,0,1.7328000000000001,w,2017-04-26 19:45:00,1,0,0,3,0.380073
h,1.17715,3.10725,1.17715,2.34608,"{'att': 240, 'def': 15}","{'att': 113, 'def': 17}",4,10,2,2,0.2424,d,2017-04-30 14:05:00,0,1,0,1,-1.1689300000000002
