h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.485626,1.80523,0.485626,1.80523,"{'att': 199, 'def': 22}","{'att': 234, 'def': 32}",4,4,1,1,0.3097,d,2016-08-13 18:00:00,0,1,0,1,-1.319604
h,1.31066,2.17198,0.549491,1.41081,"{'att': 253, 'def': 19}","{'att': 208, 'def': 44}",3,9,1,4,0.6835,l,2016-08-20 15:30:00,0,0,1,0,-0.861319
a,0.187415,2.31835,0.187415,1.55718,"{'att': 279, 'def': 25}","{'att': 207, 'def': 29}",9,9,0,1,0.11019999999999999,l,2016-08-27 18:00:00,0,0,1,0,-1.3697650000000001
h,1.01771,2.77025,1.01771,2.77025,"{'att': 268, 'def': 20}","{'att': 156, 'def': 18}",10,9,0,4,0.3444,l,2016-09-10 18:00:00,0,0,1,0,-1.75254
a,1.20308,1.31366,1.20308,1.31366,"{'att': 285, 'def': 32}","{'att': 175, 'def': 29}",3,3,1,4,1.2599999999999998,l,2016-09-18 17:15:00,0,0,1,0,-0.11058000000000012
h,0.979673,0.270862,0.979673,0.270862,"{'att': 153, 'def': 21}","{'att': 203, 'def': 26}",4,3,1,1,2.0007,d,2016-09-24 18:00:00,0,1,0,1,0.7088110000000001
a,1.20043,2.80988,1.20043,2.80988,"{'att': 274, 'def': 13}","{'att': 122, 'def': 29}",6,11,1,1,0.3766,d,2016-10-02 15:00:00,0,1,0,1,-1.60945
h,2.29543,0.587572,2.29543,0.587572,"{'att': 182, 'def': 16}","{'att': 271, 'def': 19}",12,6,2,0,2.5776999999999997,w,2016-10-15 18:00:00,1,0,0,3,1.707858
a,1.04273,0.701606,1.04273,0.701606,"{'att': 257, 'def': 22}","{'att': 264, 'def': 29}",6,7,2,0,1.6251,w,2016-10-22 18:00:00,1,0,0,3,0.341124
h,2.16407,1.10058,2.16407,1.10058,"{'att': 269, 'def': 15}","{'att': 189, 'def': 24}",10,4,3,1,2.1675,w,2016-11-01 00:00:00,1,0,0,3,1.0634900000000003
a,0.81046,0.404528,0.81046,0.404528,"{'att': 314, 'def': 17}","{'att': 172, 'def': 17}",5,2,1,1,1.6904000000000001,d,2016-11-05 19:00:00,0,1,0,1,0.40593199999999996
h,1.60429,1.24012,0.843118,1.24012,"{'att': 157, 'def': 24}","{'att': 169, 'def': 28}",8,4,0,1,1.6605,l,2016-11-19 19:00:00,0,0,1,0,-0.39700199999999986
a,0.704736,0.541915,0.704736,0.541915,"{'att': 169, 'def': 22}","{'att': 191, 'def': 38}",2,4,1,0,1.4641,w,2016-11-27 16:00:00,1,0,0,3,0.162821
h,1.12929,0.773995,1.12929,0.773995,"{'att': 150, 'def': 13}","{'att': 252, 'def': 29}",5,9,2,0,1.6958,w,2016-12-03 19:00:00,1,0,0,3,0.3552949999999999
a,1.29401,1.58027,0.532843,1.58027,"{'att': 239, 'def': 16}","{'att': 136, 'def': 25}",10,11,1,3,1.1731,l,2016-12-10 19:00:00,0,0,1,0,-1.047427
h,0.333754,0.723114,0.333754,0.723114,"{'att': 227, 'def': 4}","{'att': 85, 'def': 27}",1,15,0,0,0.8867,d,2016-12-15 00:00:00,0,1,0,1,-0.38936000000000004
h,2.518,1.25572,1.75683,1.25572,"{'att': 160, 'def': 17}","{'att': 302, 'def': 18}",7,4,2,2,2.3251,d,2016-12-17 19:00:00,0,1,0,1,0.5011099999999999
a,0.389104,1.66669,0.389104,1.66669,"{'att': 351, 'def': 22}","{'att': 176, 'def': 29}",0,13,1,4,0.38859999999999995,l,2016-12-27 21:15:00,0,0,1,0,-1.2775859999999999
a,0.858417,1.94737,0.858417,1.94737,"{'att': 259, 'def': 13}","{'att': 168, 'def': 21}",6,14,2,4,0.5958,l,2016-12-31 19:00:00,0,0,1,0,-1.088953
h,1.85359,0.510395,1.85359,0.510395,"{'att': 180, 'def': 15}","{'att': 215, 'def': 27}",4,8,2,0,2.4779999999999998,w,2017-01-04 00:00:00,1,0,0,3,1.3431950000000001
a,1.22897,1.1365,1.22897,1.1365,"{'att': 228, 'def': 20}","{'att': 226, 'def': 29}",8,7,3,1,1.4151,w,2017-01-14 19:00:00,1,0,0,3,0.09246999999999983
h,0.353777,1.74295,0.353777,1.74295,"{'att': 279, 'def': 23}","{'att': 173, 'def': 24}",4,11,1,1,0.3665,d,2017-01-21 18:00:00,0,1,0,1,-1.389173
h,1.7362,0.870158,1.7362,0.870158,"{'att': 273, 'def': 32}","{'att': 209, 'def': 15}",8,3,1,1,2.0914,d,2017-02-01 23:00:00,0,1,0,1,0.866042
a,1.10818,1.84983,1.10818,1.84983,"{'att': 142, 'def': 25}","{'att': 239, 'def': 8}",4,6,0,1,0.8289,l,2017-02-04 15:00:00,0,0,1,0,-0.7416500000000001
h,0.720883,0.202159,0.720883,0.202159,"{'att': 184, 'def': 26}","{'att': 215, 'def': 33}",6,2,1,0,1.8952,w,2017-02-11 15:00:00,1,0,0,3,0.5187240000000001
a,0.743596,1.89002,0.743596,1.89002,"{'att': 351, 'def': 22}","{'att': 183, 'def': 21}",2,11,0,4,0.5159,l,2017-02-26 13:30:00,0,0,1,0,-1.146424
h,2.97584,0.274611,2.97584,0.274611,"{'att': 195, 'def': 29}","{'att': 232, 'def': 40}",6,5,2,0,2.9034999999999997,w,2017-03-04 15:00:00,1,0,0,3,2.7012289999999997
a,0.337194,1.3049,0.337194,1.3049,"{'att': 346, 'def': 20}","{'att': 152, 'def': 27}",2,2,0,0,0.4842,d,2017-03-08 20:00:00,0,1,0,1,-0.967706
h,0.952053,1.95538,0.190884,1.95538,"{'att': 309, 'def': 26}","{'att': 119, 'def': 24}",3,10,1,2,0.5952,l,2017-03-18 15:00:00,0,0,1,0,-1.7644959999999998
a,1.36671,1.97444,1.36671,1.97444,"{'att': 181, 'def': 20}","{'att': 227, 'def': 17}",6,4,0,2,0.9313,l,2017-04-01 15:00:00,0,0,1,0,-0.6077299999999999
a,1.17275,0.348885,1.17275,0.348885,"{'att': 185, 'def': 24}","{'att': 181, 'def': 29}",5,2,0,1,2.1372,l,2017-04-04 19:45:00,0,0,1,0,0.823865
h,2.13972,1.02225,2.13972,1.02225,"{'att': 268, 'def': 16}","{'att': 187, 'def': 22}",1,6,1,2,2.2565999999999997,l,2017-04-08 15:00:00,0,0,1,0,1.11747
h,2.01829,1.17696,2.01829,1.17696,"{'att': 232, 'def': 26}","{'att': 164, 'def': 20}",9,5,3,1,2.0261,w,2017-04-15 15:00:00,1,0,0,3,0.8413299999999999
