h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.12348,0.790063,1.12348,0.790063,"{'att': 184, 'def': 34}","{'att': 230, 'def': 31}",8,5,1,1,1.6417,d,2016-08-13 18:00:00,0,1,0,1,0.3334170000000001
h,2.25623,0.357943,2.25623,0.357943,"{'att': 155, 'def': 32}","{'att': 259, 'def': 31}",2,6,1,0,2.7171000000000003,w,2016-08-20 18:00:00,1,0,0,3,1.8982869999999998
h,0.590511,1.92569,0.590511,1.16452,"{'att': 212, 'def': 28}","{'att': 221, 'def': 31}",3,11,1,1,0.372,d,2016-08-27 15:30:00,0,1,0,1,-0.574009
a,2.77025,1.01771,2.77025,1.01771,"{'att': 156, 'def': 18}","{'att': 268, 'def': 20}",9,10,4,0,2.5244999999999997,w,2016-09-10 18:00:00,1,0,0,3,1.75254
h,2.52591,0.960821,2.52591,0.960821,"{'att': 103, 'def': 19}","{'att': 354, 'def': 20}",10,2,1,0,2.4295999999999998,w,2016-09-18 19:30:00,1,0,0,3,1.565089
a,1.4158,0.361508,1.4158,0.361508,"{'att': 230, 'def': 23}","{'att': 276, 'def': 40}",12,0,2,1,2.2536000000000005,w,2016-09-24 18:00:00,1,0,0,3,1.054292
h,1.69975,0.909513,0.938577,0.909513,"{'att': 260, 'def': 44}","{'att': 157, 'def': 22}",2,13,2,0,2.0314,w,2016-10-02 17:15:00,1,0,0,3,0.02906399999999998
a,1.32318,1.30365,1.32318,1.30365,"{'att': 80, 'def': 19}","{'att': 325, 'def': 21}",13,2,1,1,1.3067,d,2016-10-15 18:00:00,0,1,0,1,0.019530000000000047
a,0.74529,0.523371,0.74529,0.523371,"{'att': 153, 'def': 28}","{'att': 281, 'def': 25}",11,3,0,0,1.4978,d,2016-10-22 15:30:00,0,1,0,1,0.22191899999999998
h,1.69833,0.740987,0.937162,0.740987,"{'att': 111, 'def': 15}","{'att': 267, 'def': 33}",9,6,1,1,2.1678,d,2016-10-29 18:00:00,0,1,0,1,0.1961750000000001
a,1.19585,0.675745,0.434685,0.675745,"{'att': 170, 'def': 25}","{'att': 285, 'def': 41}",3,9,1,1,1.8889999999999998,d,2016-11-06 16:00:00,0,1,0,1,-0.24106000000000005
h,2.53396,1.76706,1.77279,1.0059,"{'att': 147, 'def': 31}","{'att': 379, 'def': 26}",5,4,3,2,1.99,w,2016-11-19 21:30:00,1,0,0,3,0.7668900000000001
