h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.180046,0.937328,0.180046,0.937328,"{'att': 344, 'def': 23}","{'att': 158, 'def': 24}",4,6,1,1,0.5891,d,2016-08-13 18:00:00,0,1,0,1,-0.757282
h,0.804549,1.75595,0.804549,1.75595,"{'att': 296, 'def': 30}","{'att': 201, 'def': 24}",1,9,1,2,0.5701,l,2016-08-20 18:00:00,0,0,1,0,-0.9514009999999999
h,1.07775,2.03271,1.07775,1.27154,"{'att': 286, 'def': 29}","{'att': 204, 'def': 29}",8,11,1,3,0.6309,l,2016-08-27 18:00:00,0,0,1,0,-0.1937899999999999
a,1.85479,1.32216,1.85479,1.32216,"{'att': 254, 'def': 21}","{'att': 158, 'def': 29}",6,5,4,2,1.7715,w,2016-09-10 18:00:00,1,0,0,3,0.5326299999999999
h,1.74506,1.41359,0.983895,1.41359,"{'att': 241, 'def': 21}","{'att': 109, 'def': 18}",4,6,3,1,1.6337,w,2016-09-18 15:00:00,1,0,0,3,-0.42969499999999994
a,0.776105,0.569734,0.776105,0.569734,"{'att': 173, 'def': 18}","{'att': 263, 'def': 24}",1,2,0,2,1.5175,l,2016-09-26 23:00:00,0,0,1,0,0.20637100000000008
h,1.23419,1.35487,1.23419,1.35487,"{'att': 181, 'def': 28}","{'att': 153, 'def': 17}",12,2,2,2,1.2661,d,2016-10-01 18:00:00,0,1,0,1,-0.12068000000000012
a,0.0893749,0.528576,0.0893749,0.528576,"{'att': 286, 'def': 19}","{'att': 153, 'def': 28}",2,3,1,0,0.699,w,2016-10-16 16:30:00,1,0,0,3,-0.43920110000000007
a,0.478578,1.33215,0.478578,1.33215,"{'att': 214, 'def': 27}","{'att': 219, 'def': 29}",6,5,0,0,0.5900000000000001,d,2016-10-22 18:00:00,0,1,0,1,-0.853572
h,1.14991,0.251367,1.14991,0.251367,"{'att': 182, 'def': 22}","{'att': 232, 'def': 12}",5,6,1,0,2.1710000000000003,w,2016-10-29 18:00:00,1,0,0,3,0.898543
a,0.771133,4.18366,0.771133,4.18366,"{'att': 280, 'def': 17}","{'att': 191, 'def': 31}",5,17,1,6,0.06620000000000001,l,2016-11-06 18:15:00,0,0,1,0,-3.412527
h,0.7197,1.19686,0.7197,0.435691,"{'att': 191, 'def': 21}","{'att': 143, 'def': 28}",5,6,2,1,0.8363,w,2016-11-19 19:00:00,1,0,0,3,0.284009
