h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.276343,1.86751,0.276343,1.86751,"{'att': 404, 'def': 6}","{'att': 98, 'def': 18}",2,18,0,2,0.173,l,2017-08-12 17:30:00,0,0,1,0,-1.591167
a,0.123075,1.88355,0.123075,1.88355,"{'att': 269, 'def': 14}","{'att': 354, 'def': 17}",2,4,0,2,0.14279999999999998,l,2017-08-19 15:00:00,0,0,1,0,-1.760475
a,0.952357,0.281459,0.952357,0.281459,"{'att': 156, 'def': 22}","{'att': 258, 'def': 8}",8,5,0,0,1.9557000000000002,d,2017-08-26 15:00:00,0,1,0,1,0.670898
h,0.396771,0.866679,0.396771,0.866679,"{'att': 265, 'def': 20}","{'att': 275, 'def': 9}",2,6,3,1,0.8212,w,2017-09-09 15:00:00,1,0,0,3,-0.469908
a,0.874276,1.39529,0.874276,1.39529,"{'att': 325, 'def': 15}","{'att': 217, 'def': 18}",1,6,1,2,0.8969,l,2017-09-15 20:00:00,0,0,1,0,-0.5210139999999999
h,0.507341,1.37001,0.507341,1.37001,"{'att': 221, 'def': 14}","{'att': 234, 'def': 16}",5,11,1,0,0.6041000000000001,w,2017-09-24 16:00:00,1,0,0,3,-0.8626689999999999
a,0.386343,2.47818,0.386343,2.47818,"{'att': 338, 'def': 12}","{'att': 185, 'def': 22}",5,15,0,2,0.1799,l,2017-10-01 12:00:00,0,0,1,0,-2.091837
h,1.05884,1.45518,1.05884,0.694013,"{'att': 254, 'def': 17}","{'att': 203, 'def': 23}",9,5,1,1,0.9769,d,2017-10-15 13:30:00,0,1,0,1,0.364827
a,1.98345,0.569111,1.22228,0.569111,"{'att': 329, 'def': 17}","{'att': 197, 'def': 16}",2,5,3,0,2.5049,w,2017-10-20 20:00:00,1,0,0,3,0.653169
h,1.50533,0.54364,1.50533,0.54364,"{'att': 282, 'def': 17}","{'att': 279, 'def': 25}",5,5,1,1,2.2816,d,2017-10-29 13:30:00,0,1,0,1,0.96169
a,0.874927,1.24557,0.874927,1.24557,"{'att': 265, 'def': 14}","{'att': 199, 'def': 20}",0,8,1,0,0.974,w,2017-11-04 15:00:00,1,0,0,3,-0.37064300000000006
h,0.490058,1.20507,0.490058,1.20507,"{'att': 222, 'def': 28}","{'att': 268, 'def': 11}",3,6,2,2,0.6764,d,2017-11-20 20:00:00,0,1,0,1,-0.7150120000000001
a,0.565072,1.50148,0.565072,1.50148,"{'att': 283, 'def': 19}","{'att': 245, 'def': 21}",5,7,0,1,0.5075000000000001,l,2017-11-25 15:00:00,0,0,1,0,-0.9364079999999999
h,0.475162,0.584296,0.475162,0.584296,"{'att': 224, 'def': 19}","{'att': 257, 'def': 13}",2,1,0,0,1.1360999999999999,d,2017-11-28 19:45:00,0,1,0,1,-0.10913400000000006
h,1.65878,1.77566,0.897613,1.77566,"{'att': 409, 'def': 10}","{'att': 313, 'def': 22}",1,8,1,5,1.2688000000000001,l,2017-12-02 15:00:00,0,0,1,0,-0.878047
a,0.273809,2.68125,0.273809,2.68125,"{'att': 251, 'def': 18}","{'att': 219, 'def': 22}",3,9,0,2,0.052099999999999994,l,2017-12-09 15:00:00,0,0,1,0,-2.407441
a,0.315616,1.87344,0.315616,1.87344,"{'att': 413, 'def': 7}","{'att': 127, 'def': 21}",3,6,0,2,0.3164,l,2017-12-13 20:00:00,0,0,1,0,-1.557824
h,1.49029,1.32536,0.729123,1.32536,"{'att': 189, 'def': 18}","{'att': 270, 'def': 21}",4,5,0,0,1.5337,d,2017-12-16 15:00:00,0,1,0,1,-0.5962370000000001
h,1.40139,1.30044,1.40139,1.30044,"{'att': 183, 'def': 16}","{'att': 226, 'def': 21}",3,4,1,0,1.4222000000000001,w,2017-12-23 15:00:00,1,0,0,3,0.10094999999999987
a,0.452601,2.16934,0.452601,2.16934,"{'att': 355, 'def': 9}","{'att': 196, 'def': 20}",3,17,0,2,0.2855,l,2017-12-26 15:00:00,0,0,1,0,-1.716739
a,0.630058,0.504379,0.630058,0.504379,"{'att': 201, 'def': 15}","{'att': 287, 'def': 21}",1,2,0,0,1.4476999999999998,d,2017-12-30 15:00:00,0,1,0,1,0.12567899999999999
h,2.37332,1.28248,2.37332,1.28248,"{'att': 227, 'def': 23}","{'att': 208, 'def': 19}",10,10,2,2,2.1414,d,2018-01-01 12:30:00,0,1,0,1,1.09084
a,0.530765,1.38478,0.530765,1.38478,"{'att': 149, 'def': 20}","{'att': 223, 'def': 13}",8,3,0,2,0.6574,l,2018-01-13 15:00:00,0,0,1,0,-0.8540149999999999
h,0.881174,1.52008,0.881174,1.52008,"{'att': 343, 'def': 30}","{'att': 208, 'def': 13}",9,12,0,4,0.8422000000000001,l,2018-01-20 12:30:00,0,0,1,0,-0.6389060000000001
a,1.07907,1.27393,0.317904,1.27393,"{'att': 276, 'def': 23}","{'att': 123, 'def': 21}",4,8,1,1,1.2185,d,2018-01-31 19:45:00,0,1,0,1,-0.956026
h,1.64227,0.443751,1.64227,0.443751,"{'att': 194, 'def': 24}","{'att': 204, 'def': 22}",5,4,3,1,2.3299000000000003,w,2018-02-03 15:00:00,1,0,0,3,1.198519
a,0.897856,1.39547,0.897856,0.634299,"{'att': 211, 'def': 21}","{'att': 143, 'def': 13}",11,5,1,1,0.8733,d,2018-02-10 15:00:00,0,1,0,1,0.26355700000000004
h,3.2913,0.443169,2.53013,0.443169,"{'att': 233, 'def': 22}","{'att': 211, 'def': 23}",8,2,4,1,2.9302,w,2018-02-24 15:00:00,1,0,0,3,2.086961
h,1.48498,0.801513,1.48498,0.801513,"{'att': 291, 'def': 23}","{'att': 134, 'def': 25}",9,11,2,1,1.9546000000000001,w,2018-03-04 13:30:00,1,0,0,3,0.6834669999999999
a,0.321797,1.68868,0.321797,0.927516,"{'att': 210, 'def': 17}","{'att': 137, 'def': 18}",3,6,0,2,0.2771,l,2018-03-10 15:00:00,0,0,1,0,-0.605719
h,1.60322,1.26582,0.842047,1.26582,"{'att': 212, 'def': 23}","{'att': 205, 'def': 22}",4,6,0,2,1.6435,l,2018-03-31 15:00:00,0,0,1,0,-0.42377299999999996
h,1.53244,1.48964,1.53244,1.48964,"{'att': 277, 'def': 15}","{'att': 163, 'def': 21}",5,3,1,1,1.3757000000000001,d,2018-04-07 14:00:00,0,1,0,1,0.04279999999999995
a,1.54485,2.49925,1.54485,2.49925,"{'att': 166, 'def': 24}","{'att': 171, 'def': 23}",2,6,2,3,0.5496,l,2018-04-14 14:00:00,0,0,1,0,-0.9543999999999999
h,0.988099,1.36248,0.22693,1.36248,"{'att': 339, 'def': 23}","{'att': 200, 'def': 23}",1,10,1,1,1.0094999999999998,d,2018-04-17 18:45:00,0,1,0,1,-1.1355499999999998
a,0.378409,1.54596,0.378409,1.54596,"{'att': 159, 'def': 16}","{'att': 203, 'def': 7}",6,3,0,0,0.374,d,2018-04-28 14:00:00,0,1,0,1,-1.167551
h,0.922771,0.652444,0.922771,0.652444,"{'att': 378, 'def': 17}","{'att': 160, 'def': 19}",3,11,1,0,1.6375,w,2018-05-04 20:00:00,1,0,0,3,0.270327
a,1.00939,1.64765,1.00939,1.64765,"{'att': 409, 'def': 8}","{'att': 196, 'def': 21}",0,19,1,3,0.8572000000000001,l,2018-05-09 20:00:00,0,0,1,0,-0.63826
a,0.0408165,3.50981,0.0408165,3.50981,"{'att': 441, 'def': 9}","{'att': 165, 'def': 21}",2,19,0,4,0.0182,l,2018-05-13 15:00:00,0,0,1,0,-3.4689935
