h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.46495,2.54329,1.46495,2.54329,"{'att': 298, 'def': 22}","{'att': 98, 'def': 18}",2,13,3,4,0.6852,l,2017-08-11 19:45:00,0,0,1,0,-1.0783399999999999
h,1.88355,0.123075,1.88355,0.123075,"{'att': 354, 'def': 17}","{'att': 269, 'def': 14}",4,2,2,0,2.7489,w,2017-08-19 15:00:00,1,0,0,3,1.760475
a,0.670573,2.73725,0.670573,1.97608,"{'att': 325, 'def': 19}","{'att': 147, 'def': 18}",3,13,0,2,0.18280000000000002,l,2017-08-26 17:30:00,0,0,1,0,-1.305507
h,1.34903,1.03943,0.587861,1.03943,"{'att': 284, 'def': 24}","{'att': 164, 'def': 15}",2,12,1,2,1.6922000000000001,l,2017-09-09 15:00:00,0,0,1,0,-0.4515690000000001
a,1.24181,0.700349,0.480681,0.700349,"{'att': 234, 'def': 15}","{'att': 183, 'def': 13}",5,3,1,1,1.8998999999999997,d,2017-09-16 15:00:00,0,1,0,1,-0.21966799999999997
h,2.88766,1.92902,2.12649,1.92902,"{'att': 227, 'def': 19}","{'att': 160, 'def': 19}",1,14,2,3,2.1074,l,2017-09-23 17:30:00,0,0,1,0,0.19747000000000003
a,0.594808,1.39901,0.594808,1.39901,"{'att': 275, 'def': 25}","{'att': 154, 'def': 14}",1,18,0,0,0.6518999999999999,d,2017-09-30 15:00:00,0,1,0,1,-0.8042020000000001
h,0.964277,0.155254,0.964277,0.155254,"{'att': 182, 'def': 25}","{'att': 260, 'def': 24}",7,2,1,1,2.1715,d,2017-10-16 20:00:00,0,1,0,1,0.809023
a,1.80814,0.559618,1.80814,0.559618,"{'att': 242, 'def': 18}","{'att': 212, 'def': 16}",5,2,2,1,2.4387000000000003,w,2017-10-21 15:00:00,1,0,0,3,1.2485220000000001
h,1.36768,0.575236,1.36768,0.575236,"{'att': 214, 'def': 11}","{'att': 161, 'def': 33}",4,5,2,0,2.1025,w,2017-10-29 16:00:00,1,0,0,3,0.792444
a,1.39563,1.22988,1.39563,1.22988,"{'att': 173, 'def': 14}","{'att': 251, 'def': 21}",4,7,2,2,1.4755000000000003,d,2017-11-04 12:30:00,0,1,0,1,0.16574999999999984
h,0.0970457,2.40056,0.0970457,2.40056,"{'att': 487, 'def': 18}","{'att': 147, 'def': 25}",1,18,0,2,0.0462,l,2017-11-18 15:00:00,0,0,1,0,-2.3035143000000002
