h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.63853,0.62654,2.63853,0.62654,"{'att': 234, 'def': 25}","{'att': 267, 'def': 20}",10,9,4,0,2.6584999999999996,w,2017-08-13 16:00:00,1,0,0,3,2.01199
a,3.41021,0.304164,3.41021,0.304164,"{'att': 217, 'def': 26}","{'att': 341, 'def': 19}",4,4,4,0,2.9635,w,2017-08-19 12:30:00,1,0,0,3,3.106046
h,2.73725,0.670573,1.97608,0.670573,"{'att': 147, 'def': 18}","{'att': 325, 'def': 19}",13,3,2,0,2.7186999999999997,w,2017-08-26 17:30:00,1,0,0,3,1.305507
a,1.96635,1.49928,1.96635,1.49928,"{'att': 189, 'def': 17}","{'att': 310, 'def': 20}",9,1,2,2,1.7025,d,2017-09-09 17:30:00,0,1,0,1,0.4670700000000001
h,3.28722,1.06298,2.52605,1.06298,"{'att': 326, 'def': 31}","{'att': 218, 'def': 23}",5,1,4,0,2.6885000000000003,w,2017-09-17 16:00:00,1,0,0,3,1.46307
a,1.07247,0.802062,1.07247,0.802062,"{'att': 290, 'def': 19}","{'att': 179, 'def': 20}",8,5,1,0,1.6585,w,2017-09-23 15:00:00,1,0,0,3,0.270408
h,3.47508,0.244321,3.47508,0.244321,"{'att': 200, 'def': 19}","{'att': 376, 'def': 26}",9,3,4,0,2.944,w,2017-09-30 15:00:00,1,0,0,3,3.230759
a,0.230358,1.92702,0.230358,1.92702,"{'att': 336, 'def': 25}","{'att': 192, 'def': 22}",3,9,0,0,0.2231,d,2017-10-14 12:30:00,0,1,0,1,-1.696662
a,0.807135,1.26744,0.807135,1.26744,"{'att': 79, 'def': 21}","{'att': 398, 'def': 19}",6,5,1,2,0.8752,l,2017-10-21 15:00:00,0,0,1,0,-0.46030499999999985
h,0.943496,1.08708,0.943496,1.08708,"{'att': 240, 'def': 23}","{'att': 175, 'def': 24}",4,6,1,0,1.1813999999999998,w,2017-10-28 12:30:00,1,0,0,3,-0.14358400000000004
a,0.773586,1.8417,0.773586,1.8417,"{'att': 212, 'def': 33}","{'att': 169, 'def': 29}",5,7,0,1,0.5867,l,2017-11-05 16:30:00,0,0,1,0,-1.068114
h,2.57424,1.08708,2.57424,1.08708,"{'att': 192, 'def': 20}","{'att': 346, 'def': 16}",14,6,4,1,2.3798,w,2017-11-18 17:30:00,1,0,0,3,1.48716
h,1.50148,0.565072,1.50148,0.565072,"{'att': 245, 'def': 21}","{'att': 283, 'def': 19}",7,5,1,0,2.2484,w,2017-11-25 15:00:00,1,0,0,3,0.9364079999999999
a,1.63491,1.29277,1.63491,0.5316,"{'att': 262, 'def': 16}","{'att': 196, 'def': 22}",5,4,4,2,1.6182,w,2017-11-28 20:00:00,1,0,0,3,1.10331
a,2.06831,4.24057,2.06831,4.24057,"{'att': 294, 'def': 15}","{'att': 92, 'def': 20}",8,32,3,1,0.2754,w,2017-12-02 17:30:00,1,0,0,3,-2.17226
h,1.43756,2.03041,1.43756,2.03041,"{'att': 324, 'def': 25}","{'att': 178, 'def': 28}",2,14,1,2,0.9001000000000001,l,2017-12-10 16:30:00,0,0,1,0,-0.5928499999999999
h,1.24043,0.815792,1.24043,0.815792,"{'att': 233, 'def': 26}","{'att': 360, 'def': 14}",13,6,1,0,1.7484000000000002,w,2017-12-13 20:00:00,1,0,0,3,0.42463799999999996
a,0.898984,1.076,0.898984,1.076,"{'att': 240, 'def': 18}","{'att': 302, 'def': 24}",4,3,2,1,1.0879,w,2017-12-17 14:15:00,1,0,0,3,-0.17701600000000006
a,2.15281,1.56465,2.15281,1.56465,"{'att': 245, 'def': 18}","{'att': 229, 'def': 28}",10,5,2,2,1.8217,d,2017-12-23 19:45:00,0,1,0,1,0.58816
h,1.80763,0.786214,1.80763,0.786214,"{'att': 121, 'def': 14}","{'att': 297, 'def': 14}",14,3,2,2,2.1572,d,2017-12-26 15:00:00,0,1,0,1,1.021416
h,1.87247,0.85013,1.87247,0.85013,"{'att': 221, 'def': 22}","{'att': 268, 'def': 18}",11,6,0,0,2.1597,d,2017-12-30 17:30:00,0,1,0,1,1.02234
a,1.26247,1.23952,1.26247,1.23952,"{'att': 163, 'def': 20}","{'att': 286, 'def': 18}",5,8,2,0,1.3972,w,2018-01-01 17:30:00,1,0,0,3,0.022950000000000026
h,1.9485,1.47603,1.9485,1.47603,"{'att': 249, 'def': 26}","{'att': 366, 'def': 13}",16,7,3,0,1.7183000000000002,w,2018-01-15 20:00:00,1,0,0,3,0.47246999999999995
a,0.860828,0.568215,0.860828,0.568215,"{'att': 226, 'def': 19}","{'att': 219, 'def': 17}",8,6,1,0,1.5876000000000001,w,2018-01-20 15:00:00,1,0,0,3,0.292613
a,0.817997,2.0117,0.817997,2.0117,"{'att': 267, 'def': 27}","{'att': 267, 'def': 35}",4,15,0,2,0.5595,l,2018-01-31 20:00:00,0,0,1,0,-1.1937029999999997
h,1.63389,0.13049,0.743937,0.13049,"{'att': 143, 'def': 18}","{'att': 442, 'def': 23}",14,4,2,0,2.7742999999999998,w,2018-02-03 15:00:00,1,0,0,3,0.613447
a,1.71995,0.676656,1.71995,0.676656,"{'att': 170, 'def': 22}","{'att': 322, 'def': 24}",13,4,0,1,2.1787,l,2018-02-11 14:15:00,0,0,1,0,1.043294
h,1.30036,1.68958,1.30036,1.68958,"{'att': 317, 'def': 31}","{'att': 203, 'def': 21}",7,8,2,1,1.0293999999999999,w,2018-02-25 14:05:00,1,0,0,3,-0.3892200000000001
a,1.25439,0.74138,1.25439,0.74138,"{'att': 109, 'def': 17}","{'att': 335, 'def': 22}",13,4,3,2,1.8156,w,2018-03-05 20:00:00,1,0,0,3,0.5130099999999999
h,0.845051,0.777089,0.845051,0.777089,"{'att': 273, 'def': 17}","{'att': 134, 'def': 23}",3,9,2,1,1.4121,w,2018-03-10 12:30:00,1,0,0,3,0.06796199999999997
h,2.14368,0.138813,2.14368,0.138813,"{'att': 217, 'def': 25}","{'att': 450, 'def': 18}",16,4,2,0,2.7922000000000002,w,2018-03-31 15:00:00,1,0,0,3,2.004867
a,1.21683,3.42967,1.21683,3.42967,"{'att': 364, 'def': 29}","{'att': 170, 'def': 24}",3,17,3,2,0.2505,w,2018-04-07 16:30:00,1,0,0,3,-2.21284
h,0.639748,0.824508,0.639748,0.824508,"{'att': 156, 'def': 27}","{'att': 376, 'def': 19}",11,1,0,1,1.101,l,2018-04-15 15:00:00,0,0,1,0,-0.18476000000000004
a,1.61597,1.18301,1.61597,1.18301,"{'att': 237, 'def': 27}","{'att': 314, 'def': 15}",12,1,2,0,1.7300000000000002,w,2018-04-18 18:45:00,1,0,0,3,0.43296
h,1.54667,0.651541,1.54667,0.651541,"{'att': 279, 'def': 32}","{'att': 367, 'def': 21}",8,5,2,1,2.1611,w,2018-04-29 15:30:00,1,0,0,3,0.895129
a,0.652444,0.922771,0.652444,0.922771,"{'att': 160, 'def': 19}","{'att': 378, 'def': 17}",11,3,0,1,1.0174,l,2018-05-04 20:00:00,0,0,1,0,-0.270327
a,0.596075,0.783043,0.596075,0.783043,"{'att': 275, 'def': 28}","{'att': 298, 'def': 31}",6,5,0,0,1.1255000000000002,d,2018-05-10 19:45:00,0,1,0,1,-0.18696800000000002
h,0.45805,0.654288,0.45805,0.654288,"{'att': 262, 'def': 14}","{'att': 250, 'def': 27}",5,5,1,0,1.0829,w,2018-05-13 15:00:00,1,0,0,3,-0.19623799999999997
