h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.406196,2.21748,0.406196,2.21748,"{'att': 219, 'def': 17}","{'att': 213, 'def': 25}",1,16,0,0,0.246,d,2017-08-12 15:00:00,0,1,0,1,-1.8112840000000001
h,0.304164,3.41021,0.304164,3.41021,"{'att': 341, 'def': 19}","{'att': 217, 'def': 26}",4,4,0,4,0.0199,l,2017-08-19 12:30:00,0,0,1,0,-3.106046
a,0.966783,0.818951,0.966783,0.818951,"{'att': 288, 'def': 12}","{'att': 291, 'def': 19}",1,8,2,0,1.4879,w,2017-08-26 15:00:00,1,0,0,3,0.14783199999999996
h,1.48574,1.03177,1.48574,1.03177,"{'att': 152, 'def': 19}","{'att': 303, 'def': 32}",6,2,0,1,1.7627,l,2017-09-10 16:00:00,0,0,1,0,0.45397
a,0.154074,1.17894,0.154074,1.17894,"{'att': 341, 'def': 14}","{'att': 125, 'def': 26}",0,12,0,0,0.44580000000000003,d,2017-09-16 17:30:00,0,1,0,1,-1.024866
h,1.50811,1.25817,1.50811,1.25817,"{'att': 259, 'def': 22}","{'att': 249, 'def': 26}",5,3,1,2,1.5756,l,2017-09-23 15:00:00,0,0,1,0,0.24994000000000005
a,0.178568,0.692185,0.178568,0.692185,"{'att': 200, 'def': 24}","{'att': 309, 'def': 27}",0,0,0,1,0.7012,l,2017-09-30 15:00:00,0,0,1,0,-0.513617
h,1.65446,0.596086,1.65446,0.596086,"{'att': 351, 'def': 34}","{'att': 198, 'def': 18}",4,3,2,0,2.4025,w,2017-10-14 15:00:00,1,0,0,3,1.0583740000000001
h,0.559618,1.80814,0.559618,1.80814,"{'att': 212, 'def': 16}","{'att': 242, 'def': 18}",2,5,1,2,0.38130000000000003,l,2017-10-21 15:00:00,0,0,1,0,-1.2485220000000001
a,0.8355,2.37777,0.8355,2.37777,"{'att': 381, 'def': 17}","{'att': 164, 'def': 22}",3,19,1,2,0.399,l,2017-10-28 15:00:00,0,0,1,0,-1.5422699999999998
h,1.24557,0.874927,1.24557,0.874927,"{'att': 199, 'def': 20}","{'att': 265, 'def': 14}",8,0,0,1,1.6679,l,2017-11-04 15:00:00,0,0,1,0,0.37064300000000006
a,0.431402,1.5427,0.431402,1.5427,"{'att': 141, 'def': 16}","{'att': 274, 'def': 23}",3,7,0,2,0.4597,l,2017-11-18 15:00:00,0,0,1,0,-1.111298
h,0.879594,0.449075,0.879594,0.449075,"{'att': 263, 'def': 42}","{'att': 222, 'def': 14}",4,7,0,0,1.7673,d,2017-11-25 15:00:00,0,1,0,1,0.430519
