h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.18399,0.378659,1.18399,0.378659,"{'att': 313, 'def': 18}","{'att': 96, 'def': 8}",6,6,1,0,2.0681000000000003,w,2017-08-12 15:00:00,1,0,0,3,0.805331
a,0.653058,1.37242,0.653058,1.37242,"{'att': 266, 'def': 19}","{'att': 88, 'def': 16}",0,4,1,0,0.7581,w,2017-08-19 15:00:00,1,0,0,3,-0.719362
h,0.875132,0.980905,0.875132,0.980905,"{'att': 240, 'def': 20}","{'att': 169, 'def': 19}",2,8,1,1,1.2595,d,2017-08-27 13:30:00,0,1,0,1,-0.105773
a,0.866679,0.396771,0.866679,0.396771,"{'att': 275, 'def': 9}","{'att': 265, 'def': 20}",6,2,1,3,1.8028,l,2017-09-09 15:00:00,0,0,1,0,0.469908
h,0.781891,0.266344,0.781891,0.266344,"{'att': 323, 'def': 12}","{'att': 152, 'def': 18}",0,0,0,0,1.8479,d,2017-09-16 15:00:00,0,1,0,1,0.515547
a,0.766652,2.39316,0.766652,1.63199,"{'att': 315, 'def': 28}","{'att': 137, 'def': 25}",4,13,0,2,0.2906,l,2017-09-25 20:00:00,0,0,1,0,-0.865338
h,1.93896,1.62462,1.93896,1.62462,"{'att': 322, 'def': 20}","{'att': 165, 'def': 20}",5,11,2,2,1.6151,d,2017-09-30 15:00:00,0,1,0,1,0.31434000000000006
a,0.155254,0.964277,0.155254,0.964277,"{'att': 260, 'def': 24}","{'att': 182, 'def': 25}",2,7,1,1,0.49450000000000005,d,2017-10-16 20:00:00,0,1,0,1,-0.809023
a,0.504128,2.02288,0.504128,2.02288,"{'att': 300, 'def': 18}","{'att': 127, 'def': 26}",0,7,0,1,0.26489999999999997,l,2017-10-21 17:30:00,0,0,1,0,-1.5187519999999997
h,1.11852,2.77085,1.11852,2.77085,"{'att': 499, 'def': 23}","{'att': 124, 'def': 29}",1,17,2,3,0.30110000000000003,l,2017-10-28 15:00:00,0,0,1,0,-1.6523299999999999
a,0.382005,0.260436,0.382005,0.260436,"{'att': 240, 'def': 18}","{'att': 246, 'def': 20}",2,0,0,1,1.3411,l,2017-11-04 15:00:00,0,0,1,0,0.12156899999999998
h,0.590655,1.71709,0.590655,1.71709,"{'att': 383, 'def': 24}","{'att': 219, 'def': 24}",6,3,0,4,0.4918,l,2017-11-18 15:00:00,0,0,1,0,-1.1264349999999999
a,0.71711,1.91526,0.71711,1.91526,"{'att': 309, 'def': 18}","{'att': 147, 'def': 23}",0,6,1,1,0.43720000000000003,d,2017-11-25 15:00:00,0,1,0,1,-1.19815
h,0.845327,1.1342,0.845327,1.1342,"{'att': 221, 'def': 23}","{'att': 216, 'def': 21}",2,3,2,2,1.0646,d,2017-11-28 20:00:00,0,1,0,1,-0.28887300000000005
h,1.65178,0.80924,1.65178,0.80924,"{'att': 162, 'def': 25}","{'att': 175, 'def': 13}",12,5,0,0,2.0303,d,2017-12-02 15:00:00,0,1,0,1,0.8425400000000001
a,0.25228,1.01101,0.25228,1.01101,"{'att': 233, 'def': 23}","{'att': 194, 'def': 21}",3,2,0,1,0.6035,l,2017-12-09 15:00:00,0,0,1,0,-0.7587299999999999
a,0.520382,2.13915,0.520382,2.13915,"{'att': 410, 'def': 14}","{'att': 136, 'def': 34}",1,11,0,0,0.2783,d,2017-12-13 20:00:00,0,1,0,1,-1.6187679999999998
