h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.40827,1.01994,1.40827,1.01994,"{'att': 164, 'def': 21}","{'att': 199, 'def': 12}",7,3,0,0,1.6760000000000002,d,2018-08-12 15:30:00,0,1,0,1,0.38832999999999984
h,0.392642,1.9171,0.392642,1.9171,"{'att': 149, 'def': 19}","{'att': 227, 'def': 26}",4,9,1,3,0.213,l,2018-08-19 15:30:00,0,0,1,0,-1.524458
a,1.56882,1.92459,1.56882,1.92459,"{'att': 353, 'def': 19}","{'att': 164, 'def': 14}",5,10,2,4,1.1357,l,2018-08-25 17:00:00,0,0,1,0,-0.3557699999999999
h,1.09923,2.90359,1.09923,2.14242,"{'att': 294, 'def': 14}","{'att': 215, 'def': 20}",2,13,0,2,0.33099999999999996,l,2018-09-02 15:00:00,0,0,1,0,-1.04319
a,0.208994,3.3916,0.208994,3.3916,"{'att': 287, 'def': 16}","{'att': 226, 'def': 13}",3,11,0,1,0.0428,l,2018-09-16 12:30:00,0,0,1,0,-3.182606
h,2.29417,0.976413,2.29417,0.976413,"{'att': 330, 'def': 32}","{'att': 156, 'def': 9}",10,10,4,0,2.3859,w,2018-09-22 14:00:00,1,0,0,3,1.3177569999999998
a,0.111527,1.56707,0.111527,1.56707,"{'att': 90, 'def': 13}","{'att': 105, 'def': 17}",6,14,2,1,0.2355,w,2018-09-30 15:00:00,1,0,0,3,-1.455543
h,0.353128,1.02549,0.353128,1.02549,"{'att': 332, 'def': 23}","{'att': 109, 'def': 17}",1,1,1,1,0.6769,d,2018-10-06 14:00:00,0,1,0,1,-0.672362
a,0.370236,4.48577,0.370236,4.48577,"{'att': 390, 'def': 10}","{'att': 179, 'def': 19}",1,18,0,5,0.0207,l,2018-10-20 14:00:00,0,0,1,0,-4.115533999999999
h,0.269828,3.01621,0.269828,3.01621,"{'att': 526, 'def': 33}","{'att': 196, 'def': 15}",1,8,0,4,0.0808,l,2018-10-28 12:30:00,0,0,1,0,-2.746382
a,0.882514,2.55739,0.882514,2.55739,"{'att': 252, 'def': 20}","{'att': 144, 'def': 15}",3,14,2,4,0.3722,l,2018-11-03 15:00:00,0,0,1,0,-1.6748759999999998
a,0.368393,1.5091,0.368393,1.5091,"{'att': 255, 'def': 20}","{'att': 134, 'def': 17}",0,6,0,0,0.4652,d,2018-11-10 15:00:00,0,1,0,1,-1.1407070000000001
h,1.49487,1.67701,1.49487,1.67701,"{'att': 277, 'def': 19}","{'att': 371, 'def': 31}",10,3,1,2,1.1776,l,2018-11-26 20:00:00,0,0,1,0,-0.18213999999999997
a,0.302477,2.03785,0.302477,2.03785,"{'att': 256, 'def': 23}","{'att': 178, 'def': 13}",2,10,0,2,0.2739,l,2018-12-01 15:00:00,0,0,1,0,-1.735373
h,1.05809,2.73897,1.05809,2.73897,"{'att': 445, 'def': 20}","{'att': 87, 'def': 9}",7,14,1,3,0.20450000000000002,l,2018-12-05 19:45:00,0,0,1,0,-1.6808800000000002
h,1.81251,0.951507,1.81251,0.951507,"{'att': 295, 'def': 20}","{'att': 150, 'def': 16}",8,3,1,0,2.0648,w,2018-12-08 15:00:00,1,0,0,3,0.8610030000000001
a,0.451196,1.74625,0.451196,1.74625,"{'att': 327, 'def': 18}","{'att': 99, 'def': 14}",4,11,0,1,0.3987,l,2018-12-15 15:00:00,0,0,1,0,-1.2950540000000001
a,1.03237,1.4656,1.03237,1.4656,"{'att': 340, 'def': 25}","{'att': 184, 'def': 23}",4,9,1,3,1.0021,l,2018-12-22 12:30:00,0,0,1,0,-0.43323
h,1.88646,1.8875,1.88646,1.12637,"{'att': 231, 'def': 23}","{'att': 202, 'def': 16}",3,6,1,5,1.3697000000000001,l,2018-12-26 15:00:00,0,0,1,0,0.7600899999999999
h,2.89884,0.656044,2.89884,0.656044,"{'att': 238, 'def': 32}","{'att': 163, 'def': 15}",9,3,2,0,2.7371,w,2018-12-30 14:15:00,1,0,0,3,2.242796
a,2.66309,0.621818,2.66309,0.621818,"{'att': 159, 'def': 23}","{'att': 247, 'def': 13}",7,1,2,1,2.684,w,2019-01-02 19:45:00,1,0,0,3,2.041272
h,0.809801,0.903255,0.809801,0.903255,"{'att': 332, 'def': 25}","{'att': 202, 'def': 19}",3,2,2,1,1.2384,w,2019-01-12 15:00:00,1,0,0,3,-0.09345400000000004
a,1.97256,1.06981,1.97256,1.06981,"{'att': 225, 'def': 18}","{'att': 141, 'def': 21}",8,7,0,0,2.0621,d,2019-01-19 15:00:00,0,1,0,1,0.9027500000000002
a,0.934603,3.23417,0.934603,2.473,"{'att': 359, 'def': 20}","{'att': 103, 'def': 14}",2,16,2,2,0.1874,d,2019-01-29 20:00:00,0,1,0,1,-1.5383969999999998
h,2.00175,0.787747,1.24058,0.787747,"{'att': 195, 'def': 20}","{'att': 218, 'def': 28}",9,4,1,1,2.302,d,2019-02-02 15:00:00,0,1,0,1,0.45283300000000004
a,1.83041,1.31614,1.06928,1.31614,"{'att': 280, 'def': 8}","{'att': 106, 'def': 11}",4,9,3,1,1.798,w,2019-02-09 17:30:00,1,0,0,3,-0.24686000000000008
h,1.08514,0.845211,1.08514,0.845211,"{'att': 256, 'def': 23}","{'att': 72, 'def': 17}",4,4,2,1,1.5812000000000002,w,2019-02-23 12:30:00,1,0,0,3,0.23992899999999995
a,1.74201,1.70312,1.74201,1.70312,"{'att': 227, 'def': 19}","{'att': 193, 'def': 17}",7,4,0,2,1.4191,l,2019-02-26 20:00:00,0,0,1,0,0.03889000000000009
h,1.90872,0.706284,1.90872,0.706284,"{'att': 152, 'def': 21}","{'att': 206, 'def': 14}",12,5,1,3,2.2789999999999995,l,2019-03-02 15:00:00,0,0,1,0,1.202436
a,0.471571,4.12341,0.471571,4.12341,"{'att': 328, 'def': 22}","{'att': 120, 'def': 14}",3,15,2,4,0.0033,l,2019-03-10 12:00:00,0,0,1,0,-3.651839
h,1.17008,0.608954,1.17008,0.608954,"{'att': 125, 'def': 17}","{'att': 240, 'def': 12}",13,4,1,2,1.8518999999999999,l,2019-03-16 15:00:00,0,0,1,0,0.561126
h,0.572695,0.397928,0.572695,0.397928,"{'att': 296, 'def': 23}","{'att': 149, 'def': 14}",2,4,2,0,1.4914999999999998,w,2019-03-30 15:00:00,1,0,0,3,0.17476699999999995
a,1.38919,1.20888,1.38919,1.20888,"{'att': 236, 'def': 21}","{'att': 134, 'def': 14}",4,9,3,1,1.5211,w,2019-04-06 15:00:00,1,0,0,3,0.18030999999999997
h,2.84358,0.872224,2.84358,0.872224,"{'att': 116, 'def': 14}","{'att': 111, 'def': 13}",5,3,2,0,2.6792000000000002,w,2019-04-13 15:00:00,1,0,0,3,1.971356
a,0.788788,1.28197,0.788788,1.28197,"{'att': 347, 'def': 16}","{'att': 99, 'def': 18}",3,20,2,2,0.9437,d,2019-04-22 20:00:00,0,1,0,1,-0.493182
h,0.0899809,2.34878,0.0899809,2.34878,"{'att': 322, 'def': 16}","{'att': 103, 'def': 14}",4,10,0,1,0.09290000000000001,l,2019-04-28 14:05:00,0,0,1,0,-2.2587991
a,0.473292,1.76461,0.473292,1.76461,"{'att': 297, 'def': 22}","{'att': 192, 'def': 26}",3,7,0,2,0.355,l,2019-05-03 19:00:00,0,0,1,0,-1.291318
h,1.72939,2.87276,1.72939,2.87276,"{'att': 336, 'def': 19}","{'att': 183, 'def': 11}",10,15,1,3,0.6443000000000001,l,2019-05-12 14:00:00,0,0,1,0,-1.14337
