h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.50693,2.60022,1.50693,1.83905,"{'att': 269, 'def': 17}","{'att': 107, 'def': 19}",5,12,0,2,0.5473,l,2018-08-11 17:00:00,0,0,1,0,-0.33211999999999997
h,1.15521,1.55405,1.15521,0.79288,"{'att': 151, 'def': 30}","{'att': 107, 'def': 17}",3,3,0,0,1.0033,d,2018-08-18 14:30:00,0,1,0,1,0.36233000000000004
a,1.06351,0.203453,1.06351,0.203453,"{'att': 195, 'def': 23}","{'att': 106, 'def': 12}",5,1,0,0,2.1796999999999995,d,2018-08-25 17:00:00,0,1,0,1,0.860057
h,0.77426,1.41005,0.77426,1.41005,"{'att': 360, 'def': 22}","{'att': 81, 'def': 18}",5,15,2,3,0.8539000000000001,l,2018-09-02 12:30:00,0,0,1,0,-0.6357900000000001
a,0.8276,2.67145,0.8276,1.91028,"{'att': 404, 'def': 22}","{'att': 84, 'def': 21}",3,13,1,4,0.26249999999999996,l,2018-09-15 14:00:00,0,0,1,0,-1.0826799999999999
h,0.0980726,3.08415,0.0980726,3.08415,"{'att': 540, 'def': 8}","{'att': 107, 'def': 14}",2,18,0,5,0.0439,l,2018-09-22 14:00:00,0,0,1,0,-2.9860774
h,1.56707,0.111527,1.56707,0.111527,"{'att': 105, 'def': 17}","{'att': 90, 'def': 13}",14,6,1,2,2.5845000000000002,l,2018-09-30 15:00:00,0,0,1,0,1.455543
a,1.13843,2.6517,1.13843,2.6517,"{'att': 357, 'def': 20}","{'att': 72, 'def': 8}",2,17,0,1,0.4323,l,2018-10-06 14:00:00,0,0,1,0,-1.51327
h,1.7562,0.947712,1.7562,0.947712,"{'att': 260, 'def': 25}","{'att': 97, 'def': 23}",4,6,4,2,1.9465000000000001,w,2018-10-20 14:00:00,1,0,0,3,0.808488
a,0.643117,2.30176,0.643117,2.30176,"{'att': 496, 'def': 6}","{'att': 81, 'def': 12}",1,16,1,4,0.2206,l,2018-10-27 14:00:00,0,0,1,0,-1.6586429999999996
h,0.922262,2.18288,0.922262,2.18288,"{'att': 210, 'def': 20}","{'att': 92, 'def': 14}",7,6,0,1,0.42869999999999997,l,2018-11-03 15:00:00,0,0,1,0,-1.260618
h,1.94297,0.767044,1.94297,0.767044,"{'att': 164, 'def': 20}","{'att': 211, 'def': 25}",4,3,2,1,2.3666,w,2018-11-10 12:30:00,1,0,0,3,1.175926
a,0.879108,2.48066,0.879108,2.48066,"{'att': 282, 'def': 14}","{'att': 81, 'def': 18}",1,5,0,1,0.3292,l,2018-11-24 15:00:00,0,0,1,0,-1.6015519999999999
