h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.31427,0.396115,1.5531,0.396115,"{'att': 190, 'def': 15}","{'att': 381, 'def': 33}",4,2,3,0,2.7336,w,2018-08-11 17:00:00,1,0,0,3,1.156985
h,1.71799,2.45798,1.71799,2.45798,"{'att': 269, 'def': 25}","{'att': 399, 'def': 22}",10,7,3,2,0.8965000000000001,w,2018-08-18 19:30:00,1,0,0,3,-0.7399900000000001
a,1.49669,0.209337,0.735524,0.209337,"{'att': 80, 'def': 18}","{'att': 338, 'def': 14}",13,3,2,1,2.5616000000000003,w,2018-08-26 18:00:00,1,0,0,3,0.526187
h,1.16408,0.950959,1.16408,0.950959,"{'att': 115, 'def': 14}","{'att': 361, 'def': 17}",15,3,2,0,1.4733,w,2018-09-01 14:00:00,1,0,0,3,0.213121
h,2.67145,0.8276,1.91028,0.8276,"{'att': 84, 'def': 21}","{'att': 404, 'def': 22}",13,3,4,1,2.6049,w,2018-09-15 14:00:00,1,0,0,3,1.0826799999999999
a,1.88344,1.0177,1.88344,1.0177,"{'att': 148, 'def': 26}","{'att': 351, 'def': 13}",12,4,0,0,2.0176,d,2018-09-23 12:30:00,0,1,0,1,0.86574
h,1.77638,1.74071,1.77638,1.74071,"{'att': 365, 'def': 9}","{'att': 352, 'def': 23}",4,8,1,1,1.3807,d,2018-09-29 16:30:00,0,1,0,1,0.03567000000000009
a,3.54699,1.487,3.54699,1.487,"{'att': 193, 'def': 17}","{'att': 325, 'def': 23}",15,5,3,0,2.5793999999999997,w,2018-10-07 13:15:00,1,0,0,3,2.05999
h,2.21163,1.11454,2.21163,1.11454,"{'att': 199, 'def': 21}","{'att': 336, 'def': 29}",9,4,2,2,2.2213,d,2018-10-20 11:30:00,0,1,0,1,1.09709
a,3.01621,0.269828,3.01621,0.269828,"{'att': 196, 'def': 15}","{'att': 526, 'def': 33}",8,1,4,0,2.8645,w,2018-10-28 12:30:00,1,0,0,3,2.746382
h,1.88741,0.454547,1.88741,0.454547,"{'att': 181, 'def': 18}","{'att': 533, 'def': 27}",9,4,3,1,2.4743999999999997,w,2018-11-04 16:00:00,1,0,0,3,1.432863
h,1.16298,0.198027,1.16298,0.198027,"{'att': 171, 'def': 25}","{'att': 431, 'def': 25}",7,0,0,0,2.2843999999999998,d,2018-11-11 14:15:00,0,1,0,1,0.964953
a,0.962804,3.34649,0.962804,3.34649,"{'att': 170, 'def': 27}","{'att': 324, 'def': 30}",8,7,1,3,0.21639999999999998,l,2018-11-24 17:30:00,0,0,1,0,-2.383686
h,2.17105,0.285256,2.17105,0.285256,"{'att': 183, 'def': 30}","{'att': 467, 'def': 34}",5,3,2,0,2.689,w,2018-12-02 12:00:00,1,0,0,3,1.8857940000000002
a,1.10702,0.682893,1.10702,0.682893,"{'att': 157, 'def': 22}","{'att': 408, 'def': 34}",5,3,1,2,1.6945000000000001,l,2018-12-05 19:45:00,0,0,1,0,0.4241269999999999
h,0.526329,0.740048,0.526329,0.740048,"{'att': 404, 'def': 23}","{'att': 292, 'def': 35}",3,11,2,0,1.0904,w,2018-12-08 17:30:00,1,0,0,3,-0.213719
a,1.6111,0.26126,1.6111,0.26126,"{'att': 301, 'def': 20}","{'att': 386, 'def': 28}",3,2,2,1,2.5706999999999995,w,2018-12-16 13:30:00,1,0,0,3,1.34984
h,2.40458,0.456492,2.40458,0.456492,"{'att': 106, 'def': 23}","{'att': 331, 'def': 20}",10,5,0,1,2.6773,l,2018-12-22 15:00:00,0,0,1,0,1.9480880000000003
a,2.1956,1.24414,1.43443,1.24414,"{'att': 201, 'def': 15}","{'att': 387, 'def': 26}",8,7,2,1,2.1340999999999997,w,2018-12-26 19:30:00,1,0,0,3,0.19029000000000007
a,0.741471,0.199002,0.741471,0.199002,"{'att': 226, 'def': 27}","{'att': 393, 'def': 12}",6,2,1,0,1.8805,w,2018-12-30 12:00:00,1,0,0,3,0.542469
h,0.850791,0.158168,0.850791,0.158168,"{'att': 126, 'def': 17}","{'att': 403, 'def': 31}",7,0,0,0,2.0098,d,2019-01-02 19:45:00,0,1,0,1,0.692623
