h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.638076,1.07816,0.638076,1.07816,"{'att': 195, 'def': 43}","{'att': 433, 'def': 19}",3,8,0,2,0.9254,l,2018-08-11 17:00:00,0,0,1,0,-0.44008400000000003
a,1.44253,3.26713,1.44253,3.26713,"{'att': 358, 'def': 4}","{'att': 285, 'def': 34}",4,20,1,3,0.3842,l,2018-08-18 17:00:00,0,0,1,0,-1.8245999999999998
h,1.92459,1.56882,1.92459,1.56882,"{'att': 164, 'def': 14}","{'att': 353, 'def': 19}",10,5,4,2,1.6022,w,2018-08-25 17:00:00,1,0,0,3,0.3557699999999999
a,1.51555,2.68216,1.51555,1.15982,"{'att': 191, 'def': 14}","{'att': 333, 'def': 29}",3,3,2,2,0.5899,d,2018-09-01 14:00:00,0,1,0,1,0.3557299999999999
a,0.342698,4.91621,0.342698,4.91621,"{'att': 420, 'def': 11}","{'att': 228, 'def': 21}",3,22,0,3,0.0048000000000000004,l,2018-09-15 14:00:00,0,0,1,0,-4.573512
h,1.77245,1.76133,1.77245,1.76133,"{'att': 141, 'def': 17}","{'att': 302, 'def': 25}",4,5,1,1,1.387,d,2018-09-22 11:30:00,0,1,0,1,0.011120000000000019
a,0.536317,2.31538,0.536317,1.55432,"{'att': 230, 'def': 23}","{'att': 216, 'def': 26}",6,7,0,3,0.2253,l,2018-09-29 14:00:00,0,0,1,0,-1.0180029999999998
h,1.31588,1.13706,1.31588,1.13706,"{'att': 311, 'def': 26}","{'att': 276, 'def': 18}",5,12,1,5,1.4962,l,2018-10-07 11:00:00,0,0,1,0,0.17881999999999998
a,0.947712,1.7562,0.947712,1.7562,"{'att': 97, 'def': 23}","{'att': 260, 'def': 25}",6,4,2,4,0.8002,l,2018-10-20 14:00:00,0,0,1,0,-0.808488
h,0.383833,2.10555,0.383833,1.34439,"{'att': 275, 'def': 17}","{'att': 318, 'def': 10}",1,12,0,3,0.1991,l,2018-10-27 14:00:00,0,0,1,0,-0.960557
a,0.354166,0.51433,0.354166,0.51433,"{'att': 153, 'def': 15}","{'att': 235, 'def': 49}",1,4,0,1,1.0717,l,2018-11-05 20:00:00,0,0,1,0,-0.16016399999999997
a,0.571301,2.22417,0.571301,2.22417,"{'att': 450, 'def': 14}","{'att': 128, 'def': 28}",1,12,0,2,0.314,l,2018-11-11 12:00:00,0,0,1,0,-1.652869
h,1.3875,1.67163,1.3875,1.67163,"{'att': 325, 'def': 17}","{'att': 177, 'def': 22}",8,8,3,2,1.1448,w,2018-11-24 15:00:00,1,0,0,3,-0.28413
a,0.285256,2.17105,0.285256,2.17105,"{'att': 467, 'def': 34}","{'att': 183, 'def': 30}",3,5,0,2,0.1954,l,2018-12-02 12:00:00,0,0,1,0,-1.8857940000000002
h,1.47593,1.21575,1.47593,1.21575,"{'att': 200, 'def': 16}","{'att': 106, 'def': 13}",7,2,1,1,1.5534,d,2018-12-05 19:45:00,0,1,0,1,0.26017999999999986
a,1.23251,3.15444,0.471345,3.15444,"{'att': 375, 'def': 23}","{'att': 182, 'def': 29}",5,10,1,4,0.30100000000000005,l,2018-12-08 15:00:00,0,0,1,0,-2.6830950000000002
h,1.03424,0.75325,1.03424,0.75325,"{'att': 187, 'def': 23}","{'att': 260, 'def': 22}",4,7,0,2,1.5908,l,2018-12-15 17:30:00,0,0,1,0,0.2809900000000001
a,0.245408,0.289508,0.245408,0.289508,"{'att': 282, 'def': 16}","{'att': 284, 'def': 32}",5,7,0,0,1.1420000000000001,d,2018-12-22 15:00:00,0,1,0,1,-0.0441
h,1.2769,1.35896,1.2769,1.35896,"{'att': 432, 'def': 20}","{'att': 150, 'def': 19}",4,2,1,1,1.2334,d,2018-12-26 12:30:00,0,1,0,1,-0.08206000000000002
h,1.72386,0.276791,0.962693,0.276791,"{'att': 348, 'def': 19}","{'att': 193, 'def': 12}",5,5,1,0,2.5821,w,2018-12-29 15:00:00,1,0,0,3,0.685902
a,1.71312,4.43325,1.71312,4.43325,"{'att': 301, 'def': 24}","{'att': 215, 'def': 20}",5,21,1,4,0.1849,l,2019-01-01 15:00:00,0,0,1,0,-2.72013
a,0.903255,0.809801,0.903255,0.809801,"{'att': 202, 'def': 19}","{'att': 332, 'def': 25}",2,3,1,2,1.3947,l,2019-01-12 15:00:00,0,0,1,0,0.09345400000000004
h,0.937902,1.93316,0.937902,1.93316,"{'att': 357, 'def': 17}","{'att': 122, 'def': 20}",5,13,1,2,0.6322,l,2019-01-20 16:00:00,0,0,1,0,-0.995258
h,3.46113,2.36867,3.46113,2.36867,"{'att': 187, 'def': 19}","{'att': 368, 'def': 22}",6,5,4,2,2.0802,w,2019-01-29 19:45:00,1,0,0,3,1.09246
a,0.560836,2.19582,0.560836,1.43465,"{'att': 164, 'def': 14}","{'att': 384, 'def': 27}",2,7,0,2,0.2359,l,2019-02-02 15:00:00,0,0,1,0,-0.873814
h,2.18741,2.13209,2.18741,1.37093,"{'att': 226, 'def': 29}","{'att': 262, 'def': 18}",4,17,0,3,1.4257000000000002,l,2019-02-09 12:30:00,0,0,1,0,0.8164799999999999
a,1.23555,2.72871,1.23555,2.72871,"{'att': 287, 'def': 22}","{'att': 289, 'def': 41}",4,18,1,3,0.3863,l,2019-02-22 19:45:00,0,0,1,0,-1.49316
a,0.798715,1.15823,0.798715,1.15823,"{'att': 170, 'def': 15}","{'att': 339, 'def': 30}",4,6,0,2,1.0253,l,2019-02-27 19:45:00,0,0,1,0,-0.35951500000000014
h,0.898469,1.53632,0.898469,1.53632,"{'att': 428, 'def': 21}","{'att': 233, 'def': 23}",4,13,1,2,0.8891,l,2019-03-03 14:05:00,0,0,1,0,-0.637851
a,0.15103,2.13494,0.15103,2.13494,"{'att': 292, 'def': 21}","{'att': 301, 'def': 28}",2,8,1,3,0.1229,l,2019-03-09 15:00:00,0,0,1,0,-1.9839099999999998
h,0.915765,2.73437,0.915765,1.97321,"{'att': 281, 'def': 13}","{'att': 197, 'def': 25}",4,14,1,2,0.22799999999999998,l,2019-03-17 14:15:00,0,0,1,0,-1.057445
h,0.661491,2.31513,0.661491,2.31513,"{'att': 374, 'def': 11}","{'att': 221, 'def': 26}",3,14,0,2,0.3311,l,2019-03-30 12:30:00,0,0,1,0,-1.6536389999999999
a,1.90917,1.59338,1.90917,1.59338,"{'att': 250, 'def': 20}","{'att': 346, 'def': 28}",6,4,1,4,1.6197,l,2019-04-02 19:45:00,0,0,1,0,0.31579
h,1.66303,1.29107,1.66303,1.29107,"{'att': 268, 'def': 21}","{'att': 194, 'def': 36}",6,7,2,0,1.6414,w,2019-04-13 15:00:00,1,0,0,3,0.37196000000000007
a,2.61689,2.83739,1.85572,2.83739,"{'att': 273, 'def': 21}","{'att': 260, 'def': 20}",6,8,1,0,1.2422,w,2019-04-20 15:00:00,1,0,0,3,-0.98167
h,0.519072,1.11322,0.519072,1.11322,"{'att': 93, 'def': 24}","{'att': 432, 'def': 28}",6,3,1,0,0.7830999999999999,w,2019-04-27 15:00:00,1,0,0,3,-0.5941480000000001
