h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.396115,2.31427,0.396115,1.5531,"{'att': 381, 'def': 33}","{'att': 190, 'def': 15}",2,4,0,3,0.1653,l,2018-08-11 17:00:00,0,0,1,0,-1.156985
a,0.663731,4.60356,0.663731,4.60356,"{'att': 317, 'def': 9}","{'att': 101, 'def': 11}",4,17,1,6,0.0258,l,2018-08-19 15:30:00,0,0,1,0,-3.939829
h,0.203453,1.06351,0.203453,1.06351,"{'att': 106, 'def': 12}","{'att': 195, 'def': 23}",1,5,0,0,0.5018,d,2018-08-25 17:00:00,0,1,0,1,-0.860057
a,0.660035,0.616013,0.660035,0.616013,"{'att': 271, 'def': 29}","{'att': 179, 'def': 21}",1,2,1,1,1.3716,d,2018-09-01 14:00:00,0,1,0,1,0.044022000000000006
h,0.87744,0.746631,0.87744,0.746631,"{'att': 225, 'def': 19}","{'att': 271, 'def': 17}",5,2,0,1,1.4471999999999998,l,2018-09-15 14:00:00,0,0,1,0,0.13080899999999995
a,0.688176,1.80404,0.688176,1.80404,"{'att': 336, 'def': 19}","{'att': 181, 'def': 26}",2,2,1,3,0.5392,l,2018-09-22 14:00:00,0,0,1,0,-1.1158640000000002
h,0.339245,2.33733,0.339245,1.57616,"{'att': 215, 'def': 35}","{'att': 214, 'def': 15}",3,1,0,2,0.1381,l,2018-09-29 14:00:00,0,0,1,0,-1.236915
a,1.02549,0.353128,1.02549,0.353128,"{'att': 109, 'def': 17}","{'att': 332, 'def': 23}",1,1,1,1,1.9813,d,2018-10-06 14:00:00,0,1,0,1,0.672362
h,0.638341,0.663819,0.638341,0.663819,"{'att': 330, 'def': 24}","{'att': 341, 'def': 18}",0,10,0,1,1.259,l,2018-10-20 16:30:00,0,0,1,0,-0.025478
a,0.479655,2.29622,0.479655,2.29622,"{'att': 242, 'def': 30}","{'att': 295, 'def': 25}",6,6,0,3,0.2333,l,2018-10-27 14:00:00,0,0,1,0,-1.816565
h,0.51433,0.354166,0.51433,0.354166,"{'att': 235, 'def': 49}","{'att': 153, 'def': 15}",4,1,1,0,1.438,w,2018-11-05 20:00:00,1,0,0,3,0.16016399999999997
h,1.17524,1.44113,1.17524,1.44113,"{'att': 263, 'def': 26}","{'att': 147, 'def': 17}",4,5,1,1,1.1023,d,2018-11-10 15:00:00,0,1,0,1,-0.26588999999999996
a,0.627281,0.701036,0.627281,0.701036,"{'att': 241, 'def': 29}","{'att': 302, 'def': 20}",5,5,2,0,1.2535,w,2018-11-25 16:00:00,1,0,0,3,-0.07375500000000001
h,0.558083,1.67998,0.558083,1.67998,"{'att': 334, 'def': 20}","{'att': 104, 'def': 14}",0,6,1,2,0.46420000000000006,l,2018-12-01 15:00:00,0,0,1,0,-1.1218970000000001
a,1.5631,1.07393,1.5631,1.07393,"{'att': 148, 'def': 30}","{'att': 273, 'def': 16}",9,3,1,2,1.7043,l,2018-12-04 19:45:00,0,0,1,0,0.4891699999999999
a,0.308361,2.02156,0.308361,2.02156,"{'att': 308, 'def': 29}","{'att': 134, 'def': 24}",2,8,0,1,0.22870000000000001,l,2018-12-08 15:00:00,0,0,1,0,-1.713199
h,0.671382,0.931041,0.671382,0.931041,"{'att': 101, 'def': 24}","{'att': 300, 'def': 16}",7,3,0,1,1.0309,l,2018-12-15 15:00:00,0,0,1,0,-0.259659
h,1.0038,2.60172,1.0038,1.84055,"{'att': 139, 'def': 33}","{'att': 287, 'def': 19}",8,6,1,3,0.3667,l,2018-12-22 15:00:00,0,0,1,0,-0.8367499999999999
a,1.40594,1.79848,1.40594,1.79848,"{'att': 334, 'def': 23}","{'att': 167, 'def': 24}",5,9,1,3,1.0529,l,2018-12-26 15:00:00,0,0,1,0,-0.3925400000000001
a,0.276791,1.72386,0.276791,0.962693,"{'att': 193, 'def': 12}","{'att': 348, 'def': 19}",5,5,0,1,0.2655,l,2018-12-29 15:00:00,0,0,1,0,-0.685902
h,0.621818,2.66309,0.621818,2.66309,"{'att': 247, 'def': 13}","{'att': 159, 'def': 23}",1,7,1,2,0.2141,l,2019-01-02 19:45:00,0,0,1,0,-2.041272
a,0.39468,0.124558,0.39468,0.124558,"{'att': 105, 'def': 21}","{'att': 182, 'def': 26}",7,0,0,0,1.5311,d,2019-01-12 15:00:00,0,1,0,1,0.270122
h,0.764264,2.01376,0.764264,2.01376,"{'att': 382, 'def': 18}","{'att': 167, 'def': 18}",1,13,0,3,0.4454,l,2019-01-20 13:30:00,0,0,1,0,-1.249496
h,0.73078,1.05995,0.73078,1.05995,"{'att': 206, 'def': 21}","{'att': 281, 'def': 28}",2,3,0,1,0.9824,l,2019-01-29 19:45:00,0,0,1,0,-0.32916999999999996
a,0.260391,2.94236,0.260391,2.18119,"{'att': 410, 'def': 19}","{'att': 251, 'def': 33}",1,19,0,5,0.0648,l,2019-02-02 15:00:00,0,0,1,0,-1.920799
h,1.96816,1.46751,1.96816,1.46751,"{'att': 238, 'def': 55}","{'att': 219, 'def': 22}",6,10,1,2,1.7684000000000002,l,2019-02-09 15:00:00,0,0,1,0,0.5006499999999998
a,0.133934,3.03313,0.133934,3.03313,"{'att': 318, 'def': 8}","{'att': 285, 'def': 23}",2,14,0,2,0.0568,l,2019-02-23 15:00:00,0,0,1,0,-2.899196
h,1.46224,0.573166,1.46224,0.573166,"{'att': 212, 'def': 26}","{'att': 239, 'def': 16}",6,1,1,0,2.1837999999999997,w,2019-02-26 19:45:00,1,0,0,3,0.889074
a,0.2014,1.39896,0.2014,1.39896,"{'att': 254, 'def': 17}","{'att': 242, 'def': 22}",1,5,0,1,0.3201,l,2019-03-02 15:00:00,0,0,1,0,-1.19756
h,0.339087,2.16389,0.339087,2.16389,"{'att': 176, 'def': 28}","{'att': 222, 'def': 17}",7,13,0,2,0.1305,l,2019-03-09 15:00:00,0,0,1,0,-1.8248029999999997
a,1.66909,1.88114,1.66909,1.12005,"{'att': 307, 'def': 22}","{'att': 164, 'def': 24}",1,16,3,4,1.2224,l,2019-03-16 15:00:00,0,0,1,0,0.54904
a,0.926991,2.84701,0.926991,2.08584,"{'att': 238, 'def': 22}","{'att': 229, 'def': 17}",5,9,0,2,0.2885,l,2019-03-30 15:00:00,0,0,1,0,-1.158849
h,1.62301,3.61876,0.861845,2.85759,"{'att': 288, 'def': 30}","{'att': 173, 'def': 21}",2,2,1,4,0.29879999999999995,l,2019-04-06 15:00:00,0,0,1,0,-1.995745
a,0.983527,2.78596,0.983527,2.78596,"{'att': 406, 'def': 21}","{'att': 157, 'def': 19}",5,14,0,4,0.3003,l,2019-04-13 12:30:00,0,0,1,0,-1.8024330000000002
h,1.09072,1.08462,1.09072,1.08462,"{'att': 296, 'def': 22}","{'att': 209, 'def': 19}",3,8,1,2,1.3691,l,2019-04-20 15:00:00,0,0,1,0,0.006099999999999994
a,0.1624,3.58922,0.1624,3.58922,"{'att': 498, 'def': 23}","{'att': 154, 'def': 21}",2,13,0,5,0.0263,l,2019-04-26 20:00:00,0,0,1,0,-3.42682
h,0.73663,1.88049,0.73663,1.88049,"{'att': 333, 'def': 25}","{'att': 153, 'def': 20}",6,19,1,1,0.6003000000000001,d,2019-05-05 13:00:00,0,1,0,1,-1.14386
a,0.857152,0.941018,0.857152,0.941018,"{'att': 213, 'def': 18}","{'att': 156, 'def': 17}",1,9,1,1,1.2379,d,2019-05-12 14:00:00,0,1,0,1,-0.083866
