h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.404253,4.34421,0.404253,4.34421,"{'att': 403, 'def': 16}","{'att': 249, 'def': 31}",3,16,0,4,0.0137,l,2018-08-12 15:30:00,0,0,1,0,-3.9399570000000006
h,1.10275,1.69077,0.341659,1.69077,"{'att': 176, 'def': 26}","{'att': 262, 'def': 17}",9,10,1,2,0.8825000000000001,l,2018-08-18 17:00:00,0,0,1,0,-1.3491110000000002
a,1.17924,1.7852,1.17924,1.7852,"{'att': 319, 'def': 18}","{'att': 166, 'def': 33}",10,8,1,3,0.9287000000000001,l,2018-08-25 17:00:00,0,0,1,0,-0.6059599999999998
h,0.888887,1.22301,0.888887,1.22301,"{'att': 301, 'def': 21}","{'att': 269, 'def': 26}",7,4,0,1,1.0284,l,2018-09-01 14:00:00,0,0,1,0,-0.33412299999999995
a,1.52437,1.26774,1.52437,1.26774,"{'att': 244, 'def': 22}","{'att': 179, 'def': 27}",7,5,3,1,1.5939,w,2018-09-16 15:00:00,1,0,0,3,0.2566299999999999
h,1.0177,1.88344,1.0177,1.88344,"{'att': 351, 'def': 13}","{'att': 148, 'def': 26}",4,12,0,0,0.7327,d,2018-09-23 12:30:00,0,1,0,1,-0.86574
h,1.3029,0.865739,1.3029,0.865739,"{'att': 248, 'def': 19}","{'att': 238, 'def': 21}",9,2,3,1,1.7708999999999997,w,2018-09-29 11:30:00,1,0,0,3,0.4371609999999999
a,1.43652,1.02566,1.43652,1.02566,"{'att': 133, 'def': 15}","{'att': 272, 'def': 21}",15,2,0,1,1.678,l,2018-10-05 19:00:00,0,0,1,0,0.41086
h,0.544268,1.11777,0.544268,1.11777,"{'att': 314, 'def': 40}","{'att': 203, 'def': 17}",3,4,0,1,0.8098000000000001,l,2018-10-20 14:00:00,0,0,1,0,-0.573502
a,1.56009,1.95344,1.56009,1.95344,"{'att': 270, 'def': 25}","{'att': 162, 'def': 39}",7,5,1,1,1.0581,d,2018-10-27 16:30:00,0,1,0,1,-0.3933500000000001
h,2.55739,0.882514,2.55739,0.882514,"{'att': 144, 'def': 15}","{'att': 252, 'def': 20}",14,3,4,2,2.4764000000000004,w,2018-11-03 15:00:00,1,0,0,3,1.6748759999999998
a,1.44113,1.17524,1.44113,1.17524,"{'att': 147, 'def': 17}","{'att': 263, 'def': 26}",5,4,1,1,1.5976,d,2018-11-10 15:00:00,0,1,0,1,0.26588999999999996
h,0.829504,2.95852,0.829504,2.95852,"{'att': 524, 'def': 18}","{'att': 190, 'def': 13}",6,11,0,4,0.1225,l,2018-11-24 15:00:00,0,0,1,0,-2.129016
a,2.62697,1.12583,2.62697,1.12583,"{'att': 282, 'def': 16}","{'att': 182, 'def': 19}",3,9,3,0,2.4302,w,2018-12-01 15:00:00,1,0,0,3,1.50114
h,1.57488,1.93448,1.57488,1.17331,"{'att': 124, 'def': 20}","{'att': 257, 'def': 25}",10,2,3,1,1.0110000000000001,w,2018-12-04 19:45:00,1,0,0,3,0.40157
h,1.53635,0.934613,1.53635,0.934613,"{'att': 246, 'def': 20}","{'att': 216, 'def': 21}",4,4,3,2,1.8827999999999998,w,2018-12-08 15:00:00,1,0,0,3,0.6017370000000001
a,0.75325,1.03424,0.75325,1.03424,"{'att': 260, 'def': 22}","{'att': 187, 'def': 23}",7,4,2,0,1.0649,w,2018-12-15 17:30:00,1,0,0,3,-0.2809900000000001
h,2.06507,2.32983,2.06507,1.56866,"{'att': 163, 'def': 24}","{'att': 185, 'def': 23}",6,9,0,2,1.1925,l,2018-12-22 15:00:00,0,0,1,0,0.49641
a,1.26973,1.28665,1.26973,1.28665,"{'att': 219, 'def': 27}","{'att': 252, 'def': 24}",6,6,2,1,1.246,w,2018-12-27 19:45:00,1,0,0,3,-0.016920000000000046
a,0.656044,2.89884,0.656044,2.89884,"{'att': 163, 'def': 15}","{'att': 238, 'def': 32}",3,9,0,2,0.1754,l,2018-12-30 14:15:00,0,0,1,0,-2.242796
h,0.639356,0.686806,0.639356,0.686806,"{'att': 219, 'def': 19}","{'att': 282, 'def': 27}",4,2,2,2,1.2452,d,2019-01-02 19:45:00,0,1,0,1,-0.04744999999999999
h,0.669394,0.685895,0.669394,0.685895,"{'att': 352, 'def': 26}","{'att': 199, 'def': 20}",7,8,1,0,1.2899,w,2019-01-12 12:30:00,1,0,0,3,-0.016500999999999988
a,0.971813,1.24835,0.971813,1.24835,"{'att': 195, 'def': 17}","{'att': 317, 'def': 20}",6,3,0,2,1.0749,l,2019-01-19 15:00:00,0,0,1,0,-0.27653700000000003
a,0.130179,2.0363,0.130179,2.0363,"{'att': 267, 'def': 20}","{'att': 215, 'def': 18}",4,7,0,3,0.1528,l,2019-01-29 19:45:00,0,0,1,0,-1.9061210000000002
h,0.791319,1.12475,0.791319,1.12475,"{'att': 374, 'def': 22}","{'att': 110, 'def': 23}",6,5,1,1,1.0346,d,2019-02-04 20:00:00,0,1,0,1,-0.3334309999999999
a,1.74711,2.68412,0.98594,2.68412,"{'att': 262, 'def': 16}","{'att': 172, 'def': 19}",7,19,1,1,0.7645000000000001,d,2019-02-09 15:00:00,0,1,0,1,-1.69818
h,2.72871,1.23555,2.72871,1.23555,"{'att': 289, 'def': 41}","{'att': 287, 'def': 22}",18,4,3,1,2.4362000000000004,w,2019-02-22 19:45:00,1,0,0,3,1.49316
a,0.400125,3.67741,0.400125,2.91624,"{'att': 370, 'def': 9}","{'att': 114, 'def': 12}",3,24,0,1,0.02,l,2019-02-27 20:00:00,0,0,1,0,-2.516115
h,1.88895,1.18549,1.12778,1.18549,"{'att': 221, 'def': 19}","{'att': 311, 'def': 27}",5,12,2,0,1.9295,w,2019-03-02 17:30:00,1,0,0,3,-0.05770999999999993
a,0.295869,3.49275,0.295869,3.49275,"{'att': 75, 'def': 18}","{'att': 309, 'def': 19}",6,4,0,2,0.015199999999999998,l,2019-03-09 15:00:00,0,0,1,0,-3.196881
h,1.88114,1.66909,1.12005,1.66909,"{'att': 164, 'def': 24}","{'att': 307, 'def': 22}",16,1,4,3,1.4989999999999999,w,2019-03-16 15:00:00,1,0,0,3,-0.54904
h,0.0891639,2.65983,0.0891639,2.65983,"{'att': 227, 'def': 19}","{'att': 257, 'def': 34}",2,12,0,2,0.0479,l,2019-03-30 17:30:00,0,0,1,0,-2.5706661
a,0.471195,2.23287,0.471195,2.23287,"{'att': 243, 'def': 19}","{'att': 231, 'def': 13}",7,16,0,2,0.28959999999999997,l,2019-04-08 20:00:00,0,0,1,0,-1.761675
a,1.42817,2.65125,1.42817,1.12892,"{'att': 207, 'def': 18}","{'att': 287, 'def': 31}",10,15,1,2,0.5497000000000001,l,2019-04-13 17:30:00,0,0,1,0,0.29925
h,1.36558,0.8065,1.36558,0.8065,"{'att': 229, 'def': 23}","{'att': 187, 'def': 30}",10,5,2,2,1.826,d,2019-04-20 15:00:00,0,1,0,1,0.55908
a,0.991558,1.35378,0.991558,1.35378,"{'att': 368, 'def': 28}","{'att': 176, 'def': 13}",2,9,1,0,1.0716,w,2019-04-27 12:30:00,1,0,0,3,-0.36222199999999993
h,1.99866,0.443686,1.99866,0.443686,"{'att': 185, 'def': 10}","{'att': 277, 'def': 31}",4,11,3,0,2.6261,w,2019-05-04 14:00:00,1,0,0,3,1.554974
a,3.20094,2.06986,2.43977,2.06986,"{'att': 238, 'def': 23}","{'att': 280, 'def': 22}",6,7,4,1,2.1507,w,2019-05-12 14:00:00,1,0,0,3,0.3699100000000004
