h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.891038,0.715382,0.891038,0.715382,"{'att': 228, 'def': 9}","{'att': 312, 'def': 20}",4,2,2,2,1.4521,d,2018-08-11 19:30:00,0,1,0,1,0.17565600000000003
a,1.09349,0.222843,1.09349,0.222843,"{'att': 221, 'def': 31}","{'att': 277, 'def': 18}",6,4,0,2,2.2447,l,2018-08-18 17:00:00,0,0,1,0,0.8706470000000001
h,1.26376,1.84293,1.26376,1.84293,"{'att': 366, 'def': 16}","{'att': 123, 'def': 18}",2,10,1,1,0.9238,d,2018-08-25 14:30:00,0,1,0,1,-0.57917
a,1.22301,0.888887,1.22301,0.888887,"{'att': 269, 'def': 26}","{'att': 301, 'def': 21}",4,7,1,0,1.6671,w,2018-09-01 14:00:00,1,0,0,3,0.33412299999999995
h,3.3916,0.208994,3.3916,0.208994,"{'att': 226, 'def': 13}","{'att': 287, 'def': 16}",11,3,1,0,2.9261,w,2018-09-16 12:30:00,1,0,0,3,3.182606
a,1.1185,0.62283,1.1185,0.62283,"{'att': 393, 'def': 22}","{'att': 199, 'def': 12}",7,12,1,1,1.8389,d,2018-09-22 14:00:00,0,1,0,1,0.49567000000000005
h,1.42507,0.679627,1.42507,0.679627,"{'att': 263, 'def': 25}","{'att': 257, 'def': 21}",5,9,2,0,1.9777,w,2018-09-29 14:00:00,1,0,0,3,0.7454430000000001
a,0.755654,1.03714,0.755654,1.03714,"{'att': 386, 'def': 21}","{'att': 148, 'def': 25}",4,6,1,0,1.0147,w,2018-10-06 14:00:00,1,0,0,3,-0.2814859999999999
h,0.47391,1.0684,0.47391,1.0684,"{'att': 306, 'def': 30}","{'att': 232, 'def': 17}",8,4,0,2,0.7612,l,2018-10-20 14:00:00,0,0,1,0,-0.59449
a,1.38027,1.01337,1.38027,1.01337,"{'att': 199, 'def': 36}","{'att': 253, 'def': 16}",4,6,0,1,1.6218000000000001,l,2018-10-27 14:00:00,0,0,1,0,0.3669
h,2.40643,1.63123,0.884092,1.63123,"{'att': 306, 'def': 30}","{'att': 256, 'def': 18}",4,4,2,3,1.9914,l,2018-11-03 19:45:00,0,0,1,0,-0.747138
a,1.86549,0.965843,1.86549,0.965843,"{'att': 418, 'def': 20}","{'att': 141, 'def': 23}",8,11,1,1,2.111,d,2018-11-11 16:30:00,0,1,0,1,0.8996470000000001
h,0.701036,0.627281,0.701036,0.627281,"{'att': 302, 'def': 20}","{'att': 241, 'def': 29}",5,5,0,2,1.3573,l,2018-11-25 16:00:00,0,0,1,0,0.07375500000000001
a,0.987623,1.09264,0.987623,1.09264,"{'att': 125, 'def': 22}","{'att': 164, 'def': 18}",7,5,1,2,1.2259,l,2018-11-30 20:00:00,0,0,1,0,-0.10501700000000003
h,0.682893,1.10702,0.682893,1.10702,"{'att': 408, 'def': 34}","{'att': 157, 'def': 22}",3,5,2,1,0.9696999999999999,w,2018-12-05 19:45:00,1,0,0,3,-0.4241269999999999
a,1.57799,0.4601,1.57799,0.4601,"{'att': 264, 'def': 15}","{'att': 252, 'def': 14}",3,5,2,1,2.3451,w,2018-12-09 16:00:00,1,0,0,3,1.11789
h,2.02223,0.52685,2.02223,0.52685,"{'att': 396, 'def': 26}","{'att': 220, 'def': 11}",3,4,2,0,2.5629999999999997,w,2018-12-15 15:00:00,1,0,0,3,1.49538
h,0.763821,2.16356,0.763821,2.16356,"{'att': 368, 'def': 26}","{'att': 229, 'def': 15}",3,10,0,2,0.45530000000000004,l,2018-12-21 20:00:00,0,0,1,0,-1.3997389999999998
a,1.35896,1.2769,1.35896,1.2769,"{'att': 150, 'def': 19}","{'att': 432, 'def': 20}",2,4,1,1,1.4451999999999998,d,2018-12-26 12:30:00,0,1,0,1,0.08206000000000002
a,1.20867,0.277704,1.20867,0.277704,"{'att': 417, 'def': 10}","{'att': 236, 'def': 26}",5,3,3,1,2.2504,w,2018-12-29 15:00:00,1,0,0,3,0.930966
h,0.656255,1.94658,0.656255,1.18542,"{'att': 273, 'def': 26}","{'att': 313, 'def': 22}",2,3,0,2,0.3961,l,2019-01-02 19:45:00,0,0,1,0,-0.5291649999999999
a,0.0985446,3.11947,0.0985446,2.3583,"{'att': 305, 'def': 7}","{'att': 158, 'def': 26}",1,21,0,3,0.020800000000000003,l,2019-01-14 20:00:00,0,0,1,0,-2.2597554
h,2.21719,1.33831,2.21719,1.33831,"{'att': 219, 'def': 24}","{'att': 196, 'def': 22}",8,9,4,3,2.0126,w,2019-01-19 12:30:00,1,0,0,3,0.8788799999999999
h,2.0363,0.130179,2.0363,0.130179,"{'att': 215, 'def': 18}","{'att': 267, 'def': 20}",7,4,3,0,2.7331,w,2019-01-29 19:45:00,1,0,0,3,1.9061210000000002
a,1.85729,1.36252,1.09612,1.36252,"{'att': 298, 'def': 24}","{'att': 149, 'def': 21}",2,6,3,1,1.7754,w,2019-02-02 15:00:00,1,0,0,3,-0.26639999999999997
h,2.30998,0.435263,2.30998,0.435263,"{'att': 227, 'def': 23}","{'att': 375, 'def': 25}",6,3,1,1,2.6801,d,2019-02-11 20:00:00,0,1,0,1,1.874717
a,1.20286,2.13291,0.441692,0.610568,"{'att': 169, 'def': 27}","{'att': 236, 'def': 24}",3,6,1,1,0.5769,d,2019-02-23 15:00:00,0,1,0,1,-0.16887600000000003
a,0.573166,1.46224,0.573166,1.46224,"{'att': 239, 'def': 16}","{'att': 212, 'def': 26}",1,6,0,1,0.5593,l,2019-02-26 19:45:00,0,0,1,0,-0.889074
h,3.2075,0.702261,3.2075,0.702261,"{'att': 133, 'def': 15}","{'att': 285, 'def': 29}",7,3,2,0,2.8092,w,2019-03-02 15:00:00,1,0,0,3,2.505239
