id,first_name,second_name,team,name
1,Bernd,Leno,1,Bernd Leno
2,Rúnar Alex,Rúnarsson,1,Rúnar Alex Rúnarsson
3,Willian,Borges Da Silva,1,Willian Borges Da Silva
4,Pierre-Emerick,Aubameyang,1,Pierre-Emerick Aubameyang
5,Cédric,Soares,1,Cédric Soares
6,Alexandre,Lacazette,1,Alexandre Lacazette
7,Granit,Xhaka,1,Granit Xhaka
8,Pablo,Marí,1,Pablo Marí
9,Héctor,Bellerín,1,Héctor Bellerín
10,Calum,Chambers,1,Calum Chambers
11,Sead,Kolasinac,1,Sead Kolasinac
12,Mohamed Naser,El Sayed Elneny,1,Mohamed Naser El Sayed Elneny
13,Ainsley,Maitland-Niles,1,Ainsley Maitland-Niles
14,Rob,Holding,1,Rob Holding
15,Thomas,Partey,1,Thomas Partey
16,Kieran,Tierney,1,Kieran Tierney
17,Nicolas,Pépé,1,Nicolas Pépé
18,Lucas,Torreira,1,Lucas Torreira
20,Edward,Nketiah,1,Edward Nketiah
21,Emile,Smith Rowe,1,Emile Smith Rowe
22,Bukayo,Saka,1,Bukayo Saka
23,Gabriel,Magalhães,1,Gabriel Magalhães
24,Konstantinos,Mavropanos,1,Konstantinos Mavropanos
25,Mattéo,Guendouzi,1,Mattéo Guendouzi
26,Gabriel Teodoro,Martinelli Silva,1,Gabriel Teodoro Martinelli Silva
27,William,Saliba,1,William Saliba
67,Ben,White,1,Ben White
466,Nuno,Varela Tavares,1,Nuno Varela Tavares
478,Albert,Sambi Lokonga,1,Albert Sambi Lokonga
530,Folarin,Balogun,1,Folarin Balogun
531,Reiss,Nelson,1,Reiss Nelson
532,Karl,Hein,1,Karl Hein
558,Martin,Ødegaard,1,Martin Ødegaard
559,Aaron,Ramsdale,1,Aaron Ramsdale
572,Arthur,Okonkwo,1,Arthur Okonkwo
590,Takehiro,Tomiyasu,1,Takehiro Tomiyasu
28,Jed,Steer,2,Jed Steer
29,Conor,Hourihane,2,Conor Hourihane
30,Emiliano,Martínez,2,Emiliano Martínez
31,Björn,Engels,2,Björn Engels
32,Bertrand,Traoré,2,Bertrand Traoré
34,Morgan,Sanson,2,Morgan Sanson
35,John,McGinn,2,John McGinn
36,Kortney,Hause,2,Kortney Hause
37,Mahmoud Ahmed,Ibrahim Hassan,2,Mahmoud Ahmed Ibrahim Hassan
38,Tyrone,Mings,2,Tyrone Mings
39,Matt,Targett,2,Matt Targett
40,Ollie,Watkins,2,Ollie Watkins
41,Marvelous,Nakamba,2,Marvelous Nakamba
42,Anwar,El Ghazi,2,Anwar El Ghazi
43,Emiliano,Buendía Stati,2,Emiliano Buendía Stati
44,Matthew,Cash,2,Matthew Cash
45,Ezri,Konsa Ngoyo,2,Ezri Konsa Ngoyo
46,Frédéric,Guilbert,2,Frédéric Guilbert
47,Wesley,Moraes,2,Wesley Moraes
48,Mbwana Ally,Samatta,2,Mbwana Ally Samatta
49,Keinan,Davis,2,Keinan Davis
50,Douglas Luiz,Soares de Paulo,2,Douglas Luiz Soares de Paulo
51,Jacob,Ramsey,2,Jacob Ramsey
52,Ashley,Young,2,Ashley Young
283,Axel,Tuanzebe,2,Axel Tuanzebe
337,Danny,Ings,2,Danny Ings
492,Leon,Bailey,2,Leon Bailey
496,Aaron,Ramsey,2,Aaron Ramsey
497,Jaden,Philogene-Bidace,2,Jaden Philogene-Bidace
526,Carney,Chukwuemeka,2,Carney Chukwuemeka
568,Cameron,Archer,2,Cameron Archer
596,Viljami,Sinisalo,2,Viljami Sinisalo
610,Lamare,Bogarde,2,Lamare Bogarde
76,Pontus,Jansson,3,Pontus Jansson
77,Christian,Nørgaard,3,Christian Nørgaard
78,Ivan,Toney,3,Ivan Toney
79,Tariqe,Fosu-Henry,3,Tariqe Fosu-Henry
80,David,Raya Martin,3,David Raya Martin
81,Sergi,Canós,3,Sergi Canós
82,Pelenda Joshua,Dasilva,3,Pelenda Joshua Dasilva
83,Rico,Henry,3,Rico Henry
84,Vitaly,Janelt,3,Vitaly Janelt
85,Saman,Ghoddos,3,Saman Ghoddos
86,Mathias,Jensen,3,Mathias Jensen
87,Charlie,Goode,3,Charlie Goode
88,Marcus,Forss,3,Marcus Forss
89,Mads,Roerslev Rasmussen,3,Mads Roerslev Rasmussen
90,Mads,Bech Sørensen,3,Mads Bech Sørensen
91,Ethan,Pinnock,3,Ethan Pinnock
92,Ellery,Balcombe,3,Ellery Balcombe
93,Jan,Zamburek,3,Jan Zamburek
94,Patrik,Gunnarsson,3,Patrik Gunnarsson
95,Halil,Dervişoğlu,3,Halil Dervişoğlu
96,Bryan,Mbeumo,3,Bryan Mbeumo
97,Mads,Bidstrup,3,Mads Bidstrup
479,Frank,Onyeka,3,Frank Onyeka
483,Kristoffer,Ajer,3,Kristoffer Ajer
498,Dominic,Thompson,3,Dominic Thompson
499,Shandon,Baptiste,3,Shandon Baptiste
524,Yoane,Wissa,3,Yoane Wissa
556,Álvaro,Fernández,3,Álvaro Fernández
569,Finley,Stevens,3,Finley Stevens
594,Mathias,Jorgensen,3,Mathias Jorgensen
614,Paris,Maghoma,3,Paris Maghoma
619,Matthew,Cox,3,Matthew Cox
628,Maxwell,Haygarth,3,Maxwell Haygarth
53,Adam,Lallana,4,Adam Lallana
54,Jason,Steele,4,Jason Steele
55,Pascal,Groß,4,Pascal Groß
56,Shane,Duffy,4,Shane Duffy
57,Davy,Pröpper,4,Davy Pröpper
58,Dan,Burn,4,Dan Burn
59,Lewis,Dunk,4,Lewis Dunk
60,Solomon,March,4,Solomon March
61,Adam,Webster,4,Adam Webster
62,Joël,Veltman,4,Joël Veltman
63,Neal,Maupay,4,Neal Maupay
64,Leandro,Trossard,4,Leandro Trossard
65,Mathew,Ryan,4,Mathew Ryan
66,Alireza,Jahanbakhsh,4,Alireza Jahanbakhsh
68,Bernardo,Fernandes Da Silva Junior,4,Bernardo Fernandes Da Silva Junior
69,Robert,Sánchez,4,Robert Sánchez
70,Yves,Bissouma,4,Yves Bissouma
71,Tariq,Lamptey,4,Tariq Lamptey
72,Aaron,Connolly,4,Aaron Connolly
73,Steven,Alzate,4,Steven Alzate
74,Alexis,Mac Allister,4,Alexis Mac Allister
75,Jakub,Moder,4,Jakub Moder
447,Danny,Welbeck,4,Danny Welbeck
462,Enock,Mwepu,4,Enock Mwepu
476,Kjell,Scherpen,4,Kjell Scherpen
500,Florin,Andone,4,Florin Andone
535,Andi,Zeqiri,4,Andi Zeqiri
536,Michal,Karbownik,4,Michal Karbownik
537,Taylor,Richards,4,Taylor Richards
538,Moisés,Caicedo,4,Moisés Caicedo
560,Haydon,Roberts,4,Haydon Roberts
584,Marc,Cucurella,4,Marc Cucurella
595,Jürgen,Locadia,4,Jürgen Locadia
612,Jeremy,Sarmiento,4,Jeremy Sarmiento
98,James,Tarkowski,5,James Tarkowski
99,Phil,Bardsley,5,Phil Bardsley
100,Erik,Pieters,5,Erik Pieters
101,Jack,Cork,5,Jack Cork
102,Dale,Stephens,5,Dale Stephens
103,Kevin,Long,5,Kevin Long
104,Jay,Rodriguez,5,Jay Rodriguez
105,Ashley,Barnes,5,Ashley Barnes
106,Ben,Mee,5,Ben Mee
107,Ashley,Westwood,5,Ashley Westwood
108,Johann Berg,Gudmundsson,5,Johann Berg Gudmundsson
109,Chris,Wood,5,Chris Wood
110,Matthew,Lowton,5,Matthew Lowton
111,Matej,Vydra,5,Matej Vydra
112,Nick,Pope,5,Nick Pope
113,Charlie,Taylor,5,Charlie Taylor
114,Will,Norris,5,Will Norris
115,Josh,Brownhill,5,Josh Brownhill
116,Josh,Benson,5,Josh Benson
117,Bailey,Peacock-Farrell,5,Bailey Peacock-Farrell
118,Dwight,McNeil,5,Dwight McNeil
451,Nathan,Collins,5,Nathan Collins
480,Wayne,Hennessey,5,Wayne Hennessey
533,Lewis,Richardson,5,Lewis Richardson
534,Bobby,Thomas,5,Bobby Thomas
565,Owen,Dodgson,5,Owen Dodgson
575,Aaron,Lennon,5,Aaron Lennon
578,Maxwel,Cornet,5,Maxwel Cornet
585,Connor,Roberts,5,Connor Roberts
119,César,Azpilicueta,6,César Azpilicueta
120,Olivier,Giroud,6,Olivier Giroud
121,Thiago,Emiliano da Silva,6,Thiago Emiliano da Silva
122,Marcos,Alonso,6,Marcos Alonso
123,Jorge Luiz,Frello Filho,6,Jorge Luiz Frello Filho
124,Ross,Barkley,6,Ross Barkley
125,Mateo,Kovacic,6,Mateo Kovacic
126,Michy,Batshuayi,6,Michy Batshuayi
127,Antonio,Rüdiger,6,Antonio Rüdiger
129,Kepa,Arrizabalaga,6,Kepa Arrizabalaga
130,N'Golo,Kanté,6,N'Golo Kanté
131,Hakim,Ziyech,6,Hakim Ziyech
132,Ruben,Loftus-Cheek,6,Ruben Loftus-Cheek
133,Andreas,Christensen,6,Andreas Christensen
134,Timo,Werner,6,Timo Werner
