Overall Rank,Stadium,Town / City,Capacity,Club,League (Tier),Rank within League,Notes
1,Wembley Stadium,London,90000,England national football team,National Stadium,,Tottenham used Wembley for home matches during the 2017–18 and 2018-19 seasons while their new stadium was being built.
1,Wembley Stadium,London,90000,Tottenham Hotspur,Premier League,,Tottenham used Wembley for home matches during the 2017–18 and 2018-19 seasons while their new stadium was being built.
3,Tottenham Hotspur Stadium,London,62062,Tottenham Hotspur,Premier League,2,From 3 April 2019 onwards.
4,Emirates Stadium,London,60260,Arsenal,Premier League,3,Also known as Ashburton Grove.
5,London Stadium,London,60000,West Ham United,Premier League,4,Previously known as the Olympic Stadium.
6,Etihad,Manchester,55097,Manchester City,Premier League,5,Commercially known as the Etihad Stadium.
7,Anfield,Liverpool,54074,Liverpool,Premier League,6,
8,St James' Park,Newcastle upon Tyne,52338,Newcastle United,Premier League,7,
9,Stadium of Light,Sunderland,48707,Sunderland,League One,1,
10,Villa Park,Birmingham,42660,Aston Villa,Premier League,9,
11,Stamford Bridge,London,41798,Chelsea,Premier League,8,
12,Hillsborough Stadium,Sheffield,39732,Sheffield Wednesday,Championship,11,
13,Goodison Park,Liverpool,39571,Everton,Premier League,9,
14,Elland Road,Leeds,37890,Leeds United,Premier League,1,"Capacity reduced from 40,296 [14] to 37,890 [15] during 2010/2011 season"
15,Riverside Stadium,Middlesbrough,34988,Middlesbrough,Championship,18,
16,Pride Park Stadium,Derby,33597,Derby County,Championship,19,
N/A[nb 1],Cardiff City Stadium,Cardiff,33280,Cardiff City,Championship,13,Also home of Wales men's team.
17,Bramall Lane,Sheffield,32702,Sheffield United,Premier League,10,
18,St Mary's Stadium,Southampton,32505,Southampton,Premier League,13,
19,Ricoh Arena,Coventry,32500,Coventry City,Championship,2,Shared with Wasps of Rugby Union's Aviva Premiership.
20,King Power Stadium,Leicester,32312,Leicester City,Premier League,3,Formerly known as the Walkers Stadium.
21,Molineux,Wolverhampton,31700,Wolverhampton Wanderers,Premier League,17,
22,Ewood Park,Blackburn,31154,Blackburn Rovers,Championship,17,
23,Falmer Stadium,Brighton,30750,Brighton & Hove Albion,Premier League,16,Commercially known as The American Express Community Stadium (The AMEX).
24,City Ground,Nottingham,30576,Nottingham Forest,Championship,10,
25,Stadium mk,Milton Keynes,30500,Milton Keynes Dons,League One,1,
26,Portman Road,Ipswich,30311,Ipswich Town,League One,3,
27,Bet365 Stadium,Stoke-on-Trent,30089,Stoke City,Championship,10,Formerly known as the Britannia Stadium.
28,St Andrew's,Birmingham,30016,Birmingham City,Championship,11,
29,University of Bolton Stadium,Bolton,28723,Bolton Wanderers,League Two,12,Formerly known as the Reebok Stadium.
30,Carrow Road,Norwich,27224,Norwich City,Championship,13,
31,The Valley,London,27111,Charlton Athletic,Championship,4,
32,Ashton Gate Stadium,Bristol,27000,Bristol City,Championship,14,Expansion completed ahead of the 2016/17 season.
33,The Hawthorns,West Bromwich,26850,West Bromwich Albion,Premier League,15,
34,Selhurst Park,London,26074,Crystal Palace,Premier League,15,
35,Craven Cottage,London,25678,Fulham,Premier League,16,
36,KCOM Stadium,Kingston upon Hull,25586,Hull City,League One,16,Shared with Super League team Hull F.C. Formerly known as the KC Stadium.
37,Valley Parade,Bradford,25136,Bradford City,League Two,5,Commercially known as the Northern Commercials Stadium.
38,DW Stadium,Wigan,25023,Wigan Athletic,League One,17,Previously known as the JJB Stadium. Shared with Wigan Warriors of Rugby League's Super League.
